Date,Open,High,Low,Close,Volume,KlineReservedVolume,close_time_utc,price_source,volume_source,binance_symbol,shares_multiplier,token_volume_24h_usd,market_status,collected_at_utc
2025-06-30,288.94580149309627,289.9461382630473,287.89647615945006,289.9461382630473,,0.0,2025-06-30T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-01,289.9802847470488,294.2416107391366,289.685480301366,293.56353141194904,,0.0,2025-07-01T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-02,292.1307371826844,293.2426320679811,290.4427173869205,293.2426320679811,,0.0,2025-07-02T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-03,293.6144601167807,295.6635401780371,293.6144601167807,295.6581077828551,,0.0,2025-07-03T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-07,295.2759969860323,295.2759969860323,291.0145739868876,291.0211704667515,,0.0,2025-07-07T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-08,293.5679937365629,297.1241754326098,293.5679937365629,294.25150545893246,,0.0,2025-07-08T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-09,294.3192163845944,294.3192163845944,287.0136149353107,288.3825785211863,,0.0,2025-07-09T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-10,287.14088819386154,288.28149716797753,279.5062388078367,280.06189522931464,,0.0,2025-07-10T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-11,279.1252920956958,279.1252920956958,272.49282261370166,272.81294590121513,,0.0,2025-07-11T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-14,271.8331746273104,272.18443718006375,269.6207346823653,271.40188125267866,,0.0,2025-07-14T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-15,271.61975910230143,272.1071225557764,267.6146287472812,267.6146287472812,,0.0,2025-07-15T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-16,268.2094760197152,271.48559834271623,268.2094760197152,271.48559834271623,,0.0,2025-07-16T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-17,273.53516343925673,274.2389496365022,271.01686024415113,274.2389496365022,,0.0,2025-07-17T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-18,274.53482115981006,274.53482115981006,272.87629150932,273.9843061123438,,0.0,2025-07-18T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-21,275.9650932055973,275.9650932055973,273.99643199444654,274.0888797195982,,0.0,2025-07-21T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-22,275.89583016702625,278.4214088913935,275.42709206846115,278.4214088913935,,0.0,2025-07-22T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-23,280.58049495508635,280.94834571455635,277.39226102556626,277.39226102556626,,0.0,2025-07-23T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-24,276.5992283360444,276.5992283360444,272.6984775741649,273.25685019323373,,0.0,2025-07-24T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-25,273.07544699697615,275.45823133370106,273.07544699697615,274.6820778720662,,0.0,2025-07-25T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-28,275.6802804867672,275.6802804867672,267.9219471032941,269.15810802838,,0.0,2025-07-28T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-29,269.4856038522119,270.5623821829389,268.8940548197098,269.67961796585644,,0.0,2025-07-29T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-30,270.1177998115931,270.5429827117156,264.30542701790375,265.2948989974907,,0.0,2025-07-30T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-07-31,265.09133356903146,267.69066675870073,256.8552850539549,257.60223939148625,,0.0,2025-07-31T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-08-01,259.20252406491903,259.97645509488206,247.12547725468318,247.3243417211688,,0.0,2025-08-01T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-08-04,249.26415982411456,253.8286648811007,249.26415982411456,251.79151668783342,,0.0,2025-08-04T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-08-05,251.73818414813368,253.8315799431582,239.62683176232323,240.0779145765467,,0.0,2025-08-05T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-08-06,241.20681285876313,242.6389008766541,237.25015887017807,241.33900631523593,,0.0,2025-08-06T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-08-07,241.0614778563026,245.4278537602938,233.47335111458867,234.93169021212628,,0.0,2025-08-07T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-08-08,235.9187738779743,240.97037949931138,231.65770204437536,231.9147707449543,,0.0,2025-08-08T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-08-11,232.61458353315228,234.09742952345493,230.3885267076411,231.5235092724614,,0.0,2025-08-11T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-08-12,232.03074365145585,233.0659214759352,229.87438930648315,230.7409853574051,,0.0,2025-08-12T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-08-13,231.90440554093283,238.82652354353965,230.16684327117918,238.31400325001894,,0.0,2025-08-13T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
2025-08-14,238.8351911240667,242.43518605732737,236.4870363664862,238.24933155544724,,0.0,2025-08-14T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,ACNON,1.030852839739624,,,2026-07-14T23:26:41.120511+00:00
