Date,Open,High,Low,Close,Volume,KlineReservedVolume,close_time_utc,price_source,volume_source,binance_symbol,shares_multiplier,token_volume_24h_usd,market_status,collected_at_utc
2025-06-24,138.421,138.7044,138.3715,138.7044,,0.0,2025-06-24T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-06-25,139.0764,143.8014,139.0764,143.5607,,0.0,2025-06-25T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-06-26,145.6287,147.1664,143.197,144.2709,,0.0,2025-06-26T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-06-27,145.4148,146.0374,142.6234,143.3382,,0.0,2025-06-27T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-06-30,145.5272,145.6663,140.9774,141.3169,,0.0,2025-06-30T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-07-01,140.814,140.814,135.9413,135.9413,,0.0,2025-07-01T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-07-02,136.8791,139.2565,135.173,138.4618,,0.0,2025-07-02T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-07-03,139.4715,139.4715,137.8976,137.8976,,0.0,2025-07-03T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-07-07,136.511,137.4804,134.2016,134.614,,0.0,2025-07-07T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-07-08,136.3645,138.4193,136.3645,138.266,,0.0,2025-07-08T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-07-09,138.3748,139.4573,138.028,138.312,,0.0,2025-07-09T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
2025-07-10,139.234,144.7372,139.234,144.7372,,0.0,2025-07-10T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMDON,1.0,,,2026-07-14T23:26:29.506912+00:00
