Date,Open,High,Low,Close,Volume,KlineReservedVolume,close_time_utc,price_source,volume_source,binance_symbol,shares_multiplier,token_volume_24h_usd,market_status,collected_at_utc
2025-06-24,212.8042,213.175,212.8042,212.9156,,0.0,2025-06-24T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-06-25,214.4582,214.4582,211.4636,212.1267,,0.0,2025-06-25T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-06-26,213.1462,218.2156,212.8432,218.148,,0.0,2025-06-26T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-06-27,219.1152,223.2276,218.187,222.4141,,0.0,2025-06-27T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-06-30,224.6841,224.7716,219.3837,219.5366,,0.0,2025-06-30T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-01,218.8008,221.1394,218.8008,220.7271,,0.0,2025-07-01T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-02,221.2347,221.2347,219.6863,220.0732,,0.0,2025-07-02T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-03,220.2795,223.4098,220.2795,223.1228,,0.0,2025-07-03T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-07,222.7244,223.8798,222.7244,223.125,,0.0,2025-07-07T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-08,224.2971,224.3895,219.3714,219.6453,,0.0,2025-07-08T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-09,219.8838,223.1436,219.8838,222.182,,0.0,2025-07-09T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-10,221.7856,223.7295,220.5246,223.7295,,0.0,2025-07-10T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-11,221.5595,226.1136,221.5595,224.8528,,0.0,2025-07-11T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-14,223.7384,226.0033,223.7384,225.3357,,0.0,2025-07-14T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-15,225.8408,226.7964,225.8403,225.8403,,0.0,2025-07-15T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-16,226.0966,226.0966,223.0985,223.1555,,0.0,2025-07-16T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-17,223.7222,224.2845,223.0804,224.2845,,0.0,2025-07-17T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-18,224.032,226.1232,223.7004,225.9842,,0.0,2025-07-18T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-21,226.9002,229.3577,226.7098,229.3577,,0.0,2025-07-21T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-22,229.0881,229.8702,226.8028,228.1085,,0.0,2025-07-22T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-23,228.1568,229.951,227.5717,229.8991,,0.0,2025-07-23T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-24,229.7438,232.51,229.5438,232.465,,0.0,2025-07-24T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-25,232.573191,233.14,231.445,231.675,,0.0,2025-07-25T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-26,231.675,231.675,231.675,231.675,,0.0,2025-07-26T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-27,231.675,231.675,231.675,231.675,,0.0,2025-07-27T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-28,232.931047,233.655,232.65,233.0,,0.0,2025-07-28T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-29,232.953505,233.87,230.71,231.225,,0.0,2025-07-29T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-30,231.34753,237.465,229.8,237.43,,0.0,2025-07-30T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-07-31,238.386604,238.386604,216.315,218.605,,0.0,2025-07-31T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-08-01,218.72711,219.236853,213.64,215.075,,0.0,2025-08-01T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-08-04,215.734171,218.225,211.635,212.33,,0.0,2025-08-04T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-08-05,213.186267,215.695,212.560291,213.5475,,0.0,2025-08-05T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-08-06,213.515611,222.32,213.515611,221.57,,0.0,2025-08-06T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-08-07,222.096629,225.53,221.246667,223.35,,0.0,2025-08-07T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-08-08,223.571274,223.957143,222.295,222.686667,,0.0,2025-08-08T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-08-11,222.921863,223.24,220.98375,221.21,,0.0,2025-08-11T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-08-12,221.279037,222.646667,219.806,221.445,,0.0,2025-08-12T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-08-13,221.504544,224.591538,221.485866,224.457143,,0.0,2025-08-13T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
2025-08-14,224.320304,232.966667,224.144521,230.523077,,0.0,2025-08-14T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AMZNON,1.0,,,2026-07-14T23:26:42.222428+00:00
