Date,Open,High,Low,Close,Volume,KlineReservedVolume,close_time_utc,price_source,volume_source,binance_symbol,shares_multiplier,token_volume_24h_usd,market_status,collected_at_utc
2025-06-25,306.2082455659206,306.5569524789155,305.4120661895665,306.3121727329874,,0.0,2025-06-25T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-06-26,307.2611161113624,309.6714918495507,307.2611161113624,309.6714918495507,,0.0,2025-06-26T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-06-27,308.7937192245538,316.81794869782317,308.7937192245538,314.90934166022964,,0.0,2025-06-27T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-06-30,316.6453323238698,317.4916389393536,315.98861586034167,317.4916389393536,,0.0,2025-06-30T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-01,315.92687498363154,321.1388174489386,315.825528624916,320.1600955126648,,0.0,2025-07-01T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-02,321.0631799118756,323.7368973637489,320.3285428885123,323.206640509431,,0.0,2025-07-02T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-03,322.84919855278577,326.8393267875052,322.84919855278577,326.8393267875052,,0.0,2025-07-03T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-07,325.45194377500025,325.45194377500025,319.0265250753173,320.3477996892869,,0.0,2025-07-07T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-08,320.2024803267407,320.92381626090923,314.6401434968245,314.67915340767195,,0.0,2025-07-08T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-09,317.5452403435715,317.5452403435715,315.007511639436,315.6527137272433,,0.0,2025-07-09T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-10,315.4791047346933,323.0784934486065,315.4791047346933,323.008613099404,,0.0,2025-07-10T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-11,320.14927596996154,321.1502325627998,316.98996950061854,316.98996950061854,,0.0,2025-07-11T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-14,316.69168761233226,318.55076298195416,316.46616466717876,318.55076298195416,,0.0,2025-07-14T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-15,318.4172557807079,318.4172557807079,307.8209529998598,307.8209529998598,,0.0,2025-07-15T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-16,309.4569869708197,310.8309696322701,306.41609990005423,308.94826994004853,,0.0,2025-07-16T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-17,308.98182044861454,314.22026583045147,308.98182044861454,314.22026583045147,,0.0,2025-07-17T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-18,315.6527137272433,317.15881392390475,301.5670587936739,305.9493706359204,,0.0,2025-07-18T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-21,305.5685028803948,306.54652998365094,300.74576616682504,302.2614947638738,,0.0,2025-07-21T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-22,302.47768709421905,303.20825438133625,301.0948701272586,301.8489624751158,,0.0,2025-07-22T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-23,303.64728958662414,306.7520020331526,303.64728958662414,306.6000321260091,,0.0,2025-07-23T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
2025-07-24,306.02808529063293,307.60287469418097,305.96336655813286,306.595069033026,,0.0,2025-07-24T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,AXPON,1.007436293656531,,,2026-07-14T23:26:43.875187+00:00
