Date,Open,High,Low,Close,Volume,KlineReservedVolume,close_time_utc,price_source,volume_source,binance_symbol,shares_multiplier,token_volume_24h_usd,market_status,collected_at_utc
2026-06-09,59.365,60.168,58.019318,59.691429,,0.0,2026-06-09T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-10,59.592014,61.361371,55.563684,56.377778,,0.0,2026-06-10T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-11,56.393481,66.688293,56.110991,66.018571,,0.0,2026-06-11T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-12,65.94,66.121667,62.260246,65.428,,0.0,2026-06-12T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-15,68.23,71.17871,67.263103,70.786897,,0.0,2026-06-15T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-16,70.958884,72.879029,67.735,68.885,,0.0,2026-06-16T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-17,68.904599,73.115,68.757092,72.326667,,0.0,2026-06-17T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-18,72.531215,78.294737,72.300262,78.145882,,0.0,2026-06-18T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-22,75.447368,81.845714,74.911136,80.49,,0.0,2026-06-22T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-23,80.370877,80.410789,68.640909,70.623333,,0.0,2026-06-23T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-24,70.504543,81.395,67.145,80.148462,,0.0,2026-06-24T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-25,80.255,80.255,73.52,76.54,,0.0,2026-06-25T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-26,76.215758,76.635714,70.901924,72.37125,,0.0,2026-06-26T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-29,73.459097,73.936372,66.475714,71.81,,0.0,2026-06-29T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-06-30,71.64,74.154,70.181937,73.535,,0.0,2026-06-30T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-07-01,73.34375,73.956695,64.651667,64.825,,0.0,2026-07-01T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-07-02,65.038905,66.5365,58.896667,61.11,,0.0,2026-07-02T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-07-06,64.927695,67.242575,61.207,62.184545,,0.0,2026-07-06T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-07-07,62.296667,63.457826,58.204828,59.074,,0.0,2026-07-07T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-07-08,58.687595,63.071077,56.050495,62.841739,,0.0,2026-07-08T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-07-09,62.77,66.093974,59.480355,65.189333,,0.0,2026-07-09T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-07-10,65.203471,65.203471,61.263333,62.991333,,0.0,2026-07-10T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-07-13,62.057171,62.657497,55.110146,55.853125,,0.0,2026-07-13T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,DRAMON,1.0,,,2026-07-14T23:26:49.770969+00:00
2026-07-14,56.295,61.885714,54.334133,61.64,87626395.198132,0.0,2026-07-14T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,binance_dynamic_stockInfo.volume,DRAMON,1.0,5399403702.713079,postmarket,2026-07-14T23:26:49.770969+00:00
