Date,Open,High,Low,Close,Volume,KlineReservedVolume,close_time_utc,price_source,volume_source,binance_symbol,shares_multiplier,token_volume_24h_usd,market_status,collected_at_utc
2025-06-24,166.462915195061,166.7766845293575,166.462915195061,166.66021862187532,,0.0,2025-06-24T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,GOOGLON,1.0020099660308541,,,2026-07-14T23:26:28.666377+00:00
2025-06-25,167.1630080322398,171.11726011986622,167.1630080322398,170.7568844626955,,0.0,2025-06-25T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,GOOGLON,1.0020099660308541,,,2026-07-14T23:26:28.666377+00:00
2025-06-26,172.01395778801333,173.0196364081489,170.7650680140353,173.0196364081489,,0.0,2025-06-26T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,GOOGLON,1.0020099660308541,,,2026-07-14T23:26:28.666377+00:00
2025-06-27,173.73889073139162,177.990545050635,172.11934596136484,177.7260766231904,,0.0,2025-06-27T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,GOOGLON,1.0020099660308541,,,2026-07-14T23:26:28.666377+00:00
2025-06-30,179.8413250457143,180.4385246947062,175.8742986340453,176.03218129525936,,0.0,2025-06-30T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,GOOGLON,1.0020099660308541,,,2026-07-14T23:26:28.666377+00:00
2025-07-01,175.58517975317469,175.83956844055444,174.0664323837966,175.3551421210012,,0.0,2025-07-01T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,GOOGLON,1.0020099660308541,,,2026-07-14T23:26:28.666377+00:00
2025-07-02,175.47190742670315,178.1385475705974,175.06851822529518,178.1101047397213,,0.0,2025-07-02T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,GOOGLON,1.0020099660308541,,,2026-07-14T23:26:28.666377+00:00
2025-07-03,178.24603153148715,179.16987463822477,177.87407914315278,179.0044072221104,,0.0,2025-07-03T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,GOOGLON,1.0020099660308541,,,2026-07-14T23:26:28.666377+00:00
2025-07-07,177.83086600010242,178.74542776202784,175.7546391455524,176.1223999588103,,0.0,2025-07-07T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,GOOGLON,1.0020099660308541,,,2026-07-14T23:26:28.666377+00:00
2025-07-08,176.9402560957569,177.30691911554234,173.45027084755398,174.16762898207162,,0.0,2025-07-08T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,GOOGLON,1.0020099660308541,,,2026-07-14T23:26:28.666377+00:00
