Date,Open,High,Low,Close,Volume,KlineReservedVolume,close_time_utc,price_source,volume_source,binance_symbol,shares_multiplier,token_volume_24h_usd,market_status,collected_at_utc
2026-02-10,92.5982,94.2903,91.4932,91.6077,,0.0,2026-02-10T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-11,91.7323,93.2036,88.4319,88.6192,,0.0,2026-02-11T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-12,88.3359,90.4114,83.7156,89.2761,,0.0,2026-02-12T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-13,88.8035,97.3557,88.3915,97.1444,,0.0,2026-02-13T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-14,97.101,97.101,97.101,97.101,,0.0,2026-02-14T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-18,96.9906,103.4388,96.9906,101.9191,,0.0,2026-02-18T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-19,101.6521,107.5079,100.732,107.0862,,0.0,2026-02-19T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-20,107.1783,107.8792,97.6802,97.7009,,0.0,2026-02-20T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-21,97.5764,97.5764,97.5764,97.5764,,0.0,2026-02-21T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-24,100.2092,102.5038,100.2092,102.261,,0.0,2026-02-24T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-25,102.3665,107.4389,102.3665,104.5233,,0.0,2026-02-25T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-26,104.8961,106.2423,102.1656,102.1656,,0.0,2026-02-26T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-27,102.2671,102.2671,89.1641,91.0517,,0.0,2026-02-27T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-02-28,90.9409,90.9409,90.9409,90.9409,,0.0,2026-02-28T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-03,90.0816,90.0816,85.0874,86.9528,,0.0,2026-03-03T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-04,87.0651,97.8693,87.0651,97.6329,,0.0,2026-03-04T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-05,97.8611,97.8611,92.7786,95.7197,,0.0,2026-03-05T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-06,95.4706,95.4706,89.46,89.53,,0.0,2026-03-06T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-07,89.3825,89.3825,89.3825,89.3825,,0.0,2026-03-07T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-09,87.2521,95.0485,87.2521,94.2851,,0.0,2026-03-09T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-10,96.0624,98.0559,95.2917,98.0559,,0.0,2026-03-10T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-11,98.586,112.366667,97.8634,109.073333,,0.0,2026-03-11T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-12,111.460483,111.927928,106.563333,108.226667,,0.0,2026-03-12T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-13,107.966667,116.468696,106.05375,112.76,,0.0,2026-03-13T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-16,114.143254,133.153333,113.403386,130.17,,0.0,2026-03-16T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-17,130.018383,130.443678,113.118,115.7625,,0.0,2026-03-17T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-18,115.98,122.755,112.663333,117.825,,0.0,2026-03-18T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-19,117.817168,121.871429,114.027241,121.835,,0.0,2026-03-19T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-20,121.475,123.68,112.648333,118.683333,,0.0,2026-03-20T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
2026-03-23,115.044248,121.6875,112.634375,114.3375,,0.0,2026-03-23T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NBISON,1.0,,,2026-07-14T23:26:52.724279+00:00
