Date,Open,High,Low,Close,Volume,KlineReservedVolume,close_time_utc,price_source,volume_source,binance_symbol,shares_multiplier,token_volume_24h_usd,market_status,collected_at_utc
2025-06-17,122.26626000000002,122.26626000000002,121.70913,121.74128,,0.0,2025-06-17T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NFLXON,10.0,,,2026-07-14T23:26:33.894584+00:00
2025-06-18,122.59972,123.33664000000002,122.03975,122.03975,,0.0,2025-06-18T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NFLXON,10.0,,,2026-07-14T23:26:33.894584+00:00
2025-06-20,122.04232999999999,123.74231,122.04232999999999,123.03558000000001,,0.0,2025-06-20T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NFLXON,10.0,,,2026-07-14T23:26:33.894584+00:00
2025-06-23,123.45259000000001,126.02955,122.99548,126.02955,,0.0,2025-06-23T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NFLXON,10.0,,,2026-07-14T23:26:33.894584+00:00
2025-06-24,126.04045,127.94717,125.70542,127.87747999999999,,0.0,2025-06-24T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NFLXON,10.0,,,2026-07-14T23:26:33.894584+00:00
2025-06-25,128.02714,129.20647,127.52539999999999,127.73416999999999,,0.0,2025-06-25T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NFLXON,10.0,,,2026-07-14T23:26:33.894584+00:00
2025-06-26,128.08736,130.65512,127.96405,130.52175,,0.0,2025-06-26T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NFLXON,10.0,,,2026-07-14T23:26:33.894584+00:00
2025-06-27,131.04131999999998,132.6277,130.8235,132.36579,,0.0,2025-06-27T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NFLXON,10.0,,,2026-07-14T23:26:33.894584+00:00
2025-06-30,132.60402,133.9125,132.49173000000002,133.90471,,0.0,2025-06-30T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NFLXON,10.0,,,2026-07-14T23:26:33.894584+00:00
2025-07-01,133.79993,133.92971,128.97433,129.51964,,0.0,2025-07-01T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,NFLXON,10.0,,,2026-07-14T23:26:33.894584+00:00
