Date,Open,High,Low,Close,Volume,KlineReservedVolume,close_time_utc,price_source,volume_source,binance_symbol,shares_multiplier,token_volume_24h_usd,market_status,collected_at_utc
2026-06-04,0.0,728.2721359399546,0.0,719.9280280599259,,0.0,2026-06-04T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-05,703.3190458285237,719.4230820468144,683.35550925319,685.1696012974351,,0.0,2026-06-05T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-08,692.9931808303558,731.6251104527959,679.14072188207,697.2254553318189,,0.0,2026-06-08T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-09,695.9714514051032,739.4264993582531,667.5352966895641,691.2260967601985,,0.0,2026-06-09T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-10,691.2260967601985,710.6667362416816,641.3235751461726,648.1307043540586,,0.0,2026-06-10T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-11,642.1986655848634,691.9260219268875,642.0390476506,688.4263960934423,,0.0,2026-06-11T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-12,686.3566173862332,716.1109361687323,652.073393816842,709.2641681988706,,0.0,2026-06-12T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-15,717.7045157893191,743.3436015567287,708.0028740515971,727.7888546105385,,0.0,2026-06-15T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-16,727.7888546105385,738.727685072793,716.1734294871867,723.49764641004,,0.0,2026-06-16T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-17,720.6099551509001,739.1573361361512,708.2692745690769,719.7230499753955,,0.0,2026-06-17T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-18,721.8228254754627,734.9650563586057,697.8903842401736,705.6388418048466,,0.0,2026-06-18T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-22,703.9872323885828,743.9204628809312,696.1011315402011,736.8712165592772,,0.0,2026-06-22T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
2026-06-23,733.2073222887824,743.4680112553215,692.09933639677,703.1614876740366,,0.0,2026-06-23T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,PWRON,1.0001069161597744,,,2026-07-14T23:26:37.275604+00:00
