Date,Open,High,Low,Close,Volume,KlineReservedVolume,close_time_utc,price_source,volume_source,binance_symbol,shares_multiplier,token_volume_24h_usd,market_status,collected_at_utc
2026-02-10,578.9454,587.2792,539.2768,539.3048,,0.0,2026-02-10T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-11,538.4239,609.609,538.4239,606.8903,,0.0,2026-02-11T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-12,610.9256,652.7058,610.9256,642.2564,,0.0,2026-02-12T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-13,641.7062,652.9022,599.5012,629.1674,,0.0,2026-02-13T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-14,629.6437,629.6437,629.6437,629.6437,,0.0,2026-02-14T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-18,577.8192,612.2671,571.4865,602.8031,,0.0,2026-02-18T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-19,602.017,622.3282,601.5493,618.4275,,0.0,2026-02-19T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-20,618.9747,651.6834,617.9382,649.9461,,0.0,2026-02-20T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-21,647.2066,647.2066,647.2066,647.2066,,0.0,2026-02-21T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-24,671.2993,690.639,624.9044,638.434,,0.0,2026-02-24T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-25,639.4567,643.8622,624.0971,624.0971,,0.0,2026-02-25T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-26,623.7614,663.3481,620.4661,644.4798,,0.0,2026-02-26T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-27,645.0683,651.8786,630.6304,632.5204,,0.0,2026-02-27T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-02-28,633.0044,633.0044,633.0044,633.0044,,0.0,2026-02-28T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-03-03,614.6183,614.6183,561.7084,561.7084,,0.0,2026-03-03T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
2026-03-04,566.7018,601.6799,566.7018,601.6799,,0.0,2026-03-04T23:59:59.999000+00:00,binance_rwa_kline_utc_1d,unavailable_in_binance_kline,SNDKON,1.0,,,2026-07-14T23:26:47.765172+00:00
