ticker,trades,wins,win_rate,avg_return,total_pnl_usd
STX,25,14,0.56,0.03877293155950858,96.93232889877144
SNDK,4,4,1.0,0.22303219708272815,89.21287883309125
PLTR,7,6,0.8571428571428571,0.10610716836881132,74.27501785816793
AXP,31,16,0.5161290322580645,0.021428622191102933,66.4287287924191
NVDA,24,14,0.5833333333333334,0.026291545303590614,63.09970872861747
GOOGL,18,12,0.6666666666666666,0.034253919254130544,61.65705465743498
GEV,8,5,0.625,0.0677584144853802,54.20673158830416
MRVL,29,15,0.5172413793103449,0.016646385907250007,48.274519131025016
BTC,38,14,0.3684210526315789,0.010430719491172314,39.63673406645479
META,15,8,0.5333333333333333,0.025065059132699585,37.59758869904938
AVGO,22,12,0.5454545454545454,0.013748165782311835,30.24596472108604
SPOT,15,8,0.5333333333333333,0.018061159426743394,27.091739140115095
MU,10,6,0.6,0.02331680798191651,23.316807981916508
AMD,18,8,0.4444444444444444,0.01240086929291524,22.321564727247438
TMUS,32,15,0.46875,0.006372775445377579,20.39288142520826
QQQ,29,10,0.3448275862068966,0.00622270620683488,18.045847999821152
AAPL,17,9,0.5294117647058824,0.010101421553070242,17.172416640219417
LIN,40,16,0.4,0.004084235877054282,16.336943508217132
MA,31,13,0.41935483870967744,0.004711822982803349,14.60665124669038
MSFT,30,13,0.43333333333333335,0.004514962709253012,13.544888127759034
QCOM,15,6,0.4,0.00722308934892392,10.834634023385883
V,31,13,0.41935483870967744,0.0029807421707377236,9.240300729286945
NFLX,14,6,0.42857142857142855,0.003927150986122507,5.498011380571511
XOM,20,6,0.3,0.0026584853465862757,5.316970693172553
REGN,28,10,0.35714285714285715,0.0014701660473734137,4.116464932645561
COST,20,6,0.3,0.001408370051562402,2.8167401031248005
DELL,28,11,0.39285714285714285,0.0004291596742370237,1.201647087863666
BAC,21,8,0.38095238095238093,0.00012060461451103764,0.2532696904731795
LLY,21,8,0.38095238095238093,-0.0005005098232060359,-1.051070628732675
AMZN,26,11,0.4230769230769231,-0.0013790499297257918,-3.5855298172870596
KO,29,10,0.3448275862068966,-0.0018908508178278318,-5.483467371700712
CVX,23,5,0.21739130434782608,-0.002578757328190153,-5.931141854837354
PWR,31,10,0.3225806451612903,-0.0021298311010937423,-6.6024764133906
NBIS,3,1,0.3333333333333333,-0.02709633821567888,-8.128901464703663
OXY,19,7,0.3684210526315789,-0.00668379592106692,-12.699212250027148
CEG,13,5,0.38461538461538464,-0.01182939536331503,-15.378213972309538
PBR,16,5,0.3125,-0.010667322160525183,-17.067715456840293
SOFI,13,5,0.38461538461538464,-0.013487186802504781,-17.533342843256218
RKLB,14,4,0.2857142857142857,-0.012873887708187188,-18.02344279146206
TSM,26,9,0.34615384615384615,-0.008827607066084372,-22.951778371819366
UNH,22,8,0.36363636363636365,-0.010951455229224062,-24.093201504292935
NOC,30,11,0.36666666666666664,-0.008037292379389212,-24.111877138167635
ADBE,21,5,0.23809523809523808,-0.017895186256359743,-37.579891138355464
ACN,29,7,0.2413793103448276,-0.013059264112070743,-37.87186592500515
NOW,26,10,0.38461538461538464,-0.0182558532171441,-47.46521836457466
WDC,28,7,0.25,-0.02538025258468388,-71.06470723711486
