ticker,status,usable_days
BTC,OK,3534
QQQ,OK,2394
NVDA,OK,2394
TSM,OK,2394
AVGO,OK,2394
GOOGL,OK,2394
AMD,OK,2394
MRVL,OK,2394
RKLB,OK,1294
NOW,OK,2394
QCOM,OK,2394
DELL,OK,2370
MSFT,OK,2394
NFLX,OK,2394
ADBE,OK,2394
SOFI,OK,1268
REGN,OK,2394
MA,OK,2394
V,OK,2394
PWR,OK,2394
CEG,OK,1005
COST,OK,2394
GEV,OK,456
LLY,OK,2394
SPOT,OK,1962
TMUS,OK,2394
ACN,OK,2394
AAPL,OK,2394
AMZN,OK,2394
KO,OK,2394
BAC,OK,2394
AXP,OK,2394
CVX,OK,2394
XOM,OK,2394
LIN,OK,2394
NOC,OK,2394
UNH,OK,2394
MU,OK,2394
SNDK,OK,235
WDC,OK,2394
STX,OK,2394
OXY,OK,2394
PBR,OK,2394
META,OK,2394
PLTR,OK,1333
NBIS,OK,313
