ticker,trades,mean_return,median_return,overall_mean,mean_difference_vs_others,welch_p,mann_whitney_p,welch_q_bh,mann_whitney_q_bh,significantly_worse_fdr_5pct
WDC,28,-0.025380243865248533,-0.0440004746819474,0.004847622991190774,-0.0310888844271212,0.07067071930276049,0.0018990295733944608,0.6997996643850606,0.08355730122935627,False
NOW,26,-0.018255853217144093,-0.04240118468662085,0.004847622991190774,-0.023713314159011727,0.07952268913466597,0.09170091373311463,0.6997996643850606,0.5306568407435084,False
ADBE,21,-0.017895186256359715,-0.0542671607651104,0.004847622991190774,-0.02322523247401368,0.1873261232206509,0.02859659630878626,0.8859651050026126,0.31456255939664884,False
SOFI,13,-0.013487186802504778,-0.0343502470408519,0.004847622991190774,-0.01857363998138898,0.5260802087980443,0.2390642223054169,0.9843185895824688,0.7012550520958897,False
ACN,29,-0.013059300156966295,-0.0274820680155969,0.004847622991190774,-0.01843574267086232,0.03823469752969681,0.22594878734461377,0.6955232337991503,0.7012550520958897,False
RKLB,14,-0.012873887708187157,-0.06086497419259715,0.004847622991190774,-0.01797035839224783,0.5844363257898764,0.06642244768067321,0.9843185895824688,0.5306568407435084,False
CEG,13,-0.011829370862299545,-0.0481334661189917,0.004847622991190774,-0.016894229244367447,0.4729930325119531,0.20887025944768756,0.9843185895824688,0.7012550520958897,False
UNH,22,-0.01095148850858189,-0.02790860506756715,0.004847622991190774,-0.01615055786276053,0.2871795660708166,0.4833354183989238,0.9719923774704563,0.787458829371286,False
PBR,16,-0.010667350994477943,-0.04816880963157315,0.004847622991190774,-0.015764461004533742,0.47278516337125015,0.1417464131279238,0.9843185895824688,0.6249546223867332,False
TSM,26,-0.008827615241232252,-0.02304814431759045,0.004847622991190774,-0.014036208987796629,0.2688682519597741,0.29957533646985046,0.9719923774704563,0.787458829371286,False
NOC,30,-0.00803731520095673,-0.01954826272242935,0.004847622991190774,-0.013278972999246817,0.1687414452071429,0.5257961159787872,0.8859651050026126,0.787458829371286,False
OXY,19,-0.006683858594998,-0.0343878521557737,0.004847622991190774,-0.011752346656891986,0.6017442933183966,0.31549431476651035,0.9843185895824688,0.787458829371286,False
CVX,23,-0.0025787441246466363,-0.024192865721884,0.004847622991190774,-0.007599248131691924,0.5484202243254968,0.6539880763438913,0.9843185895824688,0.8254456058026038,False
PWR,31,-0.002129766046810098,-0.0159095306146102,0.004847622991190774,-0.007198102364713145,0.47577068638626246,0.7793236714685822,0.9843185895824688,0.8780502185713063,False
KO,29,-0.0018908412005684072,-0.0087885301311629,0.004847622991190774,-0.006937461606790766,0.32531493364301234,0.582694847318237,0.9843185895824688,0.787458829371286,False
AMZN,26,-0.0013790499297257723,-0.032328807324341,0.004847622991190774,-0.006391031800047338,0.6060530872244658,0.5094493824364494,0.9843185895824688,0.787458829371286,False
LLY,21,-0.0005005072657785372,-0.0217520719630228,0.004847622991190774,-0.005461575444238358,0.7127484680115899,0.7982274714284603,0.9891056253176255,0.8780502185713063,False
BAC,21,0.00012064604009105271,-0.0128291706405562,0.004847622991190774,-0.004827246159153351,0.7092022904295706,0.9521238243986996,0.9891056253176255,0.9521238243986996,False
DELL,28,0.0004291499299956457,-0.010946884415889,0.004847622991190774,-0.004544329872704247,0.6263845570070256,0.8262187717055317,0.9843185895824688,0.8866738037815463,False
COST,20,0.0014083365409858955,-0.02023330951339645,0.004847622991190774,-0.003508696873014261,0.8151739439791584,0.9079417323094827,0.9891056253176255,0.9511770528956486,False
REGN,28,0.0014701691280757279,-0.0325275811964572,0.004847622991190774,-0.003473658042328903,0.8315850180610534,0.43418083123757456,0.9891056253176255,0.787458829371286,False
XOM,20,0.002658471753217074,-0.0176629162182272,0.004847622991190774,-0.002233331888588709,0.8539387724609913,0.7182280556289324,0.9891056253176255,0.8778342902131396,False
V,31,0.0029807864091508855,-0.0101923266928969,0.004847622991190774,-0.0019258895759615585,0.8147405876480599,0.4215464101847882,0.9891056253176255,0.787458829371286,False
NFLX,14,0.0039271509861225126,-0.0181884440437074,0.004847622991190774,-0.0009333973892918885,0.9629075691962984,0.94452141410395,0.9891056253176255,0.9521238243986996,False
TMUS,33,0.004071424467617421,-0.0033440894738255,0.004847622991190774,-0.0008023892713012876,0.9439807332794292,0.7866662752587266,0.9891056253176255,0.8780502185713063,False
LIN,40,0.004084250267275051,-0.0062860094672197,0.004847622991190774,-0.000794819592048193,0.9137582158455693,0.23780393669226496,0.9891056253176255,0.7012550520958897,False
MSFT,30,0.00451488927265548,-0.014501470997815648,0.004847622991190774,-0.0003429090616097674,0.9708080643925532,0.5253820648151801,0.9891056253176255,0.787458829371286,False
MA,31,0.004711771421256842,-0.0075373778995261,0.004847622991190774,-0.0001401489155134746,0.9891056253176254,0.5610179535674638,0.9891056253176255,0.787458829371286,False
QQQ,29,0.006222650866079213,-0.0096656969825115,0.004847622991190774,0.0014156346043912547,0.859808745518528,0.20654314905427018,0.9891056253176255,0.7012550520958897,False
QCOM,15,0.007223176017318282,-0.026821203731452,0.004847622991190774,0.0024113294271234046,0.9147825067181873,0.7460597398704106,0.9891056253176255,0.8780502185713063,False
AAPL,17,0.01010139679998861,0.0023521667054227,0.004847622991190774,0.005343627083193776,0.6842494500475339,0.3917009223142599,0.9891056253176255,0.787458829371286,False
BTC,38,0.010430719491172339,-0.0302498060814275,0.004847622991190774,0.005801141378706435,0.7453555175002363,0.5323952710758562,0.9891056253176255,0.787458829371286,False
AMD,18,0.012400869292915251,-0.02706499746906675,0.004847622991190774,0.007690163153115252,0.7601427264716936,0.5905941220284645,0.9891056253176255,0.787458829371286,False
