benchmark_above_ma200,industry,events,avg_max_adverse_60d,avg_ret_5d,win_rate_ret_5d,avg_excess_ret_5d,excess_win_rate_5d,avg_ret_10d,win_rate_ret_10d,avg_excess_ret_10d,excess_win_rate_10d,avg_ret_20d,win_rate_ret_20d,avg_excess_ret_20d,excess_win_rate_20d,avg_ret_30d,win_rate_ret_30d,avg_excess_ret_30d,excess_win_rate_30d,avg_ret_60d,win_rate_ret_60d,avg_excess_ret_60d,excess_win_rate_60d
False,AI半導體,308,-12.08%,0.94%,58.12%,0.29%,51.30%,1.68%,61.69%,0.29%,52.60%,2.38%,58.44%,0.14%,47.08%,3.59%,54.87%,0.66%,46.75%,13.59%,67.86%,8.13%,57.79%
False,ETF對照,132,-7.53%,1.02%,57.58%,0.35%,54.55%,1.14%,65.15%,0.27%,48.48%,1.80%,61.36%,0.12%,47.73%,1.41%,61.36%,-0.01%,50.76%,6.01%,72.73%,1.49%,55.30%
False,大型科技平台,245,-8.74%,0.40%,56.33%,-0.16%,53.47%,1.61%,59.18%,0.28%,52.24%,3.78%,68.16%,1.12%,53.06%,4.94%,62.45%,1.53%,52.65%,8.98%,70.20%,3.29%,55.10%
False,工業基建,214,-8.03%,0.08%,55.14%,-0.09%,47.66%,1.50%,61.68%,0.58%,55.14%,3.04%,67.76%,1.22%,60.75%,4.42%,68.69%,1.66%,65.89%,9.49%,78.04%,4.24%,67.76%
False,能源原物料,246,-10.27%,0.42%,53.25%,0.41%,54.07%,0.95%,57.32%,0.45%,50.81%,2.34%,63.01%,1.01%,54.88%,3.62%,62.20%,1.19%,56.10%,6.23%,68.70%,1.27%,51.63%
False,金融支付,250,-8.16%,0.30%,58.40%,-0.08%,49.60%,0.69%,59.60%,-0.12%,50.40%,1.49%,58.40%,0.01%,50.40%,2.13%,62.00%,0.21%,49.20%,5.64%,69.20%,0.68%,53.60%
False,防禦消費,406,-5.42%,0.25%,56.16%,-0.43%,46.06%,0.59%,58.87%,-0.50%,46.80%,0.72%,57.88%,-1.27%,44.83%,0.95%,59.36%,-2.10%,38.67%,2.17%,62.56%,-3.54%,33.99%
False,高波動成長股,124,-19.80%,0.65%,54.84%,-0.20%,44.35%,1.71%,53.23%,0.18%,51.61%,2.49%,54.03%,0.36%,52.42%,2.26%,46.77%,0.16%,50.81%,10.09%,45.97%,6.26%,41.13%
True,AI半導體,2680,-9.87%,0.85%,54.55%,0.56%,51.53%,1.68%,56.87%,1.15%,53.51%,3.32%,58.58%,2.29%,55.00%,4.98%,61.34%,3.34%,56.04%,10.06%,65.41%,6.85%,58.62%
True,ETF對照,1732,-5.36%,0.41%,59.58%,0.19%,54.33%,0.69%,60.51%,0.29%,52.02%,1.24%,64.61%,0.46%,53.64%,2.08%,67.84%,0.72%,54.62%,4.36%,72.23%,1.56%,57.97%
True,大型科技平台,2355,-7.33%,0.43%,54.56%,0.23%,50.57%,0.98%,57.71%,0.54%,53.84%,1.98%,60.64%,1.02%,54.27%,3.02%,61.70%,1.63%,56.48%,6.05%,67.35%,3.16%,57.45%
True,工業基建,1901,-7.37%,0.39%,56.18%,0.17%,51.45%,0.66%,54.60%,0.20%,48.92%,1.40%,58.34%,0.41%,51.03%,2.06%,58.23%,0.52%,50.18%,4.17%,60.07%,0.94%,49.82%
True,能源原物料,1777,-8.73%,0.24%,52.11%,-0.00%,47.66%,0.48%,53.63%,0.01%,45.86%,0.92%,52.90%,-0.09%,45.47%,1.48%,53.35%,-0.13%,42.49%,2.18%,51.21%,-0.86%,39.28%
True,金融支付,2355,-6.49%,0.31%,55.54%,0.10%,52.19%,0.62%,58.09%,0.16%,52.99%,1.26%,60.55%,0.29%,53.25%,1.93%,62.93%,0.54%,55.63%,4.09%,66.37%,1.25%,56.18%
True,防禦消費,2542,-4.53%,0.22%,55.94%,0.05%,50.83%,0.43%,58.50%,0.05%,50.71%,0.79%,58.34%,-0.00%,48.62%,1.18%,59.40%,-0.07%,48.39%,2.71%,63.81%,-0.09%,47.84%
True,高波動成長股,775,-15.45%,0.97%,50.32%,0.80%,49.42%,1.85%,51.35%,1.40%,49.68%,4.43%,50.45%,3.39%,49.03%,7.54%,53.16%,5.91%,47.87%,15.32%,52.13%,12.41%,50.45%
