date,ticker,industry,pattern,close,benchmark,benchmark_above_ma200,above_ma200,ma25_rising_3d,ma25_slope_5d,atr14,ma25_distance_atr,vol5_over_vol60,ret_5d,bench_ret_5d,excess_ret_5d,ret_10d,bench_ret_10d,excess_ret_10d,ret_20d,bench_ret_20d,excess_ret_20d,ret_30d,bench_ret_30d,excess_ret_30d,ret_60d,bench_ret_60d,excess_ret_60d,max_adverse_60d
2010-09-03,NVDA,AI半導體,誘多,0.2269042283296585,SPY,False,False,True,-0.68%,0.01,1.02,0.87,7.47%,1.65%,5.82%,8.18%,3.55%,4.64%,13.54%,3.13%,10.41%,14.75%,7.24%,7.51%,37.47%,7.43%,30.05%,0.00%
2010-09-13,NVDA,AI半導體,沖量,0.2438647598028183,SPY,True,False,True,2.01%,0.01,2.28,1.05,0.66%,1.86%,-1.21%,12.78%,1.92%,10.86%,1.60%,4.04%,-2.44%,11.94%,5.87%,6.07%,40.79%,9.55%,31.24%,-0.94%
2010-09-20,NVDA,AI半導體,誘多,0.24546915292739868,SPY,True,False,True,2.82%,0.01,2.17,0.60,12.04%,0.05%,11.99%,4.95%,-0.40%,5.35%,6.07%,3.56%,2.51%,12.42%,3.78%,8.64%,36.23%,9.16%,27.07%,-0.09%
2010-10-01,NVDA,AI半導體,波段,0.2601376175880432,SPY,True,False,True,3.74%,0.01,1.47,1.00,-4.32%,1.68%,-6.00%,-0.53%,2.70%,-3.22%,5.90%,3.39%,2.52%,16.83%,4.88%,11.95%,31.63%,10.37%,21.26%,-5.73%
2010-10-11,NVDA,AI半導體,誘多,0.2477610558271408,SPY,True,False,True,2.47%,0.01,0.42,0.85,5.09%,1.40%,3.69%,10.18%,1.76%,8.42%,17.11%,5.01%,12.11%,27.29%,3.03%,24.25%,57.08%,10.00%,47.08%,0.00%
2010-10-22,NVDA,AI半導體,沖量,0.2704514265060425,SPY,True,False,True,1.42%,0.01,1.07,1.05,1.86%,0.12%,1.75%,6.86%,3.69%,3.17%,16.53%,1.64%,14.89%,22.97%,3.73%,19.24%,89.92%,8.93%,80.98%,0.00%
2010-10-25,NVDA,AI半導體,波段,0.2729727029800415,SPY,True,False,True,1.59%,0.01,1.23,1.11,1.09%,-0.14%,1.23%,6.30%,3.19%,3.10%,15.53%,1.26%,14.28%,25.78%,3.48%,22.30%,88.33%,8.47%,79.86%,-0.34%
2010-10-28,NVDA,AI半導體,誘多,0.2761813700199127,SPY,True,False,True,1.46%,0.01,1.55,0.94,2.90%,3.26%,-0.36%,4.65%,2.74%,1.91%,12.86%,0.34%,12.53%,24.07%,5.14%,18.93%,98.92%,9.67%,89.25%,-0.25%
2010-11-11,NVDA,AI半導體,誘多,0.28901636600494385,SPY,True,False,True,2.72%,0.01,2.40,0.90,5.63%,-1.38%,7.01%,7.85%,-2.33%,10.19%,18.56%,2.33%,16.22%,18.95%,3.84%,15.11%,89.29%,9.56%,79.74%,0.00%
2010-11-12,NVDA,AI半導體,沖量,0.30391421914100647,SPY,True,True,True,3.10%,0.01,3.45,1.24,3.70%,0.07%,3.62%,3.70%,-0.87%,4.56%,9.88%,3.63%,6.25%,12.67%,5.23%,7.44%,75.64%,10.62%,65.02%,-4.15%
2010-11-26,NVDA,AI半導體,誘多,0.31170690059661865,SPY,True,True,True,3.93%,0.01,2.05,0.57,8.75%,3.44%,5.31%,9.93%,4.78%,5.15%,10.29%,6.32%,3.97%,51.69%,7.45%,44.24%,62.57%,10.87%,51.71%,0.00%
2010-12-10,NVDA,AI半導體,誘多,0.34264838695526123,SPY,True,True,True,4.04%,0.01,2.95,0.93,-3.88%,0.38%,-4.26%,0.33%,1.47%,-1.14%,37.99%,2.54%,35.45%,60.33%,4.31%,56.02%,28.03%,6.91%,21.11%,-4.55%
2010-12-27,NVDA,AI半導體,誘多,0.3437943458557129,SPY,True,True,True,2.51%,0.01,1.42,0.54,5.47%,1.11%,4.35%,37.53%,1.06%,36.47%,59.80%,2.80%,57.00%,59.13%,5.51%,53.63%,18.73%,3.64%,15.09%,-0.40%
2010-12-30,NVDA,AI半導體,縮量黑馬,0.3435651361942291,SPY,True,True,True,2.13%,0.01,1.27,0.33,28.95%,1.33%,27.62%,56.04%,2.11%,53.93%,58.51%,1.59%,56.91%,56.57%,5.88%,50.69%,28.89%,4.64%,24.25%,0.00%
2011-01-05,NVDA,AI半導體,沖量,0.38917508721351624,SPY,True,True,True,2.98%,0.01,5.00,1.07,37.51%,0.74%,36.78%,32.10%,0.34%,31.75%,47.82%,2.46%,45.36%,51.24%,5.18%,46.06%,7.18%,4.77%,2.41%,0.00%
2011-02-01,NVDA,AI半導體,誘多,0.5608431100845337,SPY,True,True,True,9.96%,0.03,2.75,0.90,-2.45%,1.40%,-3.85%,-7.85%,1.74%,-9.58%,-15.20%,0.36%,-15.56%,-28.36%,-3.49%,-24.87%,-20.27%,4.56%,-24.83%,-29.22%
2011-02-03,NVDA,AI半導體,沖量,0.5752822756767273,SPY,True,True,True,9.75%,0.03,2.85,1.06,-9.08%,1.18%,-10.26%,2.31%,2.65%,-0.34%,-17.29%,1.29%,-18.58%,-29.80%,-1.88%,-27.92%,-21.39%,4.61%,-26.01%,-31.00%
2011-02-08,NVDA,AI半導體,波段,0.5470911860466003,SPY,True,True,True,9.38%,0.03,0.97,1.13,-5.53%,0.33%,-5.86%,-7.37%,-1.17%,-6.20%,-19.82%,-0.14%,-19.68%,-25.39%,-1.77%,-23.62%,-21.83%,1.22%,-23.05%,-27.44%
2011-02-23,NVDA,AI半導體,波段,0.5067528486251831,SPY,True,True,False,1.07%,0.03,1.26,1.64,-6.15%,0.14%,-6.30%,-13.43%,1.05%,-14.48%,-19.45%,-0.61%,-18.84%,-21.03%,2.46%,-23.49%,-19.58%,3.24%,-22.82%,-21.66%
2011-04-15,NVDA,AI半導體,誘多,0.42882615327835083,SPY,True,True,True,-1.20%,0.02,0.96,0.76,0.53%,1.21%,-0.68%,5.45%,3.17%,2.29%,-5.40%,0.87%,-6.27%,7.11%,2.17%,4.94%,-21.65%,0.34%,-21.99%,-21.49%
2011-05-02,NVDA,AI半導體,誘多,0.452204167842865,SPY,True,True,True,1.53%,0.02,1.76,0.61,0.10%,-1.10%,1.20%,-10.29%,-2.22%,-8.06%,1.57%,-0.97%,2.54%,-13.13%,-5.07%,-8.06%,-29.75%,-3.65%,-26.10%,-30.06%
2011-05-13,NVDA,AI半導體,波段,0.4185121953487396,SPY,True,True,True,2.01%,0.02,0.68,1.01,-0.93%,-0.32%,-0.61%,6.79%,-0.40%,7.19%,-6.90%,-4.73%,-2.17%,-15.61%,-4.08%,-11.53%,-29.19%,-11.92%,-17.27%,-34.67%
2011-05-20,NVDA,AI半導體,誘多,0.4146159291267395,SPY,True,True,False,0.16%,0.02,0.99,0.84,7.79%,-0.07%,7.87%,-0.11%,-3.42%,3.31%,-13.65%,-3.95%,-9.70%,-12.22%,0.65%,-12.86%,-28.19%,-10.05%,-18.14%,-34.05%
2011-06-03,NVDA,AI半導體,縮量黑馬,0.4230962097644806,SPY,True,True,False,0.16%,0.01,0.66,0.86,-7.26%,-2.16%,-5.10%,-14.36%,-2.10%,-12.25%,-12.51%,3.19%,-15.71%,-25.24%,0.64%,-25.89%,-27.63%,-6.49%,-21.14%,-36.46%
