industry,pattern,events,avg_max_adverse_60d,avg_ret_5d,win_rate_ret_5d,avg_ret_10d,win_rate_ret_10d,avg_ret_20d,win_rate_ret_20d,avg_ret_30d,win_rate_ret_30d,avg_ret_60d,win_rate_ret_60d
AI半導體,沖量,629,-9.61%,1.20%,55.96%,1.99%,59.14%,3.59%,59.14%,5.55%,63.12%,10.35%,64.71%
AI半導體,波段,617,-10.42%,0.85%,53.48%,1.45%,55.27%,2.56%,55.59%,3.78%,57.86%,9.82%,63.70%
AI半導體,縮量黑馬,235,-10.39%,1.28%,56.17%,1.44%,53.62%,2.18%,54.04%,3.59%,59.57%,7.67%,65.53%
AI半導體,誘多,1515,-10.08%,0.87%,55.38%,1.75%,57.56%,3.45%,60.07%,5.00%,61.58%,10.27%,66.53%
ETF對照,沖量,430,-6.35%,0.23%,56.98%,0.63%,59.77%,0.95%,62.09%,1.89%,66.74%,3.97%,70.47%
ETF對照,波段,702,-6.33%,0.41%,58.40%,0.69%,60.68%,1.27%,64.39%,1.82%,67.09%,4.41%,70.66%
ETF對照,縮量黑馬,113,-6.21%,0.60%,61.95%,0.36%,64.60%,1.13%,59.29%,1.68%,63.72%,4.16%,68.14%
ETF對照,誘多,1174,-5.92%,0.28%,58.60%,0.69%,61.75%,1.29%,64.48%,2.03%,65.42%,4.05%,68.74%
大型科技平台,沖量,531,-7.68%,0.38%,52.73%,0.70%,54.80%,1.86%,58.76%,2.84%,60.45%,5.73%,66.85%
大型科技平台,波段,578,-7.58%,0.44%,55.54%,0.70%,54.84%,1.89%,59.52%,2.62%,58.13%,5.31%,66.26%
大型科技平台,縮量黑馬,225,-7.10%,0.61%,56.44%,0.95%,61.33%,1.98%,63.11%,3.18%,65.33%,6.31%,67.56%
大型科技平台,誘多,1445,-7.52%,0.45%,55.02%,1.08%,59.03%,2.13%,62.28%,3.22%,61.87%,6.49%,66.85%
工業基建,沖量,432,-7.12%,0.53%,59.26%,1.00%,58.80%,1.58%,56.94%,2.15%,58.80%,5.27%,62.04%
工業基建,波段,564,-8.14%,0.23%,51.95%,0.69%,53.19%,1.55%,59.22%,2.05%,58.87%,3.38%,57.45%
工業基建,縮量黑馬,165,-7.70%,0.46%,58.79%,0.57%,53.33%,1.47%,57.58%,1.78%,51.52%,4.13%,60.00%
工業基建,誘多,1176,-7.44%,0.28%,54.59%,0.71%,54.76%,1.47%,58.33%,2.35%,59.61%,4.86%,62.84%
能源原物料,沖量,408,-9.19%,0.33%,51.96%,0.79%,55.88%,1.02%,54.41%,1.62%,53.92%,2.11%,52.21%
能源原物料,波段,544,-8.71%,0.19%,50.92%,0.38%,51.29%,0.96%,51.65%,1.44%,52.39%,2.63%,52.76%
能源原物料,縮量黑馬,183,-8.33%,0.26%,48.63%,0.97%,47.54%,1.58%,56.28%,2.16%,56.83%,1.88%,49.73%
能源原物料,誘多,1106,-8.89%,0.22%,53.44%,0.36%,53.89%,0.97%,53.98%,1.45%,53.71%,2.15%,52.17%
金融支付,沖量,534,-7.14%,0.07%,55.06%,0.41%,56.55%,1.09%,60.11%,1.42%,60.11%,3.67%,64.42%
金融支付,波段,736,-6.63%,0.45%,56.11%,0.63%,58.15%,1.41%,59.51%,2.26%,63.18%,4.21%,67.12%
金融支付,縮量黑馬,195,-6.44%,0.78%,62.05%,0.89%,60.00%,1.64%,61.54%,2.45%,66.15%,4.12%,67.69%
金融支付,誘多,1408,-6.89%,0.33%,55.54%,0.63%,58.88%,1.10%,60.87%,1.66%,62.43%,3.75%,65.13%
防禦消費,沖量,593,-4.96%,0.06%,52.28%,0.32%,57.00%,0.49%,56.66%,0.69%,58.18%,2.13%,59.70%
防禦消費,波段,1023,-4.69%,0.24%,55.23%,0.53%,57.67%,0.94%,59.24%,1.35%,58.75%,2.78%,64.13%
防禦消費,縮量黑馬,310,-4.73%,0.32%,59.35%,0.39%,54.84%,0.54%,59.35%,0.73%,57.10%,2.02%,59.35%
防禦消費,誘多,1546,-4.45%,0.23%,57.37%,0.42%,59.51%,0.84%,58.93%,1.29%,60.35%,2.81%,64.29%
高波動成長股,沖量,189,-15.50%,1.25%,50.79%,2.40%,53.44%,5.03%,52.91%,7.98%,53.44%,15.58%,53.97%
高波動成長股,波段,145,-14.77%,1.38%,50.34%,2.10%,51.03%,3.88%,44.14%,7.87%,52.41%,15.96%,55.17%
高波動成長股,縮量黑馬,67,-15.65%,0.73%,47.76%,1.31%,50.75%,2.91%,47.76%,7.04%,47.76%,16.08%,55.22%
高波動成長股,誘多,444,-16.12%,0.69%,51.35%,1.84%,50.90%,3.68%,50.90%,6.34%,54.50%,13.77%,50.68%
