pattern,rule,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
沖量,base_60d,1306,43.64%,0.54%,-0.54%,5.31,1.25,-25.80%,160.22%
沖量,risk_30d,1306,55.05%,2.24%,1.97%,20.27,1.60,-28.36%,48.94%
沖量,trend_60d,1306,38.82%,1.56%,-1.65%,13.77,1.54,-28.36%,205.08%
波段,base_60d,1482,41.36%,-0.05%,-0.71%,2.79,0.97,-34.77%,181.75%
波段,risk_30d,1482,51.48%,1.66%,0.61%,19.54,1.40,-25.59%,41.38%
波段,trend_60d,1482,34.08%,0.89%,-1.39%,8.06,1.38,-34.77%,214.97%
縮量黑馬,base_60d,438,48.86%,0.02%,-0.08%,1.23,1.02,-11.65%,24.20%
縮量黑馬,risk_30d,438,53.42%,1.97%,1.48%,20.18,1.52,-18.23%,62.94%
縮量黑馬,trend_60d,438,34.02%,0.66%,-1.25%,7.27,1.34,-18.23%,99.60%
誘多,base_60d,3257,43.87%,-0.17%,-0.33%,1.67,0.88,-25.37%,85.44%
誘多,risk_30d,3257,54.41%,2.21%,1.74%,20.49,1.58,-41.33%,61.13%
誘多,trend_60d,3257,36.23%,1.21%,-1.56%,11.68,1.47,-41.33%,158.18%
