pattern,rule,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
弱量續攻,base_60d,34,38.24%,-1.08%,-1.32%,2.03,0.75,-21.57%,35.08%
弱量續攻,risk_30d,34,35.29%,-2.27%,-11.00%,5.15,0.76,-21.57%,21.84%
弱量續攻,trend_60d,34,17.65%,-3.27%,-4.35%,5.56,0.45,-21.57%,25.82%
沖量,base_60d,12,33.33%,-2.64%,-6.28%,3.17,0.64,-21.46%,30.68%
沖量,risk_30d,12,33.33%,-1.56%,-9.20%,3.42,0.79,-13.93%,20.48%
沖量,trend_60d,12,25.00%,-5.18%,-8.44%,5.83,0.33,-18.77%,21.72%
波段,base_60d,26,19.23%,-3.79%,-4.19%,1.50,0.15,-11.60%,8.27%
波段,risk_30d,26,15.38%,-6.05%,-9.76%,4.00,0.33,-17.64%,26.23%
波段,trend_60d,26,15.38%,-5.50%,-5.29%,2.62,0.05,-17.07%,4.85%
縮量黑馬,base_60d,3,66.67%,0.67%,0.37%,1.00,1.40,-5.01%,6.64%
縮量黑馬,risk_30d,3,0.00%,-9.66%,-9.31%,4.33,0.00,-11.24%,-8.42%
縮量黑馬,trend_60d,3,33.33%,-3.57%,-5.01%,3.00,0.20,-8.42%,2.71%
