ticker,industry,pattern,date,close,ma25,vol5,vol60,above_ma200,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d
CRWV,政策/AI觀察,波段,2025-09-26,120.33999633789062,109.06879943847656,34938780.0,23644590.0,True,12.01%,15.03%,10.15%,-13.57%,-29.51%
CRWV,政策/AI觀察,波段,2025-09-29,122.5199966430664,110.20999938964843,31380540.0,23846086.666666668,True,9.25%,15.59%,11.05%,-13.80%,-34.49%
CRWV,政策/AI觀察,沖量,2025-10-08,139.97999572753906,121.39399993896484,26591620.0,26038701.666666668,True,-0.53%,-13.18%,-18.26%,-46.48%,-45.09%
CRWV,政策/AI觀察,波段,2025-10-10,138.42999267578125,125.59159973144531,31418440.0,26806488.333333332,True,-1.13%,-4.25%,-24.86%,-48.24%,-44.25%
CRWV,政策/AI觀察,縮量黑馬,2025-10-13,141.6199951171875,127.5143994140625,30217840.0,26938105.0,True,-10.28%,-3.93%,-25.43%,-48.03%,-45.57%
CRWV,政策/AI觀察,波段,2025-10-14,134.05999755859375,128.8679992675781,29992560.0,27179186.666666668,True,-6.71%,0.55%,-34.07%,-46.82%,-40.22%
CRWV,政策/AI觀察,弱量續攻,2025-10-15,139.24000549316406,129.75199951171874,27243380.0,27366613.333333332,True,-12.72%,0.50%,-38.65%,-46.65%,-35.41%
CRWV,政策/AI觀察,沖量,2025-10-16,141.74000549316406,130.91399963378908,29537560.0,27856830.0,True,-12.98%,-7.53%,-44.73%,-48.41%,-38.28%
CRWV,政策/AI觀察,弱量續攻,2025-10-17,136.8699951171875,131.91039947509765,26695680.0,28234075.0,True,-3.16%,-2.31%,-43.48%,-43.70%,-34.39%
CRWV,政策/AI觀察,縮量黑馬,2025-10-23,123.33999633789062,132.53119903564453,24290660.0,29062371.666666668,True,6.26%,-13.30%,-43.89%,-28.41%,-23.75%
CRWV,政策/AI觀察,弱量續攻,2025-10-24,132.5500030517578,132.83879913330077,22484940.0,28999841.666666668,True,0.88%,-21.53%,-45.94%,-34.94%,-30.75%
CRWV,政策/AI觀察,弱量續攻,2025-10-27,136.05999755859375,132.95199920654298,20135400.0,29010271.666666668,True,-7.16%,-22.38%,-45.91%,-33.37%,-31.66%
CRWV,政策/AI觀察,弱量續攻,2025-10-28,134.8000030517578,133.10839935302735,19897920.0,29246446.666666668,True,-14.13%,-34.43%,-47.11%,-34.60%,-27.07%
CRWV,政策/AI觀察,弱量續攻,2025-10-29,139.92999267578125,133.36959930419923,18533300.0,29378683.333333332,True,-18.23%,-38.95%,-46.91%,-37.55%,-22.20%
CRWV,政策/AI觀察,弱量續攻,2025-10-30,131.05999755859375,133.5455990600586,19420240.0,29567811.666666668,True,-18.41%,-40.23%,-44.21%,-40.04%,-19.11%
CRWV,政策/AI觀察,弱量續攻,2025-10-31,133.7100067138672,134.08039947509766,18383080.0,29540050.0,True,-22.21%,-42.14%,-42.37%,-45.89%,-25.56%
CRWV,政策/AI觀察,縮量黑馬,2025-11-03,126.31999969482422,134.23239959716796,18505800.0,29492295.0,True,-16.39%,-40.37%,-39.81%,-44.98%,-26.23%
CRWV,政策/AI觀察,波段,2025-12-22,84.83000183105469,77.51000030517578,42594040.0,30211595.0,False,-12.88%,-9.02%,8.20%,-12.00%,-3.96%
CRWV,政策/AI觀察,波段,2025-12-23,80.26000213623047,77.70720031738281,39841200.0,30206721.666666668,False,-10.78%,-3.95%,15.85%,12.07%,2.12%
CRWV,政策/AI觀察,波段,2025-12-24,78.87000274658203,77.86600036621094,32578260.0,29219151.666666668,False,0.57%,1.61%,24.65%,22.72%,5.26%
CRWV,政策/AI觀察,弱量續攻,2025-12-26,76.41999816894531,77.92600036621094,28560640.0,29075793.333333332,False,0.58%,17.68%,42.45%,24.46%,14.60%
CRWV,政策/AI觀察,弱量續攻,2026-01-02,79.31999969482422,78.48600036621093,17914240.0,28691433.333333332,False,1.03%,27.62%,12.13%,14.73%,-2.33%
CRWV,政策/AI觀察,弱量續攻,2026-01-05,76.86000061035156,78.58880035400391,20540840.0,28571561.666666668,False,17.00%,23.89%,17.17%,24.19%,2.06%
