ticker,industry,pattern,signal_date,rule,cost,slippage,entry_date,entry_price,exit_date,exit_price,hold_days,exit_reason,gross_return,net_return
CRWV,政策/AI觀察,波段,2025-09-26,base_60d,0.20%,0.20%,2025-09-29,120.9514190826416,2025-10-07,128.8300018310547,6,volume_weak,6.51%,6.31%
CRWV,政策/AI觀察,波段,2025-09-26,risk_30d,0.20%,0.20%,2025-09-29,120.9514190826416,2025-10-08,139.97999572753906,7,target_reached,15.73%,15.53%
CRWV,政策/AI觀察,波段,2025-09-26,trend_60d,0.20%,0.20%,2025-09-29,120.9514190826416,2025-10-20,127.05999755859375,15,close_below_ma25,5.05%,4.85%
CRWV,政策/AI觀察,波段,2025-09-29,base_60d,0.20%,0.20%,2025-09-30,136.48242672729492,2025-10-07,128.8300018310547,5,volume_weak,-5.61%,-5.81%
CRWV,政策/AI觀察,波段,2025-09-29,risk_30d,0.20%,0.20%,2025-09-30,136.48242672729492,2025-10-21,125.05999755859375,15,risk_stop,-8.37%,-8.57%
CRWV,政策/AI觀察,波段,2025-09-29,trend_60d,0.20%,0.20%,2025-09-30,136.48242672729492,2025-10-20,127.05999755859375,14,close_below_ma25,-6.90%,-7.10%
CRWV,政策/AI觀察,沖量,2025-10-08,base_60d,0.20%,0.20%,2025-10-09,140.04954428100586,2025-10-15,139.24000549316406,4,volume_weak,-0.58%,-0.78%
CRWV,政策/AI觀察,沖量,2025-10-08,risk_30d,0.20%,0.20%,2025-10-09,140.04954428100586,2025-10-20,127.05999755859375,7,risk_stop,-9.27%,-9.47%
CRWV,政策/AI觀察,沖量,2025-10-08,trend_60d,0.20%,0.20%,2025-10-09,140.04954428100586,2025-10-20,127.05999755859375,7,close_below_ma25,-9.27%,-9.47%
CRWV,政策/AI觀察,波段,2025-10-10,base_60d,0.20%,0.20%,2025-10-13,142.13870571899415,2025-10-15,139.24000549316406,2,volume_weak,-2.04%,-2.24%
CRWV,政策/AI觀察,波段,2025-10-10,risk_30d,0.20%,0.20%,2025-10-13,142.13870571899415,2025-10-20,127.05999755859375,5,risk_stop,-10.61%,-10.81%
