pattern,rule,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
弱量續攻,base_60d,159,51.57%,1.13%,0.15%,1.74,1.82,-14.00%,47.05%
弱量續攻,risk_30d,159,63.52%,6.29%,10.11%,16.92,2.94,-15.99%,39.71%
弱量續攻,trend_60d,159,49.69%,14.24%,-0.32%,15.67,6.29,-15.99%,129.03%
沖量,base_60d,13,76.92%,4.76%,2.08%,4.46,12.77,-2.87%,28.19%
沖量,risk_30d,13,69.23%,10.50%,14.81%,14.69,6.27,-11.23%,36.42%
沖量,trend_60d,13,46.15%,13.19%,-0.03%,10.31,11.40,-5.44%,63.52%
波段,base_60d,23,52.17%,0.34%,0.03%,1.65,1.27,-6.05%,6.90%
波段,risk_30d,23,47.83%,3.19%,-1.88%,15.17,1.72,-11.35%,28.48%
波段,trend_60d,23,60.87%,9.72%,0.11%,10.83,9.42,-6.05%,136.25%
縮量黑馬,base_60d,5,60.00%,0.90%,0.26%,1.00,2.05,-2.87%,6.88%
縮量黑馬,risk_30d,5,40.00%,2.17%,-8.32%,15.20,1.35,-12.75%,24.07%
縮量黑馬,trend_60d,5,40.00%,0.27%,-1.41%,6.40,1.12,-7.07%,12.17%
