ticker,industry,pattern,signal_date,rule,cost,slippage,entry_date,entry_price,exit_date,exit_price,hold_days,exit_reason,gross_return,net_return
DELL,政策/AI觀察,波段,2024-06-24,base_60d,0.20%,0.20%,2024-06-25,135.1358812988305,2024-06-26,133.8206787109375,1,close_below_ma25,-0.97%,-1.17%
DELL,政策/AI觀察,波段,2024-06-24,risk_30d,0.20%,0.20%,2024-06-25,135.1358812988305,2024-07-17,121.16848754882812,15,risk_stop,-10.34%,-10.54%
DELL,政策/AI觀察,波段,2024-06-24,trend_60d,0.20%,0.20%,2024-06-25,135.1358812988305,2024-06-26,133.8206787109375,1,close_below_ma25,-0.97%,-1.17%
DELL,政策/AI觀察,縮量黑馬,2024-06-25,base_60d,0.20%,0.20%,2024-06-26,134.35990979958927,2024-06-27,134.9726104736328,1,close_below_ma25,0.46%,0.26%
DELL,政策/AI觀察,縮量黑馬,2024-06-25,risk_30d,0.20%,0.20%,2024-06-26,134.35990979958927,2024-07-17,121.16848754882812,14,risk_stop,-9.82%,-10.02%
DELL,政策/AI觀察,縮量黑馬,2024-06-25,trend_60d,0.20%,0.20%,2024-06-26,134.35990979958927,2024-06-27,134.9726104736328,1,close_below_ma25,0.46%,0.26%
DELL,政策/AI觀察,弱量續攻,2024-07-10,base_60d,0.20%,0.20%,2024-07-11,141.1884876770212,2024-07-12,135.10813903808594,1,close_below_ma25,-4.31%,-4.51%
DELL,政策/AI觀察,弱量續攻,2024-07-10,risk_30d,0.20%,0.20%,2024-07-11,141.1884876770212,2024-07-17,121.16848754882812,4,risk_stop,-14.18%,-14.38%
DELL,政策/AI觀察,弱量續攻,2024-07-10,trend_60d,0.20%,0.20%,2024-07-11,141.1884876770212,2024-07-12,135.10813903808594,1,close_below_ma25,-4.31%,-4.51%
DELL,政策/AI觀察,弱量續攻,2024-07-12,base_60d,0.20%,0.20%,2024-07-15,136.52294900220733,2024-07-16,129.9678955078125,1,close_below_ma25,-4.80%,-5.00%
DELL,政策/AI觀察,弱量續攻,2024-07-12,risk_30d,0.20%,0.20%,2024-07-15,136.52294900220733,2024-07-17,121.16848754882812,2,risk_stop,-11.25%,-11.45%
DELL,政策/AI觀察,弱量續攻,2024-07-12,trend_60d,0.20%,0.20%,2024-07-15,136.52294900220733,2024-07-16,129.9678955078125,1,close_below_ma25,-4.80%,-5.00%
DELL,政策/AI觀察,波段,2024-09-04,base_60d,0.20%,0.20%,2024-09-05,104.14651426090136,2024-09-06,99.08169555664062,1,close_below_ma25,-4.86%,-5.06%
DELL,政策/AI觀察,波段,2024-09-04,risk_30d,0.20%,0.20%,2024-09-05,104.14651426090136,2024-09-26,122.87101745605469,15,target_reached,17.98%,17.78%
DELL,政策/AI觀察,波段,2024-09-04,trend_60d,0.20%,0.20%,2024-09-05,104.14651426090136,2024-09-06,99.08169555664062,1,close_below_ma25,-4.86%,-5.06%
DELL,政策/AI觀察,波段,2024-09-05,base_60d,0.20%,0.20%,2024-09-06,103.67931609645935,2024-09-09,102.86039733886719,1,volume_weak,-0.79%,-0.99%
DELL,政策/AI觀察,波段,2024-09-05,risk_30d,0.20%,0.20%,2024-09-06,103.67931609645935,2024-09-26,122.87101745605469,14,target_reached,18.51%,18.31%
DELL,政策/AI觀察,波段,2024-09-05,trend_60d,0.20%,0.20%,2024-09-06,103.67931609645935,2024-09-30,115.14846801757812,16,atr_trail,11.06%,10.86%
DELL,政策/AI觀察,弱量續攻,2024-09-11,base_60d,0.20%,0.20%,2024-09-12,105.80118969118973,2024-09-13,111.02977752685547,1,volume_weak,4.94%,4.74%
DELL,政策/AI觀察,弱量續攻,2024-09-11,risk_30d,0.20%,0.20%,2024-09-12,105.80118969118973,2024-09-26,122.87101745605469,10,target_reached,16.13%,15.93%
DELL,政策/AI觀察,弱量續攻,2024-09-11,trend_60d,0.20%,0.20%,2024-09-12,105.80118969118973,2024-09-30,115.14846801757812,12,atr_trail,8.83%,8.63%
DELL,政策/AI觀察,弱量續攻,2024-09-12,base_60d,0.20%,0.20%,2024-09-13,109.18837081875306,2024-09-16,112.09832763671875,1,volume_weak,2.67%,2.47%
DELL,政策/AI觀察,弱量續攻,2024-09-12,risk_30d,0.20%,0.20%,2024-09-13,109.18837081875306,2024-10-25,119.46681213378906,30,max_30d,9.41%,9.21%
DELL,政策/AI觀察,弱量續攻,2024-09-12,trend_60d,0.20%,0.20%,2024-09-13,109.18837081875306,2024-09-30,115.14846801757812,11,atr_trail,5.46%,5.26%
DELL,政策/AI觀察,弱量續攻,2024-09-13,base_60d,0.20%,0.20%,2024-09-16,109.38305723159233,2024-09-17,113.4776840209961,1,volume_weak,3.74%,3.54%
DELL,政策/AI觀察,弱量續攻,2024-09-13,risk_30d,0.20%,0.20%,2024-09-16,109.38305723159233,2024-10-28,117.62437438964844,30,max_30d,7.53%,7.33%
DELL,政策/AI觀察,弱量續攻,2024-09-13,trend_60d,0.20%,0.20%,2024-09-16,109.38305723159233,2024-09-30,115.14846801757812,10,atr_trail,5.27%,5.07%
DELL,政策/AI觀察,弱量續攻,2024-09-16,base_60d,0.20%,0.20%,2024-09-17,114.57090424026906,2024-09-18,112.67143249511719,1,volume_weak,-1.66%,-1.86%
DELL,政策/AI觀察,弱量續攻,2024-09-16,risk_30d,0.20%,0.20%,2024-09-17,114.57090424026906,2024-10-29,118.5699462890625,30,max_30d,3.49%,3.29%
DELL,政策/AI觀察,弱量續攻,2024-09-16,trend_60d,0.20%,0.20%,2024-09-17,114.57090424026906,2024-09-30,115.14846801757812,9,atr_trail,0.50%,0.30%
DELL,政策/AI觀察,弱量續攻,2024-09-17,base_60d,0.20%,0.20%,2024-09-18,114.44437708458629,2024-09-19,114.40049743652344,1,volume_weak,-0.04%,-0.24%
DELL,政策/AI觀察,弱量續攻,2024-09-17,risk_30d,0.20%,0.20%,2024-09-18,114.44437708458629,2024-10-30,126.14447021484375,30,max_30d,10.22%,10.02%
DELL,政策/AI觀察,弱量續攻,2024-09-17,trend_60d,0.20%,0.20%,2024-09-18,114.44437708458629,2024-09-30,115.14846801757812,8,atr_trail,0.62%,0.42%
DELL,政策/AI觀察,弱量續攻,2024-09-18,base_60d,0.20%,0.20%,2024-09-19,116.86796484668157,2024-09-27,116.78041076660156,6,volume_weak,-0.07%,-0.27%
DELL,政策/AI觀察,弱量續攻,2024-09-18,risk_30d,0.20%,0.20%,2024-09-19,116.86796484668157,2024-10-31,120.51963806152344,30,max_30d,3.12%,2.92%
DELL,政策/AI觀察,弱量續攻,2024-09-18,trend_60d,0.20%,0.20%,2024-09-19,116.86796484668157,2024-09-30,115.14846801757812,7,atr_trail,-1.47%,-1.67%
DELL,政策/AI觀察,弱量續攻,2024-09-19,base_60d,0.20%,0.20%,2024-09-20,113.3931738643565,2024-09-27,116.78041076660156,5,volume_weak,2.99%,2.79%
DELL,政策/AI觀察,弱量續攻,2024-09-19,risk_30d,0.20%,0.20%,2024-09-20,113.3931738643565,2024-11-01,127.57748413085938,30,max_30d,12.51%,12.31%
DELL,政策/AI觀察,弱量續攻,2024-09-19,trend_60d,0.20%,0.20%,2024-09-20,113.3931738643565,2024-09-30,115.14846801757812,6,atr_trail,1.55%,1.35%
DELL,政策/AI觀察,沖量,2024-09-20,base_60d,0.20%,0.20%,2024-09-23,114.41517925136652,2024-09-27,116.78041076660156,4,volume_weak,2.07%,1.87%
DELL,政策/AI觀察,沖量,2024-09-20,risk_30d,0.20%,0.20%,2024-09-23,114.41517925136652,2024-11-04,126.58316802978516,30,max_30d,10.63%,10.43%
DELL,政策/AI觀察,沖量,2024-09-20,trend_60d,0.20%,0.20%,2024-09-23,114.41517925136652,2024-09-30,115.14846801757812,5,atr_trail,0.64%,0.44%
DELL,政策/AI觀察,波段,2024-09-24,base_60d,0.20%,0.20%,2024-09-25,114.14263395398497,2024-09-27,116.78041076660156,2,volume_weak,2.31%,2.11%
DELL,政策/AI觀察,波段,2024-09-24,risk_30d,0.20%,0.20%,2024-09-25,114.14263395398497,2024-11-06,134.8693389892578,30,target_reached,18.16%,17.96%
DELL,政策/AI觀察,波段,2024-09-24,trend_60d,0.20%,0.20%,2024-09-25,114.14263395398497,2024-09-30,115.14846801757812,3,atr_trail,0.88%,0.68%
DELL,政策/AI觀察,弱量續攻,2024-09-27,base_60d,0.20%,0.20%,2024-09-30,115.82649673897129,2024-10-01,109.92240905761719,1,close_below_ma25,-5.10%,-5.30%
DELL,政策/AI觀察,弱量續攻,2024-09-27,risk_30d,0.20%,0.20%,2024-09-30,115.82649673897129,2024-11-06,134.8693389892578,27,target_reached,16.44%,16.24%
DELL,政策/AI觀察,弱量續攻,2024-09-27,trend_60d,0.20%,0.20%,2024-09-30,115.82649673897129,2024-10-01,109.92240905761719,1,close_below_ma25,-5.10%,-5.30%
DELL,政策/AI觀察,弱量續攻,2024-09-30,base_60d,0.20%,0.20%,2024-10-01,114.25944412174046,2024-10-02,110.21381378173828,1,close_below_ma25,-3.54%,-3.74%
DELL,政策/AI觀察,弱量續攻,2024-09-30,risk_30d,0.20%,0.20%,2024-10-01,114.25944412174046,2024-11-06,134.8693389892578,26,target_reached,18.04%,17.84%
DELL,政策/AI觀察,弱量續攻,2024-09-30,trend_60d,0.20%,0.20%,2024-10-01,114.25944412174046,2024-10-02,110.21381378173828,1,close_below_ma25,-3.54%,-3.74%
DELL,政策/AI觀察,弱量續攻,2024-10-04,base_60d,0.20%,0.20%,2024-10-07,116.48836679737136,2024-10-08,118.44148254394531,1,volume_weak,1.68%,1.48%
DELL,政策/AI觀察,弱量續攻,2024-10-04,risk_30d,0.20%,0.20%,2024-10-07,116.48836679737136,2024-11-06,134.8693389892578,22,target_reached,15.78%,15.58%
DELL,政策/AI觀察,弱量續攻,2024-10-04,trend_60d,0.20%,0.20%,2024-10-07,116.48836679737136,2024-10-22,117.37091064453125,11,close_below_ma25,0.76%,0.56%
DELL,政策/AI觀察,弱量續攻,2024-10-07,base_60d,0.20%,0.20%,2024-10-08,116.21583685230149,2024-10-09,118.83975219726562,1,volume_weak,2.26%,2.06%
DELL,政策/AI觀察,弱量續攻,2024-10-07,risk_30d,0.20%,0.20%,2024-10-08,116.21583685230149,2024-11-06,134.8693389892578,21,target_reached,16.05%,15.85%
DELL,政策/AI觀察,弱量續攻,2024-10-07,trend_60d,0.20%,0.20%,2024-10-08,116.21583685230149,2024-10-22,117.37091064453125,10,close_below_ma25,0.99%,0.79%
DELL,政策/AI觀察,弱量續攻,2024-10-08,base_60d,0.20%,0.20%,2024-10-09,118.38636688213842,2024-10-10,121.2293701171875,1,volume_weak,2.40%,2.20%
DELL,政策/AI觀察,弱量續攻,2024-10-08,risk_30d,0.20%,0.20%,2024-10-09,118.38636688213842,2024-11-20,130.58975219726562,30,max_30d,10.31%,10.11%
DELL,政策/AI觀察,弱量續攻,2024-10-08,trend_60d,0.20%,0.20%,2024-10-09,118.38636688213842,2024-10-22,117.37091064453125,9,close_below_ma25,-0.86%,-1.06%
DELL,政策/AI觀察,弱量續攻,2024-10-09,base_60d,0.20%,0.20%,2024-10-10,118.22089632235686,2024-10-11,124.07554626464844,1,volume_weak,4.95%,4.75%
DELL,政策/AI觀察,弱量續攻,2024-10-09,risk_30d,0.20%,0.20%,2024-10-10,118.22089632235686,2024-11-21,135.4249725341797,30,max_30d,14.55%,14.35%
DELL,政策/AI觀察,弱量續攻,2024-10-09,trend_60d,0.20%,0.20%,2024-10-10,118.22089632235686,2024-10-22,117.37091064453125,8,close_below_ma25,-0.72%,-0.92%
DELL,政策/AI觀察,弱量續攻,2024-10-10,base_60d,0.20%,0.20%,2024-10-11,120.69316579606276,2024-10-14,124.67781066894531,1,volume_weak,3.30%,3.10%
DELL,政策/AI觀察,弱量續攻,2024-10-10,risk_30d,0.20%,0.20%,2024-10-11,120.69316579606276,2024-11-22,140.58187866210938,30,target_reached,16.48%,16.28%
DELL,政策/AI觀察,弱量續攻,2024-10-10,trend_60d,0.20%,0.20%,2024-10-11,120.69316579606276,2024-10-22,117.37091064453125,7,close_below_ma25,-2.75%,-2.95%
DELL,政策/AI觀察,弱量續攻,2024-10-11,base_60d,0.20%,0.20%,2024-10-14,125.55982614016497,2024-10-15,122.22990417480469,1,volume_weak,-2.65%,-2.85%
DELL,政策/AI觀察,弱量續攻,2024-10-11,risk_30d,0.20%,0.20%,2024-10-14,125.55982614016497,2024-11-25,140.5331268310547,30,max_30d,11.93%,11.73%
