engine,scheme,filter,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d
AI基礎建設,AI_A_15_25_35_50,D_2560,7,-15.85%,-10.58%,4.88%,57.14%,16.04%,57.14%,34.68%,85.71%,51.27%,71.43%
AI基礎建設,AI_A_15_25_35_50,D_MA25,62,-18.75%,-20.59%,5.47%,61.29%,12.52%,53.23%,23.08%,62.90%,31.76%,54.84%
AI基礎建設,AI_A_15_25_35_50,D_ONLY,214,-23.87%,-17.10%,4.91%,63.08%,13.66%,66.82%,28.46%,71.03%,42.62%,66.82%
AI基礎建設,AI_A_15_25_35_50,D_VOLUME,180,-23.74%,-16.80%,5.13%,63.89%,14.28%,67.78%,29.37%,71.11%,45.83%,71.11%
比特幣引擎,BTC_A_20_35_50_65_80,D_2560,7,-23.28%,-17.29%,29.53%,100.00%,47.76%,71.43%,42.79%,71.43%,181.27%,85.71%
比特幣引擎,BTC_A_20_35_50_65_80,D_MA25,7,-23.28%,-17.29%,29.53%,100.00%,47.76%,71.43%,42.79%,71.43%,181.27%,85.71%
比特幣引擎,BTC_A_20_35_50_65_80,D_ONLY,31,-34.62%,-24.97%,7.39%,64.52%,19.40%,48.39%,30.33%,48.39%,67.36%,54.84%
比特幣引擎,BTC_A_20_35_50_65_80,D_VOLUME,7,-23.28%,-17.29%,29.53%,100.00%,47.76%,71.43%,42.79%,71.43%,181.27%,85.71%
高成長深折扣,HIGH_GROWTH_A_35_50_65,D_MA25,1,-36.05%,-71.92%,7.40%,100.00%,-13.58%,0.00%,-36.75%,0.00%,-68.98%,0.00%
高成長深折扣,HIGH_GROWTH_A_35_50_65,D_ONLY,9,-42.86%,-30.71%,0.65%,33.33%,16.10%,55.56%,47.79%,33.33%,82.15%,33.33%
高成長深折扣,HIGH_GROWTH_A_35_50_65,D_VOLUME,8,-41.81%,-33.46%,0.82%,37.50%,15.66%,50.00%,32.67%,25.00%,26.13%,25.00%
