date,ticker,scheme,layer,threshold,action,reason,trade_size,eval_return,eval_value,total_invested,month_spend
2010-06-24,AMD,AI_A,L1,-15.00%,BUY,OK,5.0,-0.1316,4.3420000000000005,5.0,5.0
2010-06-24,NVDA,AI_B,L3,-40.00%,BUY,OK,5.0,0.45899999999999996,7.295,10.0,10.0
2010-06-24,GOOGL,AI_A,L1,-15.00%,BUY,OK,5.0,0.0108,5.053999999999999,15.0,15.0
2010-06-24,NVDA,AI_C,L1,-25.00%,BUY,OK,5.0,0.45899999999999996,7.295,20.0,20.0
2010-06-24,NVDA,AI_C,L2,-35.00%,BUY,OK,5.0,0.45899999999999996,7.295,25.0,25.0
2010-06-24,NVDA,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,25.0,25.0
2010-06-24,NVDA,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,25.0,25.0
2010-06-24,NVDA,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,25.0,25.0
2010-06-24,GOOGL,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,25.0,25.0
2010-06-24,QQQ,ETF_A,L1,-10.00%,BUY,OK,5.0,0.2325,6.1625,30.0,30.0
2010-06-24,NVDA,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,30.0,30.0
2010-06-24,NVDA,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,30.0,30.0
2010-06-24,MRVL,AI_B,L1,-20.00%,BUY,OK,5.0,-0.18170000000000003,4.0915,35.0,35.0
2010-06-24,MRVL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,35.0,35.0
2010-06-25,AMD,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,35.0,35.0
2010-06-29,MRVL,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,35.0,35.0
2010-06-29,GOOGL,AI_A,L2,-25.00%,BUY,OK,5.0,0.0867,5.4335,40.0,40.0
2010-06-29,GOOGL,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,40.0,40.0
2010-06-29,AMD,AI_A,L2,-25.00%,BUY,OK,5.0,-0.0709,4.6455,45.0,45.0
2010-06-29,MRVL,AI_A,L2,-25.00%,BUY,OK,5.0,-0.1308,4.346,50.0,50.0
2010-06-29,AMD,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,50.0,50.0
2010-06-29,TSM,AI_A,L1,-15.00%,BUY,OK,5.0,0.37189999999999995,6.8595,55.0,55.0
2010-06-30,MRVL,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,55.0,55.0
2010-06-30,QQQ,ETF_B,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,55.0,55.0
2010-06-30,NVDA,AI_C,L3,-45.00%,SKIP,本層已買過,0.0,0.0,0.0,55.0,55.0
2010-07-02,GOOGL,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,55.0,0.0
2010-07-06,AMD,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,55.0,0.0
2010-07-29,NVDA,AI_A,L4,-50.00%,BUY,OK,5.0,0.5147999999999999,7.574,60.0,5.0
2010-08-11,MRVL,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,60.0,0.0
2010-08-11,AMD,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,60.0,0.0
2010-08-11,MRVL,AI_A,L3,-35.00%,BUY,OK,5.0,-0.1794,4.103,65.0,5.0
2010-08-11,AMD,AI_A,L3,-35.00%,BUY,OK,5.0,-0.0986,4.507,70.0,10.0
2010-08-24,AMD,AI_B,L3,-40.00%,SKIP,本層已買過,0.0,0.0,0.0,70.0,10.0
2010-09-09,AVGO,AI_A,L1,-15.00%,BUY,OK,5.0,0.6955,8.4775,75.0,5.0
2010-09-10,AVGO,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,5.0
2011-01-28,MRVL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-02-23,MRVL,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-03-01,NVDA,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-03-04,MRVL,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-03-04,MRVL,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-03-07,NVDA,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-03-09,NVDA,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-03-09,NVDA,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-03-10,NVDA,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-03-11,MRVL,AI_B,L2,-30.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-03-16,TSM,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-04-15,GOOGL,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-05-16,MRVL,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-05-16,MRVL,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-06-03,AMD,AI_A,L1,-15.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-06-10,GOOGL,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-06-13,AMD,AI_B,L1,-20.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-06-16,NVDA,AI_C,L2,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-06-16,NVDA,AI_A,L3,-35.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-06-17,AMD,AI_C,L1,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-06-17,AMD,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
2011-06-24,GOOGL,AI_A,L2,-25.00%,SKIP,本層已買過,0.0,0.0,0.0,75.0,0.0
