ticker,engine,scheme,reference_mode,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d
AMD,AI基礎建設,AI_A,52w_high,51,-25.21%,-23.51%,5.41%,60.78%,15.17%,56.86%,29.42%,62.75%,21.96%,45.10%
AMD,AI基礎建設,AI_B,52w_high,34,-32.40%,-25.73%,0.77%,58.82%,6.59%,47.06%,28.35%,61.76%,23.65%,52.94%
AMD,AI基礎建設,AI_C,52w_high,29,-36.07%,-24.65%,2.84%,65.52%,12.39%,62.07%,32.92%,65.52%,32.78%,48.28%
AVGO,AI基礎建設,AI_A,52w_high,33,-21.94%,-11.63%,6.53%,75.76%,18.56%,75.76%,34.01%,81.82%,58.86%,87.88%
AVGO,AI基礎建設,AI_B,52w_high,22,-25.14%,-10.58%,11.20%,81.82%,26.76%,90.91%,44.03%,86.36%,65.12%,90.91%
AVGO,AI基礎建設,AI_C,52w_high,14,-30.98%,-5.72%,15.83%,85.71%,38.80%,92.86%,59.86%,85.71%,97.59%,85.71%
MRVL,AI基礎建設,AI_A,52w_high,42,-26.01%,-21.93%,3.09%,52.38%,6.48%,52.38%,15.50%,61.90%,26.37%,50.00%
MRVL,AI基礎建設,AI_B,52w_high,29,-31.07%,-21.11%,1.50%,44.83%,3.68%,44.83%,16.08%,55.17%,25.07%,51.72%
MRVL,AI基礎建設,AI_C,52w_high,24,-35.94%,-19.96%,2.68%,54.17%,11.72%,58.33%,22.53%,66.67%,30.70%,54.17%
NVDA,AI基礎建設,AI_A,52w_high,38,-26.81%,-17.07%,5.69%,60.53%,18.21%,71.05%,43.66%,71.05%,74.97%,78.95%
NVDA,AI基礎建設,AI_B,52w_high,23,-31.90%,-22.59%,2.73%,52.17%,9.56%,52.17%,24.63%,56.52%,58.85%,69.57%
NVDA,AI基礎建設,AI_C,52w_high,19,-37.32%,-20.79%,1.37%,36.84%,15.84%,68.42%,35.10%,63.16%,72.81%,78.95%
TSM,AI基礎建設,AI_A,52w_high,24,-20.71%,-10.22%,4.52%,70.83%,13.94%,87.50%,28.84%,83.33%,54.06%,79.17%
TSM,AI基礎建設,AI_B,52w_high,13,-27.43%,-12.07%,7.28%,76.92%,15.86%,76.92%,26.01%,76.92%,60.03%,76.92%
TSM,AI基礎建設,AI_C,52w_high,6,-32.45%,-18.39%,8.31%,83.33%,17.75%,50.00%,35.00%,50.00%,76.75%,66.67%
GOOGL,平台型公司,AI_A,52w_high,26,-18.87%,-10.04%,4.01%,65.38%,9.06%,73.08%,17.40%,76.92%,29.36%,80.77%
GOOGL,平台型公司,AI_B,52w_high,13,-24.71%,-8.12%,6.08%,61.54%,13.10%,84.62%,19.55%,76.92%,38.92%,84.62%
GOOGL,平台型公司,AI_C,52w_high,6,-27.83%,-8.94%,7.51%,66.67%,11.13%,83.33%,26.27%,83.33%,41.05%,100.00%
QQQ,核心ETF,ETF_A,52w_high,28,-13.40%,-5.56%,5.74%,82.14%,12.60%,89.29%,18.78%,85.71%,29.03%,89.29%
QQQ,核心ETF,ETF_B,52w_high,10,-19.83%,-7.07%,6.69%,100.00%,14.61%,90.00%,23.45%,80.00%,34.25%,90.00%
BTC-USD,比特幣引擎,BTC_A,cycle_high,31,-34.64%,-24.96%,7.71%,64.52%,19.70%,51.61%,30.02%,48.39%,67.23%,54.84%
BTC-USD,比特幣引擎,BTC_B,cycle_high,23,-39.08%,-24.02%,10.28%,73.91%,20.66%,60.87%,38.61%,52.17%,96.82%,47.83%
RKLB,高成長深折扣,HIGH_GROWTH_A,52w_high,9,-42.86%,-30.71%,0.65%,33.33%,16.10%,55.56%,47.79%,33.33%,82.15%,33.33%
