pattern,rule,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
弱量續攻,base_60d,85,40.00%,1.40%,-0.89%,2.87,1.61,-15.05%,76.31%
弱量續攻,risk_30d,85,41.18%,0.44%,-8.65%,10.27,1.07,-31.93%,24.73%
弱量續攻,trend_60d,85,31.76%,5.33%,-3.09%,9.53,2.44,-15.05%,113.15%
沖量,base_60d,11,72.73%,11.95%,7.12%,9.64,7.13,-8.34%,77.34%
沖量,risk_30d,11,54.55%,5.95%,5.07%,11.45,2.64,-9.68%,26.83%
沖量,trend_60d,11,63.64%,14.45%,2.09%,13.91,6.62,-8.34%,95.85%
波段,base_60d,60,43.33%,-0.50%,-1.30%,3.58,0.76,-8.90%,12.25%
波段,risk_30d,60,40.00%,-0.60%,-8.53%,11.35,0.91,-31.99%,29.46%
波段,trend_60d,60,30.00%,-0.53%,-2.89%,7.63,0.85,-14.24%,56.86%
縮量黑馬,base_60d,15,46.67%,-0.97%,-0.23%,1.13,0.48,-8.18%,3.18%
縮量黑馬,risk_30d,15,33.33%,0.39%,-8.77%,13.13,1.06,-16.26%,27.72%
縮量黑馬,trend_60d,15,33.33%,4.96%,-2.75%,7.40,2.84,-8.18%,54.75%
