ticker,industry,pattern,date,close,ma25,vol5,vol60,above_ma200,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d
INTC,政策/AI觀察,弱量續攻,2024-06-24,30.37729835510254,30.59670684814453,48952660.0,49349796.666666664,False,0.88%,13.15%,7.79%,-35.13%,-31.63%
INTC,政策/AI觀察,弱量續攻,2024-07-02,30.874147415161133,30.471898727416992,34159220.0,47235901.666666664,False,12.23%,10.91%,-1.06%,-35.48%,-22.52%
INTC,政策/AI觀察,弱量續攻,2024-07-03,31.033138275146484,30.478655853271484,32823760.0,46687533.333333336,False,7.27%,11.66%,-6.98%,-33.33%,-22.95%
INTC,政策/AI觀察,弱量續攻,2024-07-05,31.818159103393555,30.553779373168947,35848780.0,46131495.0,False,7.71%,3.00%,-32.92%,-34.41%,-26.27%
INTC,政策/AI觀察,弱量續攻,2024-07-08,33.77574157714844,30.704821243286133,44018420.0,46651620.0,False,1.38%,-1.82%,-40.84%,-36.29%,-32.82%
INTC,政策/AI觀察,沖量,2024-07-09,34.3719596862793,30.853478240966798,57047440.0,47578916.666666664,False,-0.72%,-4.74%,-42.67%,-38.93%,-34.86%
INTC,政策/AI觀察,波段,2024-07-19,32.7721061706543,32.010935592651364,66875860.0,49474016.666666664,False,-4.94%,-34.87%,-36.32%,-32.75%,-28.48%
INTC,政策/AI觀察,波段,2024-07-22,33.15964889526367,32.12660186767578,68607020.0,49394726.666666664,False,-7.61%,-39.74%,-35.10%,-39.38%,-31.66%
INTC,政策/AI觀察,波段,2024-07-23,32.7422981262207,32.22597152709961,68818320.0,48776676.666666664,False,-8.56%,-39.82%,-35.89%,-40.66%,-31.86%
INTC,政策/AI觀察,波段,2024-07-24,31.50017547607422,32.25458999633789,58800820.0,47817913.333333336,False,-3.03%,-39.71%,-32.03%,-38.41%,-28.76%
INTC,政策/AI觀察,波段,2024-07-25,30.90395736694336,32.273271484375,51917900.0,47671925.0,False,-6.59%,-33.70%,-34.96%,-38.88%,-26.32%
