ticker,industry,pattern,signal_date,rule,cost,slippage,entry_date,entry_price,exit_date,exit_price,hold_days,exit_reason,gross_return,net_return
INTC,政策/AI觀察,弱量續攻,2024-06-24,base_60d,0.20%,0.20%,2024-06-25,30.567492591087692,2024-06-26,30.347488403320312,1,close_below_ma25,-0.72%,-0.92%
INTC,政策/AI觀察,弱量續攻,2024-06-24,risk_30d,0.20%,0.20%,2024-06-25,30.567492591087692,2024-08-02,21.3445987701416,27,risk_stop,-30.17%,-30.37%
INTC,政策/AI觀察,弱量續攻,2024-06-24,trend_60d,0.20%,0.20%,2024-06-25,30.567492591087692,2024-06-26,30.347488403320312,1,close_below_ma25,-0.72%,-0.92%
INTC,政策/AI觀察,弱量續攻,2024-07-02,base_60d,0.20%,0.20%,2024-07-03,30.98568062533003,2024-07-05,31.818159103393555,1,volume_weak,2.69%,2.49%
INTC,政策/AI觀察,弱量續攻,2024-07-02,risk_30d,0.20%,0.20%,2024-07-03,30.98568062533003,2024-08-02,21.3445987701416,21,risk_stop,-31.11%,-31.31%
INTC,政策/AI觀察,弱量續攻,2024-07-02,trend_60d,0.20%,0.20%,2024-07-03,30.98568062533003,2024-07-24,31.50017547607422,14,close_below_ma25,1.66%,1.46%
INTC,政策/AI觀察,弱量續攻,2024-07-03,base_60d,0.20%,0.20%,2024-07-05,31.26447063599538,2024-07-08,33.77574157714844,1,volume_weak,8.03%,7.83%
INTC,政策/AI觀察,弱量續攻,2024-07-03,risk_30d,0.20%,0.20%,2024-07-05,31.26447063599538,2024-08-02,21.3445987701416,20,risk_stop,-31.73%,-31.93%
INTC,政策/AI觀察,弱量續攻,2024-07-03,trend_60d,0.20%,0.20%,2024-07-05,31.26447063599538,2024-07-24,31.50017547607422,13,close_below_ma25,0.75%,0.55%
INTC,政策/AI觀察,弱量續攻,2024-07-05,base_60d,0.20%,0.20%,2024-07-08,32.88743375312504,2024-07-24,31.50017547607422,12,close_below_ma25,-4.22%,-4.42%
INTC,政策/AI觀察,弱量續攻,2024-07-05,risk_30d,0.20%,0.20%,2024-07-08,32.88743375312504,2024-07-30,29.94007110595703,16,risk_stop,-8.96%,-9.16%
INTC,政策/AI觀察,弱量續攻,2024-07-05,trend_60d,0.20%,0.20%,2024-07-08,32.88743375312504,2024-07-24,31.50017547607422,12,close_below_ma25,-4.22%,-4.42%
INTC,政策/AI觀察,弱量續攻,2024-07-08,base_60d,0.20%,0.20%,2024-07-09,34.86884795360125,2024-07-24,31.50017547607422,11,close_below_ma25,-9.66%,-9.86%
INTC,政策/AI觀察,弱量續攻,2024-07-08,risk_30d,0.20%,0.20%,2024-07-09,34.86884795360125,2024-07-24,31.50017547607422,11,risk_stop,-9.66%,-9.86%
INTC,政策/AI觀察,弱量續攻,2024-07-08,trend_60d,0.20%,0.20%,2024-07-09,34.86884795360125,2024-07-24,31.50017547607422,11,close_below_ma25,-9.66%,-9.86%
INTC,政策/AI觀察,沖量,2024-07-09,base_60d,0.20%,0.20%,2024-07-10,34.291348312303555,2024-07-24,31.50017547607422,10,close_below_ma25,-8.14%,-8.34%
INTC,政策/AI觀察,沖量,2024-07-09,risk_30d,0.20%,0.20%,2024-07-10,34.291348312303555,2024-07-24,31.50017547607422,10,risk_stop,-8.14%,-8.34%
INTC,政策/AI觀察,沖量,2024-07-09,trend_60d,0.20%,0.20%,2024-07-10,34.291348312303555,2024-07-24,31.50017547607422,10,close_below_ma25,-8.14%,-8.34%
INTC,政策/AI觀察,波段,2024-07-19,base_60d,0.20%,0.20%,2024-07-22,33.13635649683092,2024-07-24,31.50017547607422,2,close_below_ma25,-4.94%,-5.14%
INTC,政策/AI觀察,波段,2024-07-19,risk_30d,0.20%,0.20%,2024-07-22,33.13635649683092,2024-07-30,29.94007110595703,6,risk_stop,-9.65%,-9.85%
INTC,政策/AI觀察,波段,2024-07-19,trend_60d,0.20%,0.20%,2024-07-22,33.13635649683092,2024-07-24,31.50017547607422,2,close_below_ma25,-4.94%,-5.14%
INTC,政策/AI觀察,波段,2024-07-22,base_60d,0.20%,0.20%,2024-07-23,32.81773788947938,2024-07-24,31.50017547607422,1,close_below_ma25,-4.01%,-4.21%
INTC,政策/AI觀察,波段,2024-07-22,risk_30d,0.20%,0.20%,2024-07-23,32.81773788947938,2024-07-30,29.94007110595703,5,risk_stop,-8.77%,-8.97%
INTC,政策/AI觀察,波段,2024-07-22,trend_60d,0.20%,0.20%,2024-07-23,32.81773788947938,2024-07-24,31.50017547607422,1,close_below_ma25,-4.01%,-4.21%
INTC,政策/AI觀察,波段,2024-07-23,base_60d,0.20%,0.20%,2024-07-24,32.38959136948275,2024-07-25,30.90395736694336,1,close_below_ma25,-4.59%,-4.79%
INTC,政策/AI觀察,波段,2024-07-23,risk_30d,0.20%,0.20%,2024-07-24,32.38959136948275,2024-08-01,28.866878509521484,6,risk_stop,-10.88%,-11.08%
INTC,政策/AI觀察,波段,2024-07-23,trend_60d,0.20%,0.20%,2024-07-24,32.38959136948275,2024-07-25,30.90395736694336,1,close_below_ma25,-4.59%,-4.79%
INTC,政策/AI觀察,波段,2024-07-24,base_60d,0.20%,0.20%,2024-07-25,31.234600352368656,2024-07-26,31.152381896972656,1,close_below_ma25,-0.26%,-0.46%
INTC,政策/AI觀察,波段,2024-07-24,risk_30d,0.20%,0.20%,2024-07-25,31.234600352368656,2024-08-02,21.3445987701416,6,risk_stop,-31.66%,-31.86%
INTC,政策/AI觀察,波段,2024-07-24,trend_60d,0.20%,0.20%,2024-07-25,31.234600352368656,2024-07-26,31.152381896972656,1,close_below_ma25,-0.26%,-0.46%
INTC,政策/AI觀察,波段,2024-07-25,base_60d,0.20%,0.20%,2024-07-26,31.294341286635305,2024-07-29,30.63566017150879,1,close_below_ma25,-2.10%,-2.30%
INTC,政策/AI觀察,波段,2024-07-25,risk_30d,0.20%,0.20%,2024-07-26,31.294341286635305,2024-08-02,21.3445987701416,5,risk_stop,-31.79%,-31.99%
INTC,政策/AI觀察,波段,2024-07-25,trend_60d,0.20%,0.20%,2024-07-26,31.294341286635305,2024-07-29,30.63566017150879,1,close_below_ma25,-2.10%,-2.30%
INTC,政策/AI觀察,沖量,2024-09-16,base_60d,0.20%,0.20%,2024-09-17,21.753419082641603,2024-10-02,22.389999389648438,11,volume_weak,2.93%,2.73%
INTC,政策/AI觀察,沖量,2024-09-16,risk_30d,0.20%,0.20%,2024-09-17,21.753419082641603,2024-10-29,22.899999618530273,30,max_30d,5.27%,5.07%
INTC,政策/AI觀察,沖量,2024-09-16,trend_60d,0.20%,0.20%,2024-09-17,21.753419082641603,2024-10-16,22.309999465942383,21,close_below_ma25,2.56%,2.36%
INTC,政策/AI觀察,波段,2024-09-17,base_60d,0.20%,0.20%,2024-09-18,21.402720611572267,2024-10-02,22.389999389648438,10,volume_weak,4.61%,4.41%
INTC,政策/AI觀察,波段,2024-09-17,risk_30d,0.20%,0.20%,2024-09-18,21.402720611572267,2024-10-30,22.299999237060547,30,max_30d,4.19%,3.99%
INTC,政策/AI觀察,波段,2024-09-17,trend_60d,0.20%,0.20%,2024-09-18,21.402720611572267,2024-10-16,22.309999465942383,20,close_below_ma25,4.24%,4.04%
