ticker,signal,date,close,drawdown_60,drawdown_252,above_ma50,above_ma200,ret_3d_before,ret_5d_before,vol_20,vol_60,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d,max_adverse_60d
BTC-USD,B_趨勢回踩型,2015-07-19,273.614013671875,-11.98%,-13.15%,True,True,-1.61%,-4.82%,46.47%,33.49%,5.36%,5.84%,-4.61%,-22.86%,-16.01%,-23.07%
BTC-USD,B_趨勢回踩型,2015-07-30,287.72198486328125,-7.45%,-8.67%,True,True,-2.01%,-0.34%,40.74%,34.31%,-0.87%,-7.87%,-21.21%,-20.14%,-16.88%,-26.84%
BTC-USD,B_趨勢回踩型,2015-08-10,264.4700012207031,-14.93%,-16.05%,False,True,-5.41%,-6.18%,32.33%,36.67%,-1.10%,-11.01%,-13.50%,-9.95%,-7.77%,-20.41%
BTC-USD,C_過度波動禁止型,2015-08-18,211.07899475097656,-32.10%,-33.00%,False,False,-19.30%,-20.07%,68.53%,51.34%,8.10%,9.63%,13.63%,8.87%,28.22%,-0.28%
BTC-USD,C_過度波動禁止型,2015-08-29,229.77999877929688,-26.08%,-27.06%,False,False,1.75%,9.16%,82.20%,56.94%,-1.13%,6.02%,1.39%,4.07%,32.57%,-1.17%
BTC-USD,A_回撤反彈型,2015-10-06,246.06300354003906,-9.00%,-20.85%,True,True,3.07%,3.58%,18.31%,51.38%,0.40%,6.83%,15.95%,57.01%,58.07%,-1.53%
BTC-USD,B_趨勢回踩型,2015-10-06,246.06300354003906,-9.00%,-20.85%,True,True,3.07%,3.58%,18.31%,51.38%,0.40%,6.83%,15.95%,57.01%,58.07%,-1.53%
BTC-USD,B_趨勢回踩型,2015-10-18,261.64300537109375,-3.32%,-15.83%,True,True,2.88%,4.86%,24.00%,30.02%,5.68%,16.43%,47.71%,28.07%,74.31%,0.00%
BTC-USD,B_趨勢回踩型,2015-10-31,314.1659851074219,-4.22%,-4.22%,True,True,3.13%,10.12%,35.77%,26.75%,22.98%,7.21%,2.50%,20.10%,35.79%,-0.98%
BTC-USD,A_回撤反彈型,2015-11-25,328.20599365234375,-20.25%,-20.25%,True,True,1.13%,1.92%,66.75%,57.75%,14.96%,18.51%,41.78%,38.83%,22.78%,0.00%
BTC-USD,B_趨勢回踩型,2015-11-26,352.6839904785156,-14.31%,-14.31%,True,True,9.17%,7.88%,72.09%,59.35%,2.78%,10.24%,28.99%,18.31%,11.07%,0.00%
BTC-USD,B_趨勢回踩型,2015-12-07,395.5360107421875,-3.89%,-3.89%,True,True,8.91%,10.12%,44.50%,61.47%,9.98%,15.31%,6.90%,8.49%,-2.27%,-7.89%
