date,ticker,signal,action,reason,trade_size,exit_return,gross_pnl,cost,net_pnl,realized_pnl
2015-07-19,BTC-USD,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-0.43500000000000005
2015-07-30,BTC-USD,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-0.8700000000000001
2015-08-10,BTC-USD,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-1.3050000000000002
2015-10-06,BTC-USD,A_回撤反彈型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,-0.7400000000000002
2015-10-06,BTC-USD,B_趨勢回踩型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,-0.17500000000000027
2015-10-16,QQQ,B_趨勢回踩型,TRADE,時間出場,5.0,0.0546,0.273,0.035,0.23800000000000002,0.06299999999999975
2015-10-18,BTC-USD,B_趨勢回踩型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,0.6279999999999997
2015-10-21,AMZN,B_趨勢回踩型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,1.1929999999999996
2015-10-21,GOOGL,B_趨勢回踩型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,1.7579999999999996
2015-10-22,AVGO,B_趨勢回踩型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,2.3229999999999995
2015-10-29,NVDA,B_趨勢回踩型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,2.8879999999999995
2015-10-31,BTC-USD,B_趨勢回踩型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,3.4529999999999994
2015-11-06,AVGO,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,3.0179999999999993
2015-11-06,TSM,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,2.5829999999999993
2015-11-13,QQQ,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,2.1479999999999992
2015-11-13,GOOGL,B_趨勢回踩型,TRADE,時間出場,5.0,0.0728,0.364,0.035,0.32899999999999996,2.4769999999999994
2015-11-13,AMZN,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,2.0419999999999994
2015-11-13,NVDA,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,1.6069999999999993
2015-11-23,TSM,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,1.1719999999999993
2015-11-24,AVGO,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,0.7369999999999992
2015-11-25,BTC-USD,A_回撤反彈型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,1.3019999999999992
2015-11-26,BTC-USD,B_趨勢回踩型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,1.866999999999999
2015-12-07,BTC-USD,B_趨勢回踩型,TRADE,時間出場,5.0,0.0849,0.4245,0.035,0.38949999999999996,2.256499999999999
2015-12-09,TSM,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,1.821499999999999
2015-12-09,NVDA,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,1.386499999999999
2015-12-10,GOOGL,B_趨勢回踩型,TRADE,時間出場,5.0,-0.0345,-0.17250000000000001,0.035,-0.20750000000000002,1.178999999999999
2015-12-11,QQQ,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,0.7439999999999989
2015-12-11,AMZN,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,0.30899999999999883
2015-12-14,AVGO,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-0.12600000000000122
2015-12-20,BTC-USD,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-0.5610000000000013
2015-12-31,BTC-USD,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-0.9960000000000013
2015-12-31,TSM,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-1.4310000000000014
2016-01-04,AMZN,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-1.8660000000000014
2016-01-04,AVGO,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-2.3010000000000015
2016-01-04,NVDA,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-2.7360000000000015
2016-01-04,QQQ,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-3.1710000000000016
2016-01-04,GOOGL,B_趨勢回踩型,TRADE,時間出場,5.0,-0.0362,-0.18100000000000002,0.035,-0.21600000000000003,-3.387000000000002
2016-01-11,BTC-USD,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-3.822000000000002
2016-01-20,BTC-USD,A_回撤反彈型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-4.2570000000000014
2016-01-20,GOOGL,B_趨勢回踩型,TRADE,時間出場,5.0,0.0181,0.09050000000000001,0.035,0.05550000000000001,-4.201500000000001
2016-01-21,GOOGL,A_回撤反彈型,TRADE,時間出場,5.0,0.0049,0.0245,0.035,-0.010500000000000002,-4.2120000000000015
2016-01-22,AMZN,A_回撤反彈型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-4.647000000000002
2016-01-22,AMZN,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-5.0820000000000025
2016-01-24,BTC-USD,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-5.517000000000003
2016-01-25,NVDA,A_回撤反彈型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-5.9520000000000035
2016-01-26,NVDA,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-6.387000000000004
2016-01-29,TSM,B_趨勢回踩型,TRADE,停利,5.0,0.12,0.6,0.035,0.565,-5.8220000000000045
2016-01-29,AVGO,B_趨勢回踩型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-6.257000000000005
2016-01-29,AVGO,A_回撤反彈型,TRADE,停損,5.0,-0.08,-0.4,0.035,-0.43500000000000005,-6.6920000000000055
2016-02-04,BTC-USD,A_回撤反彈型,TRADE,時間出場,5.0,0.0282,0.141,0.035,0.10599999999999998,-6.586000000000006
2016-02-04,GOOGL,B_趨勢回踩型,TRADE,時間出場,5.0,0.0348,0.174,0.035,0.13899999999999998,-6.447000000000005
2016-02-12,GOOGL,A_回撤反彈型,TRADE,時間出場,5.0,0.08349999999999999,0.4175,0.035,0.38249999999999995,-6.064500000000005
2016-02-14,BTC-USD,B_趨勢回踩型,TRADE,時間出場,5.0,0.0236,0.118,0.035,0.08299999999999999,-5.981500000000005
2016-02-15,BTC-USD,A_回撤反彈型,TRADE,時間出場,5.0,0.042,0.21000000000000002,0.035,0.17500000000000002,-5.806500000000005
