regime,signal,trades,sample_level,wins,losses,win_rate,gross_pnl,cost,pnl,expectancy,profit_factor,max_drawdown_pnl
2015_2019_pre_ai_bull,A_回撤反彈型,83,研究可用,49,34,0.5903614457831325,9.920999999999998,2.905000000000001,7.015999999999999,0.0845301204819277,1.5806264741175982,-3.988999999999997
2015_2019_pre_ai_bull,B_趨勢回踩型,482,策略研究成熟,268,214,0.5560165975103735,43.881499999999996,16.870000000000008,27.01149999999999,0.056040456431535254,1.3699090684999033,-22.381999999999938
2020_2021_liquidity_bull,A_回撤反彈型,64,研究可用,37,27,0.578125,6.768,2.24,4.527999999999998,0.07074999999999997,1.4362655361788221,-3.219999999999998
2020_2021_liquidity_bull,B_趨勢回踩型,300,策略研究成熟,158,142,0.5266666666666666,19.881499999999996,10.500000000000004,9.381499999999994,0.03127166666666665,1.175338753387534,-11.745000000000001
2022_rate_hike_bear,A_回撤反彈型,23,樣本不足,2,21,0.08695652173913043,-8.061000000000002,0.8050000000000003,-8.865999999999998,-0.3854782608695651,0.029447181171319104,-8.464499999999997
2022_rate_hike_bear,B_趨勢回踩型,45,初步觀察,4,41,0.08888888888888889,-14.569000000000003,1.5749999999999997,-16.143999999999995,-0.35875555555555544,0.060138557373231656,-16.483000000000004
2023_2024_ai_bull,A_回撤反彈型,77,研究可用,36,41,0.4675324675324675,1.8504999999999998,2.695000000000001,-0.8445000000000011,-0.010967532467532482,0.9479314384364017,-5.7575
2023_2024_ai_bull,B_趨勢回踩型,310,策略研究成熟,170,140,0.5483870967741935,23.136999999999997,10.850000000000003,12.286999999999992,0.039635483870967714,1.2216189892139533,-12.157999999999994
2025_now_recent_validation,A_回撤反彈型,65,研究可用,20,45,0.3076923076923077,-5.951500000000001,2.2750000000000004,-8.226500000000001,-0.12656153846153848,0.5142739054704335,-8.701499999999998
2025_now_recent_validation,B_趨勢回踩型,220,策略研究成熟,84,136,0.38181818181818183,-2.9120000000000013,7.700000000000004,-10.612000000000005,-0.04823636363636366,0.7839136632050495,-15.378000000000007
