regime,ticker,trades,sample_level,wins,losses,win_rate,gross_pnl,cost,pnl,expectancy,profit_factor,max_drawdown_pnl
2015_2019_pre_ai_bull,AAPL,38,初步觀察,22,16,0.5789473684210527,4.5409999999999995,1.3299999999999996,3.210999999999999,0.08449999999999998,1.5872348207754203,-3.0450000000000004
2015_2019_pre_ai_bull,AMZN,63,研究可用,31,32,0.49206349206349204,4.852999999999999,2.205000000000001,2.647999999999999,0.04203174603174601,1.2616600790513837,-4.690999999999997
2015_2019_pre_ai_bull,AVGO,75,研究可用,41,34,0.5466666666666666,4.760499999999999,2.625000000000001,2.1354999999999977,0.028473333333333302,1.1667252215325759,-6.524999999999999
2015_2019_pre_ai_bull,AXP,41,初步觀察,27,14,0.6585365853658537,4.91,1.435,3.474999999999999,0.08475609756097559,1.8803039898670044,-2.1750000000000003
2015_2019_pre_ai_bull,GOOGL,63,研究可用,33,30,0.5238095238095238,4.0065,2.205000000000001,1.801499999999999,0.02859523809523808,1.2236082666170172,-4.35
2015_2019_pre_ai_bull,MRVL,71,研究可用,40,31,0.5633802816901409,7.527499999999996,2.485000000000001,5.0424999999999995,0.07102112676056338,1.494605198626777,-3.2389999999999977
2015_2019_pre_ai_bull,MU,66,研究可用,34,32,0.5151515151515151,5.559999999999999,2.3100000000000005,3.2499999999999973,0.0492424242424242,1.2599792016638667,-8.280499999999998
2015_2019_pre_ai_bull,NVDA,65,研究可用,38,27,0.5846153846153846,10.241999999999999,2.2750000000000004,7.966999999999997,0.12256923076923072,1.7336771341744177,-2.9030000000000005
2015_2019_pre_ai_bull,QQQ,35,初步觀察,23,12,0.6571428571428571,2.1619999999999995,1.2249999999999999,0.936999999999999,0.02677142857142854,1.2356343518169242,-2.175
2015_2019_pre_ai_bull,TSM,48,初步觀察,28,20,0.5833333333333334,5.239999999999999,1.6800000000000002,3.559999999999999,0.07416666666666664,1.4962709974210635,-4.35
2020_2021_liquidity_bull,AAPL,44,初步觀察,27,17,0.6136363636363636,6.937999999999998,1.5399999999999998,5.397999999999999,0.12268181818181816,1.9361775927852924,-1.7665000000000002
2020_2021_liquidity_bull,AMZN,42,初步觀察,23,19,0.5476190476190477,3.0309999999999993,1.47,1.5609999999999986,0.03716666666666663,1.2631268436578171,-2.2920000000000003
2020_2021_liquidity_bull,AVGO,25,樣本不足,18,7,0.72,4.493499999999999,0.8750000000000001,3.618499999999999,0.14473999999999998,2.3641847313854853,-1.0990000000000002
2020_2021_liquidity_bull,AXP,26,樣本不足,15,11,0.5769230769230769,3.131,0.9100000000000001,2.220999999999999,0.0854230769230769,1.5662927078021418,-1.7120000000000002
2020_2021_liquidity_bull,GOOGL,31,初步觀察,22,9,0.7096774193548387,7.199499999999999,1.085,6.114500000000001,0.197241935483871,2.8408851422550048,-1.3049999999999988
2020_2021_liquidity_bull,MRVL,42,初步觀察,19,23,0.4523809523809524,0.276999999999999,1.47,-1.1930000000000012,-0.028404761904761933,0.878172070462088,-4.3500000000000005
2020_2021_liquidity_bull,MU,34,初步觀察,6,28,0.17647058823529413,-7.992000000000001,1.19,-9.182,-0.2700588235294118,0.22193034488602656,-8.746999999999998
2020_2021_liquidity_bull,NVDA,48,初步觀察,24,24,0.5,4.140499999999999,1.6800000000000002,2.460499999999999,0.05126041666666664,1.2716383307573416,-4.114
2020_2021_liquidity_bull,QQQ,27,樣本不足,21,6,0.7777777777777778,6.403,0.9450000000000002,5.458,0.20214814814814816,3.448082529715183,-0.8699999999999992
