ticker,signal,events,avg_drawdown_60,avg_max_adverse_60d,avg_vol_20,avg_ret_5d,win_rate_ret_5d,avg_ret_10d,win_rate_ret_10d,avg_ret_20d,win_rate_ret_20d,avg_ret_30d,win_rate_ret_30d,avg_ret_60d,win_rate_ret_60d
AAPL,A_回撤反彈型,23,-11.30%,-7.58%,38.23%,0.47%,56.52%,1.98%,69.57%,3.64%,73.91%,5.54%,73.91%,9.22%,78.26%
AAPL,B_趨勢回踩型,124,-6.28%,-7.77%,25.35%,0.46%,61.29%,0.79%,54.03%,1.71%,62.90%,2.49%,58.06%,5.88%,66.94%
AAPL,C_過度波動禁止型,9,-27.55%,-6.20%,58.76%,2.49%,66.67%,3.80%,66.67%,6.26%,77.78%,10.79%,77.78%,23.82%,100.00%
AMZN,A_回撤反彈型,34,-11.01%,-7.19%,35.23%,-0.64%,44.12%,-0.46%,61.76%,1.92%,58.82%,2.74%,58.82%,7.43%,70.59%
AMZN,B_趨勢回踩型,133,-6.51%,-7.63%,28.75%,0.54%,58.65%,0.75%,54.89%,2.10%,63.16%,2.73%,59.40%,5.37%,60.90%
AMZN,C_過度波動禁止型,16,-28.93%,-10.06%,54.52%,0.76%,43.75%,1.49%,50.00%,3.79%,50.00%,5.87%,62.50%,12.23%,75.00%
ARM,A_回撤反彈型,16,-13.71%,-15.75%,59.23%,-1.93%,37.50%,-0.15%,37.50%,6.08%,56.25%,6.54%,75.00%,2.76%,25.00%
ARM,B_趨勢回踩型,25,-9.74%,-19.36%,66.95%,-1.45%,44.00%,2.52%,44.00%,1.75%,36.00%,3.82%,44.00%,-1.77%,24.00%
ARM,C_過度波動禁止型,17,-31.77%,-11.10%,70.88%,1.25%,64.71%,2.32%,52.94%,4.45%,52.94%,6.69%,64.71%,21.73%,58.82%
AVGO,A_回撤反彈型,35,-12.90%,-9.58%,48.97%,0.42%,54.29%,2.77%,65.71%,2.53%,54.29%,3.11%,51.43%,10.26%,65.71%
AVGO,B_趨勢回踩型,159,-6.21%,-8.21%,35.30%,0.60%,59.75%,1.41%,59.75%,2.78%,64.15%,4.16%,67.30%,8.45%,69.81%
AVGO,C_過度波動禁止型,8,-27.48%,-8.88%,75.15%,2.75%,50.00%,11.03%,87.50%,9.52%,75.00%,16.26%,75.00%,41.22%,87.50%
AXP,A_回撤反彈型,15,-10.63%,-7.41%,32.59%,-0.68%,46.67%,-0.56%,53.33%,-0.02%,60.00%,0.46%,53.33%,5.36%,80.00%
AXP,B_趨勢回踩型,114,-5.74%,-7.54%,25.10%,1.04%,60.53%,0.86%,57.89%,1.44%,61.40%,2.35%,63.16%,4.57%,70.18%
AXP,C_過度波動禁止型,10,-31.05%,-8.50%,75.03%,-0.06%,60.00%,-0.21%,70.00%,6.15%,70.00%,11.59%,80.00%,15.67%,100.00%
GOOGL,A_回撤反彈型,26,-11.09%,-4.98%,31.12%,1.13%,53.85%,1.07%,53.85%,3.91%,57.69%,5.23%,69.23%,10.96%,80.77%
GOOGL,B_趨勢回踩型,135,-6.04%,-5.95%,25.84%,0.79%,59.26%,1.37%,62.22%,2.64%,65.19%,3.55%,62.22%,6.55%,68.89%
GOOGL,C_過度波動禁止型,7,-26.06%,-3.81%,52.02%,1.03%,57.14%,6.48%,100.00%,8.03%,100.00%,11.42%,100.00%,15.90%,100.00%
MRVL,A_回撤反彈型,46,-13.26%,-13.14%,55.77%,0.78%,56.52%,1.55%,65.22%,2.09%,60.87%,2.24%,56.52%,11.99%,63.04%
MRVL,B_趨勢回踩型,140,-7.47%,-11.07%,45.68%,0.14%,52.86%,1.21%,53.57%,3.63%,60.00%,5.54%,60.71%,9.66%,61.43%
MRVL,C_過度波動禁止型,32,-30.77%,-13.34%,62.27%,1.63%,53.12%,2.29%,65.62%,3.94%,59.38%,4.21%,53.12%,12.05%,59.38%
MU,A_回撤反彈型,38,-12.64%,-11.63%,53.01%,-0.03%,44.74%,1.81%,60.53%,2.76%,50.00%,6.59%,60.53%,11.93%,55.26%
MU,B_趨勢回踩型,132,-7.04%,-10.37%,45.39%,0.96%,52.27%,3.09%,59.09%,6.02%,65.91%,8.51%,65.91%,17.76%,66.67%
MU,C_過度波動禁止型,35,-29.31%,-13.35%,59.90%,1.42%,48.57%,2.25%,54.29%,3.46%,40.00%,7.97%,54.29%,15.06%,54.29%
NVDA,A_回撤反彈型,45,-12.71%,-9.49%,51.75%,2.05%,68.89%,3.45%,64.44%,7.27%,66.67%,9.70%,64.44%,14.79%,68.89%
NVDA,B_趨勢回踩型,152,-6.92%,-9.44%,43.08%,1.24%,59.21%,3.12%,63.82%,5.53%,69.08%,8.37%,67.76%,16.67%,72.37%
