ticker,data_symbol,name,category,scheme,reference_mode,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,discount_verdict,policy_note,group
AAPL,AAPL,AAPL,STOCK,STOCK_B_20_30_40_55,52w_high,15,-26.86%,-9.59%,4.61%,60.00%,14.37%,73.33%,25.98%,80.00%,45.38%,93.33%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_2
ACN,ACN,Accenture,STOCK,STOCK_A_15_25_35_50,52w_high,17,-24.06%,-14.13%,3.06%,58.82%,8.59%,64.71%,13.03%,70.59%,17.82%,58.82%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_1
ADBE,ADBE,Adobe,STOCK,STOCK_B_20_30_40_55,52w_high,15,-28.55%,-18.13%,3.11%,53.33%,8.11%,60.00%,15.51%,80.00%,9.21%,60.00%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_1
AMD,AMD,AMD,STOCK,STOCK_C_25_35_45_60,52w_high,29,-36.07%,-24.65%,2.84%,65.52%,12.39%,62.07%,32.92%,65.52%,32.78%,48.28%,STRONG_RESEARCH_CANDIDATE,OK,ACTIVE_10
AMZN,AMZN,AMZN,STOCK,STOCK_B_20_30_40_55,52w_high,15,-25.60%,-11.86%,8.40%,73.33%,21.17%,93.33%,22.46%,66.67%,28.50%,80.00%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_2
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_C_25_35_45_60,52w_high,14,-30.98%,-5.72%,15.83%,85.71%,38.80%,92.86%,59.86%,85.71%,97.59%,85.71%,STRONG_RESEARCH_CANDIDATE,OK,ACTIVE_10
AXP,AXP,AXP,STOCK,STOCK_C_25_35_45_60,52w_high,7,-32.63%,-13.55%,2.96%,57.14%,18.00%,85.71%,19.46%,85.71%,47.92%,100.00%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_2
BAC,BAC,BAC,STOCK,STOCK_C_25_35_45_60,52w_high,13,-35.38%,-18.58%,3.75%,61.54%,9.07%,61.54%,18.13%,76.92%,34.87%,61.54%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_2
BTC-USD,BTC-USD,BTC-USD,CRYPTO_EQUITY,STOCK_C_25_35_45_60,52w_high,31,-40.71%,-20.44%,14.35%,77.42%,28.82%,64.52%,43.91%,61.29%,88.54%,54.84%,STRONG_RESEARCH_CANDIDATE,OK,ACTIVE_10
CEG,CEG,CEG,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,6,-34.07%,-14.34%,6.02%,50.00%,34.83%,83.33%,56.50%,66.67%,56.89%,66.67%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_1
COST,COST,Costco,STOCK,STOCK_B_20_30_40_55,52w_high,4,-24.95%,-1.94%,9.06%,100.00%,24.55%,100.00%,23.96%,100.00%,28.64%,75.00%,WATCH_SAMPLE_LOW,OK,WATCHLIST_1
CVX,CVX,Chevron,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,5,-37.77%,-20.30%,13.00%,60.00%,22.93%,80.00%,13.52%,80.00%,48.90%,100.00%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_2
DELL,DELL,Dell,AI_STOCK,STOCK_B_20_30_40_55,52w_high,16,-32.53%,-20.01%,7.44%,75.00%,19.40%,68.75%,26.63%,62.50%,46.84%,62.50%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_1
GEV,GEV,GEV,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,2,-31.69%,-8.81%,5.49%,100.00%,58.93%,100.00%,104.93%,100.00%,191.74%,100.00%,WATCH_SAMPLE_LOW,OK,WATCHLIST_1
GOOGL,GOOGL,GOOGL,STOCK,STOCK_C_25_35_45_60,52w_high,6,-27.83%,-8.94%,7.51%,66.67%,11.13%,83.33%,26.27%,83.33%,41.05%,100.00%,STRONG_RESEARCH_CANDIDATE,OK,ACTIVE_10
KO,KO,Coca-Cola,STOCK,STOCK_C_25_35_45_60,52w_high,2,-32.79%,-6.07%,14.86%,100.00%,17.30%,100.00%,28.46%,100.00%,31.61%,100.00%,WATCH_SAMPLE_LOW,OK,WATCHLIST_2
LIN,LIN,LIN,STOCK,STOCK_C_25_35_45_60,52w_high,1,-28.98%,-5.08%,17.78%,100.00%,26.60%,100.00%,57.82%,100.00%,72.74%,100.00%,WATCH_SAMPLE_LOW,OK,WATCHLIST_2
LLY,LLY,Eli Lilly,STOCK,STOCK_C_25_35_45_60,52w_high,1,-25.21%,-12.39%,14.74%,100.00%,-4.15%,0.00%,42.84%,100.00%,41.72%,100.00%,WATCH_SAMPLE_LOW,OK,WATCHLIST_1
MA,MA,Mastercard,STOCK,STOCK_C_25_35_45_60,52w_high,4,-29.92%,-6.67%,8.76%,100.00%,22.36%,100.00%,32.90%,100.00%,55.22%,100.00%,WATCH_SAMPLE_LOW,OK,WATCHLIST_1
MRVL,MRVL,MRVL,STOCK,STOCK_C_25_35_45_60,52w_high,25,-35.59%,-19.59%,2.68%,52.00%,11.72%,56.00%,22.53%,64.00%,30.70%,52.00%,STRONG_RESEARCH_CANDIDATE,OK,ACTIVE_10
MSFT,MSFT,MSFT,STOCK,STOCK_C_25_35_45_60,52w_high,5,-27.92%,-6.45%,9.24%,80.00%,16.04%,100.00%,26.87%,60.00%,42.21%,80.00%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_1
MU,MU,Micron,AI_STOCK,STOCK_B_20_30_40_55,52w_high,33,-32.07%,-28.11%,7.30%,57.58%,21.22%,51.52%,18.40%,45.45%,22.56%,33.33%,WATCH,OK,WATCHLIST_2
NFLX,NFLX,Netflix,MEGACAP_STOCK,STOCK_A_15_25_35_50,52w_high,34,-24.23%,-28.25%,-0.71%,41.18%,0.75%,55.88%,10.08%,55.88%,20.98%,52.94%,RESEARCH_CANDIDATE,OK,WATCHLIST_1
NOC,NOC,NOC,STOCK,STOCK_C_25_35_45_60,52w_high,6,-29.60%,-5.67%,9.11%,66.67%,12.04%,66.67%,23.70%,66.67%,35.30%,66.67%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_2
NOW,NOW,ServiceNow,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,20,-30.20%,-16.32%,6.54%,65.00%,19.88%,80.00%,31.07%,70.00%,45.25%,70.00%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_1
NVDA,NVDA,Nvidia,AI_STOCK,STOCK_A_15_25_35_50,52w_high,38,-26.81%,-17.07%,5.69%,60.53%,18.21%,71.05%,43.66%,71.05%,74.97%,78.95%,STRONG_RESEARCH_CANDIDATE,OK,ACTIVE_10
OXY,OXY,Occidental Petroleum,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,22,-28.03%,-17.86%,5.00%,68.18%,15.08%,68.18%,14.92%,68.18%,31.31%,72.73%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_2
PBR,PBR,Petrobras,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,23,-35.99%,-27.94%,-0.18%,52.17%,2.18%,60.87%,12.82%,73.91%,14.10%,56.52%,RESEARCH_CANDIDATE,OK,WATCHLIST_2
PWR,PWR,PWR,STOCK,STOCK_C_25_35_45_60,52w_high,11,-32.84%,-12.58%,13.42%,90.91%,25.13%,81.82%,39.68%,90.91%,83.33%,90.91%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_1
QCOM,QCOM,Qualcomm,SEMICONDUCTOR_STOCK,STOCK_C_25_35_45_60,52w_high,15,-29.16%,-10.26%,7.13%,73.33%,15.14%,73.33%,28.35%,66.67%,40.05%,66.67%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_1
QQQ,QQQ,QQQ,ETF,ETF_B_15_25_35,52w_high,10,-19.83%,-7.07%,6.69%,100.00%,14.61%,90.00%,23.45%,80.00%,34.25%,90.00%,STRONG_RESEARCH_CANDIDATE,OK,ACTIVE_10
REGN,REGN,Regeneron,STOCK,STOCK_B_20_30_40_55,52w_high,27,-27.71%,-13.93%,4.16%,55.56%,8.70%,55.56%,23.80%,62.96%,60.31%,70.37%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_1
RKLB,RKLB,RKLB,STOCK,STOCK_B_20_30_40_55,52w_high,22,-34.18%,-28.94%,5.68%,40.91%,17.59%,54.55%,66.09%,40.91%,82.81%,27.27%,WATCH,OK,ACTIVE_10
SNDK,SNDK,SanDisk,SEMICONDUCTOR_STOCK,STOCK_C_25_35_45_60,52w_high,4,-26.82%,-2.90%,57.24%,75.00%,295.05%,75.00%,989.90%,50.00%,,0.00%,WATCH_SAMPLE_LOW,OK,WATCHLIST_2
SOFI,SOFI,SOFI,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,12,-37.95%,-34.45%,-3.13%,33.33%,10.78%,41.67%,35.56%,33.33%,-5.53%,33.33%,WATCH,OK,WATCHLIST_1
SPOT,SPOT,Spotify,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,12,-36.57%,-25.01%,6.17%,66.67%,4.86%,50.00%,16.02%,33.33%,19.29%,41.67%,WATCH,OK,WATCHLIST_1
STX,STX,STX,STOCK,STOCK_C_25_35_45_60,52w_high,23,-35.81%,-19.10%,7.72%,52.17%,22.02%,56.52%,50.61%,78.26%,102.60%,82.61%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_2
TMUS,TMUS,T-Mobile US,STOCK,STOCK_B_20_30_40_55,52w_high,13,-31.47%,-18.87%,6.25%,76.92%,3.72%,53.85%,14.79%,61.54%,39.65%,61.54%,STRONG_RESEARCH_CANDIDATE,OK,WATCHLIST_1
