ticker,data_symbol,name,category,scheme,reference_mode,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d
AAPL,AAPL,AAPL,STOCK,STOCK_A_15_25_35_50,52w_high,21,-21.55%,-13.84%,1.44%,52.38%,7.39%,66.67%,14.84%,66.67%,32.25%,90.48%
AAPL,AAPL,AAPL,STOCK,STOCK_B_20_30_40_55,52w_high,15,-26.86%,-9.59%,4.61%,60.00%,14.37%,73.33%,25.98%,80.00%,45.38%,93.33%
AAPL,AAPL,AAPL,STOCK,STOCK_C_25_35_45_60,52w_high,9,-28.58%,-9.97%,4.07%,55.56%,11.95%,77.78%,21.43%,77.78%,49.01%,100.00%
ACN,ACN,Accenture,STOCK,STOCK_A_15_25_35_50,52w_high,17,-24.06%,-14.13%,3.06%,58.82%,8.59%,64.71%,13.03%,70.59%,17.82%,58.82%
ACN,ACN,Accenture,STOCK,STOCK_B_20_30_40_55,52w_high,11,-28.89%,-19.09%,2.17%,54.55%,11.88%,72.73%,11.88%,45.45%,20.40%,36.36%
ACN,ACN,Accenture,STOCK,STOCK_C_25_35_45_60,52w_high,8,-31.46%,-18.71%,6.34%,75.00%,7.80%,62.50%,13.70%,62.50%,16.13%,50.00%
ADBE,ADBE,Adobe,STOCK,STOCK_A_15_25_35_50,52w_high,23,-25.11%,-15.88%,5.00%,65.22%,8.30%,60.87%,13.67%,69.57%,17.57%,65.22%
ADBE,ADBE,Adobe,STOCK,STOCK_B_20_30_40_55,52w_high,15,-28.55%,-18.13%,3.11%,53.33%,8.11%,60.00%,15.51%,80.00%,9.21%,60.00%
ADBE,ADBE,Adobe,STOCK,STOCK_C_25_35_45_60,52w_high,12,-34.69%,-16.90%,7.13%,75.00%,10.39%,58.33%,15.29%,58.33%,15.08%,50.00%
AMD,AMD,AMD,STOCK,STOCK_A_15_25_35_50,52w_high,51,-25.21%,-23.51%,5.66%,62.75%,15.17%,56.86%,29.42%,62.75%,21.96%,45.10%
AMD,AMD,AMD,STOCK,STOCK_B_20_30_40_55,52w_high,34,-32.40%,-25.73%,0.77%,58.82%,6.59%,47.06%,28.35%,61.76%,23.65%,52.94%
AMD,AMD,AMD,STOCK,STOCK_C_25_35_45_60,52w_high,29,-36.07%,-24.65%,2.84%,65.52%,12.39%,62.07%,32.92%,65.52%,32.78%,48.28%
AMZN,AMZN,AMZN,STOCK,STOCK_A_15_25_35_50,52w_high,28,-21.00%,-10.43%,4.92%,67.86%,13.86%,78.57%,20.42%,75.00%,30.31%,78.57%
AMZN,AMZN,AMZN,STOCK,STOCK_B_20_30_40_55,52w_high,15,-25.60%,-11.86%,8.40%,73.33%,21.17%,93.33%,22.46%,66.67%,28.50%,80.00%
AMZN,AMZN,AMZN,STOCK,STOCK_C_25_35_45_60,52w_high,9,-29.69%,-13.65%,5.34%,77.78%,18.66%,88.89%,15.37%,66.67%,27.89%,77.78%
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_A_15_25_35_50,52w_high,33,-21.94%,-11.63%,6.35%,78.79%,18.56%,75.76%,34.01%,81.82%,58.86%,87.88%
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_B_20_30_40_55,52w_high,22,-25.14%,-10.58%,10.85%,86.36%,26.76%,90.91%,44.03%,86.36%,65.12%,90.91%
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_C_25_35_45_60,52w_high,14,-30.98%,-5.72%,15.83%,85.71%,38.80%,92.86%,59.86%,85.71%,97.59%,85.71%
AXP,AXP,AXP,STOCK,STOCK_A_15_25_35_50,52w_high,20,-20.57%,-12.96%,2.41%,65.00%,11.27%,75.00%,14.00%,65.00%,25.94%,75.00%
AXP,AXP,AXP,STOCK,STOCK_B_20_30_40_55,52w_high,13,-25.33%,-10.49%,4.08%,69.23%,15.14%,84.62%,19.65%,76.92%,37.41%,76.92%
AXP,AXP,AXP,STOCK,STOCK_C_25_35_45_60,52w_high,7,-32.63%,-13.55%,2.96%,57.14%,18.00%,85.71%,19.46%,85.71%,47.92%,100.00%
BAC,BAC,BAC,STOCK,STOCK_A_15_25_35_50,52w_high,25,-23.79%,-19.00%,2.34%,60.00%,6.44%,68.00%,9.85%,64.00%,17.47%,64.00%
BAC,BAC,BAC,STOCK,STOCK_B_20_30_40_55,52w_high,13,-30.94%,-21.98%,0.92%,61.54%,7.05%,53.85%,10.88%,69.23%,22.94%,61.54%
BAC,BAC,BAC,STOCK,STOCK_C_25_35_45_60,52w_high,13,-35.38%,-18.58%,3.75%,61.54%,9.07%,61.54%,18.13%,76.92%,34.87%,61.54%
BTC-USD,BTC-USD,BTC-USD,CRYPTO_EQUITY,STOCK_B_20_30_40_55,52w_high,39,-33.51%,-21.76%,13.99%,76.92%,24.90%,58.97%,40.18%,58.97%,84.70%,61.54%
BTC-USD,BTC-USD,BTC-USD,CRYPTO_EQUITY,STOCK_C_25_35_45_60,52w_high,31,-40.71%,-20.44%,14.35%,77.42%,28.82%,64.52%,43.91%,61.29%,88.54%,54.84%
CEG,CEG,CEG,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,9,-28.18%,-17.12%,-0.55%,44.44%,19.83%,66.67%,34.35%,66.67%,62.32%,66.67%
CEG,CEG,CEG,GROWTH_STOCK,STOCK_C_25_35_45_60,52w_high,6,-34.07%,-14.34%,6.02%,50.00%,34.83%,83.33%,56.50%,66.67%,56.89%,66.67%
COST,COST,Costco,STOCK,STOCK_A_15_25_35_50,52w_high,12,-16.77%,-5.21%,4.40%,83.33%,13.38%,83.33%,18.66%,83.33%,25.21%,83.33%
COST,COST,Costco,STOCK,STOCK_B_20_30_40_55,52w_high,4,-24.95%,-1.94%,9.06%,100.00%,24.55%,100.00%,23.96%,100.00%,28.64%,75.00%
