ticker,data_symbol,name,category,scheme,layer,threshold,date,close,reference_high,reference_mode,drawdown,ret_21d,ret_63d,ret_126d,ret_252d,max_adverse_252d
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2010-06-24,39.4354248046875,43.84804153442383,52w_high,-10.06%,2.60%,7.78%,21.78%,23.25%,-6.17%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2011-08-08,44.43123245239258,52.37071990966797,52w_high,-15.16%,8.01%,14.46%,23.51%,33.02%,-1.11%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2011-09-30,46.1854133605957,52.37071990966797,52w_high,-11.81%,10.40%,6.77%,30.74%,31.84%,-2.57%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2011-11-23,46.88933563232422,52.37071990966797,52w_high,-10.47%,5.55%,20.65%,17.12%,23.21%,-0.77%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2012-05-18,53.80205154418945,60.384639739990234,52w_high,-10.90%,5.88%,12.61%,5.42%,22.65%,-0.66%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2012-11-08,56.16936492919922,62.43003463745117,52w_high,-10.03%,3.10%,8.28%,16.72%,32.53%,-1.79%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2015-08-21,94.49828338623047,105.18470764160156,52w_high,-10.16%,1.91%,11.32%,-0.26%,15.88%,-5.42%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2016-01-13,94.55355834960938,106.53221130371094,52w_high,-11.24%,-3.81%,9.17%,10.51%,21.79%,-5.48%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2016-06-27,95.38524627685547,106.53221130371094,52w_high,-10.46%,12.09%,15.08%,18.23%,36.42%,0.00%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2018-02-08,145.28538513183594,161.83529663085938,52w_high,-10.23%,13.44%,10.72%,18.99%,10.67%,-5.69%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2018-04-02,147.4746551513672,164.81777954101562,52w_high,-10.52%,4.67%,10.61%,19.94%,18.52%,-7.09%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2018-10-24,157.41514587402344,177.47000122070312,52w_high,-11.30%,-3.71%,-1.07%,16.07%,19.38%,-12.96%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D2,-20.00%,2018-12-21,140.49681091308594,177.47000122070312,52w_high,-20.83%,10.91%,21.90%,26.18%,45.13%,-2.48%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2019-06-03,162.72503662109375,182.8025665283203,52w_high,-10.98%,11.94%,10.44%,21.07%,39.69%,0.00%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2020-02-27,197.96165466308594,228.13148498535156,52w_high,-13.22%,-9.70%,12.08%,42.53%,53.63%,-17.67%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D2,-20.00%,2020-03-12,170.6990966796875,228.13148498535156,52w_high,-25.18%,14.74%,32.26%,54.18%,78.92%,-4.52%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2020-09-08,260.8771057128906,292.5843811035156,52w_high,-10.84%,3.69%,13.82%,15.37%,41.65%,-2.14%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2020-10-28,262.5103454589844,292.5843811035156,52w_high,-10.28%,10.08%,16.01%,24.81%,42.20%,-0.83%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2021-03-08,290.384521484375,325.73138427734375,52w_high,-10.85%,10.70%,12.36%,27.52%,8.83%,0.00%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D1,-10.00%,2022-01-20,351.88348388671875,392.5078430175781,52w_high,-10.35%,-5.59%,-7.51%,-16.25%,-19.53%,-27.63%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D2,-20.00%,2022-03-14,309.5177917480469,392.5078430175781,52w_high,-21.14%,6.82%,-13.33%,-7.40%,-5.35%,-17.72%
QQQ,QQQ,QQQ,ETF,ETF_A_10_20_30,D3,-30.00%,2022-06-13,268.25177001953125,392.5078430175781,52w_high,-31.66%,4.29%,6.85%,4.08%,33.88%,-5.07%
