ticker,market_cap,trailing_pe,forward_pe,price_to_book,peg_ratio,enterprise_to_ebitda,gross_margin,operating_margin,profit_margin,roe,revenue_growth,earnings_growth,free_cash_flow,operating_cash_flow,total_cash,total_debt,debt_to_equity,dividend_yield,group
QQQ,,31.849918,,2.0061269,,,,,,,,,,,,,,0.41,ACTIVE_10
NVDA,5146962558976.0,32.44275,16.595171,26.332096,0.65,30.826,0.74144995,0.65596,0.62966,1.14288,0.852,2.145,46335873024.0,125648003072.0,53171998720.0,12814000128.0,6.555,0.47,ACTIVE_10
TSM,2175622184960.0,36.50827,20.67296,94.92151,1.36,5.307,0.61873,0.58105,0.46505,0.3621,0.351,0.584,719158444032.0,2348378226688.0,3383596154880.0,1094369804288.0,18.447,0.9,ACTIVE_10
AVGO,1875818708992.0,64.95552,20.30602,21.39338,0.45,45.649,0.76284,0.48988,0.38848,0.37280998,0.479,0.854,27212249088.0,33621999616.0,19627999232.0,64907001856.0,74.018,0.67,ACTIVE_10
GOOGL,4526178304000.0,27.394388,25.421082,9.3870535,1.41,27.667,0.60368,0.36121,0.37919,0.38884997,0.218,0.82,27921750016.0,174353006592.0,126839996416.0,95875997696.0,20.026,0.24,ACTIVE_10
AMD,862816043008.0,181.83505,39.69367,13.380029,1.34,114.985,0.5306,0.14396,0.13374,0.08063,0.378,0.912,7173374976.0,9724999680.0,12346999808.0,3871000064.0,6.005,,ACTIVE_10
MRVL,185127518208.0,70.87972,33.27096,9.914439,1.33,67.061,0.51502997,0.14479999,0.28986,0.16028,0.276,-0.804,2269700096.0,2056400000.0,3843599872.0,5277199872.0,28.97,0.11,ACTIVE_10
RKLB,47611187200.0,,2540.0,19.374521,,-260.001,0.36556,-0.22356,-0.26872,-0.13549,0.635,,-214999376.0,-161628000.0,1383351040.0,138670000.0,6.124,,ACTIVE_10
SPCX,1782072344576.0,,149.7874,22.711554,,202.086,0.48826,-0.41627997,-0.44998002,,0.154,,,7104999936.0,23675000832.0,30602999808.0,73.597,,ACTIVE_10
BTC-USD,1295193997312.0,,,,,,,,,,,,,,,,,,ACTIVE_10
NOW,108008890368.0,62.33929,20.852665,9.209462,1.05,36.447,0.76562,0.13342,0.12586,0.1607,0.221,0.023,5108125184.0,5437000192.0,5182000128.0,2431000064.0,20.728,,WATCHLIST_1
QCOM,187590918144.0,19.137634,16.116777,6.909698,0.6,14.852,0.54799,0.22059,0.22308001,0.36083,-0.035,1.73,9589624832.0,14284999680.0,9799000064.0,15269999616.0,55.979,2.07,WATCHLIST_1
DELL,266650042368.0,36.48806,19.197838,-190.79056,0.71,20.462,0.19212,0.088570006,0.062750004,,0.875,2.825,5434124800.0,12469999616.0,11580999680.0,31924000768.0,,0.55,WATCHLIST_1
MSFT,2938911850496.0,22.935072,20.421362,7.093067,1.19,16.189,0.68309,0.46326,0.39341998,0.34013999,0.183,0.234,37011251200.0,170141007872.0,78227996672.0,125431996416.0,30.271,0.95,WATCHLIST_1
NFLX,310251651072.0,23.691319,19.222841,9.97158,1.44,22.035,0.49029,0.32303002,0.28521,0.48494998,0.162,0.864,25993676800.0,12650278912.0,12288449536.0,16742200320.0,53.788,,WATCHLIST_1
ADBE,89262596096.0,12.622821,8.157257,7.7791247,0.61,9.324,0.89404,0.35327998,0.28689,0.62953997,0.127,0.079,9218374656.0,10481000448.0,5625999872.0,7077000192.0,61.443,,WATCHLIST_1
SOFI,22922588160.0,39.711113,22.056011,2.1180515,0.85,,0.83507,0.18283,0.14761,0.06597,0.425,1.012,,-6078953984.0,3564402944.0,1916210944.0,17.724,,WATCHLIST_1
REGN,69660295168.0,16.02629,12.134141,2.1550312,1.15,14.044,0.43885,0.20658001,0.29648,0.14548,0.19,-0.072,3273349888.0,5012700160.0,8753699840.0,2706200064.0,8.612,0.57,WATCHLIST_1
MA,472902959104.0,31.153086,23.47986,70.64546,1.62,22.625,1.0,0.60836,0.45876,2.32076,0.158,0.212,16148124672.0,18267000832.0,8218999808.0,18959998976.0,282.059,0.65,WATCHLIST_1
V,675385311232.0,31.043709,23.89049,19.050531,1.53,22.554,0.97778,0.67346,0.51679003,0.60349,0.171,0.355,20839749632.0,22755999744.0,13912999936.0,23975999488.0,67.233,0.75,WATCHLIST_1
PWR,97365024768.0,90.873955,39.390816,10.764841,2.04,38.892,0.15100001,0.04244,0.036679998,0.13534,0.263,0.51,1037176768.0,2378515968.0,364760992.0,6319672832.0,69.121,0.07,WATCHLIST_1
CEG,92173385728.0,22.27049,19.002756,2.7933617,3.74,14.474,0.23263,0.21858,0.12693,0.16104999,0.638,10.91,-4478875136.0,4554999808.0,864000000.0,22466000896.0,66.428,0.67,WATCHLIST_1
COST,406466068480.0,46.289898,40.471542,24.586618,4.47,29.357,0.12876001,0.036730003,0.0301,0.29152,0.215,0.455,6954375168.0,15000000512.0,11125999616.0,10227999744.0,60.257,0.64,WATCHLIST_1
GEV,283574861824.0,31.156778,42.884995,20.368664,1.79,81.611,0.20282,0.05461,0.23809999,0.75708,0.163,18.165,9315624960.0,9013999616.0,9772000256.0,3755000064.0,24.925,0.19,WATCHLIST_1
LLY,1031414808576.0,40.98618,25.770454,33.125126,1.54,29.532,0.82832,0.49386,0.34986,1.07459,0.555,1.699,9156599808.0,20480000000.0,5281999872.0,43370000384.0,139.015,0.6,WATCHLIST_1
SPOT,99803865088.0,32.795944,26.92453,10.941358,1.65,38.425,0.32318002,0.15773,0.15449001,0.37987998,0.082,2.224,707750016.0,3230000128.0,6293000192.0,476000000.0,5.943,,WATCHLIST_1
TMUS,203043241984.0,19.875,13.124363,3.6459386,0.74,9.493,0.63281,0.2401,0.116459996,0.18024999,0.106,-0.12,11147374592.0,28324999168.0,3520000000.0,122134003712.0,218.569,2.18,WATCHLIST_1
ACN,83848306688.0,10.755102,9.339819,2.628883,0.98,6.465,0.32013,0.16964,0.10656,0.24406,0.056,0.09,12089380864.0,13182094336.0,10171567104.0,8388769792.0,25.035,4.85,WATCHLIST_1
AAPL,4810109091840.0,38.170162,34.04044,45.11019,2.55,30.169,0.47862,0.32275,0.27152002,1.4147099,0.166,0.218,101090746368.0,140222005248.0,68507000832.0,84710998016.0,79.548,0.34,WATCHLIST_2
