ticker,history_start,history_end,history_years,full_10y,total_return,cagr,annualized_volatility,max_drawdown,current_drawdown,sharpe,sortino,group
QQQ,2016-07-18,2026-07-15,9.990417522245037,True,5.834628217185372,0.21213656603783404,0.22444936603167756,-0.35118736664376404,-0.0370312320228241,0.8830096420866479,1.1271711098138681,ACTIVE_10
NVDA,2016-07-18,2026-07-15,9.990417522245037,True,162.64203525110523,0.6657193726229771,0.49912776726903585,-0.6633508667198122,-0.09753262682911912,1.2334193475020467,1.8311784188845666,ACTIVE_10
TSM,2016-07-18,2026-07-15,9.990417522245037,True,18.089483509818145,0.3433904831821408,0.34587584056061066,-0.5646657359523592,-0.12163660918189478,0.9708154486135225,1.4633597024784393,ACTIVE_10
AVGO,2016-07-18,2026-07-15,9.990417522245037,True,30.684575830648775,0.4132817345470958,0.3965115597227024,-0.4829996313012872,-0.17996552365635843,1.0227126007157383,1.4239703685612983,ACTIVE_10
GOOGL,2016-07-18,2026-07-15,9.990417522245037,True,8.936512244761982,0.25840098219587815,0.29229011917427694,-0.44320058535941875,-0.078184009209736,0.8663365375337648,1.207117452301902,ACTIVE_10
AMD,2016-07-18,2026-07-15,9.990417522245037,True,95.03266654597178,0.5791814936445814,0.5700394854543102,-0.6544994295506881,-0.08911872904480722,1.0521669565254135,1.6209064147660743,ACTIVE_10
MRVL,2016-07-18,2026-07-15,9.990417522245037,True,21.016766106201626,0.36271220404180515,0.526538345622169,-0.6187945674157804,-0.3480046875327084,0.8113766952307366,1.2025741988468943,ACTIVE_10
RKLB,2020-11-24,2026-07-15,5.637234770704997,False,6.8201963821254585,0.44028889270283456,0.7896138673380757,-0.8296332003681772,-0.4927777466862181,0.8207572849405254,1.4229515844883076,ACTIVE_10
SPCX,2026-06-12,2026-07-15,0.09034907597535935,False,-0.15955261362346806,-0.8539610064551472,1.166501822765858,-0.3600926975588753,-0.3600926975588753,-1.2494143484546867,-1.9975942765146217,ACTIVE_10
BTC-USD,2016-07-16,2026-07-16,9.998631074606434,True,96.7039649059898,0.5813152635372121,0.5548538617850347,-0.8339900882218974,-0.48249900866239936,0.8133300277149311,1.0982285090275157,ACTIVE_10
NOW,2016-07-18,2026-07-15,9.990417522245037,True,6.498926416437888,0.22344326979563567,0.4095869081903393,-0.6454173439572124,-0.5525850270160052,0.6497359136983476,0.9029014808937417,WATCHLIST_1
QCOM,2016-07-18,2026-07-15,9.990417522245037,True,3.2245941300397423,0.15515037212133054,0.39585553903897847,-0.4428842104775722,-0.288354094583934,0.5115102063375746,0.718422252814156,WATCHLIST_1
DELL,2016-08-17,2026-07-15,9.908281998631075,True,36.58287888349426,0.4419723260264623,0.44288515445454757,-0.5958774223022354,-0.11434457841094159,1.002048301428605,1.3981687316471363,WATCHLIST_1
