ticker,group,data_symbol,status,rows,error
QQQ,ACTIVE_10,QQQ,OK,4038,
NVDA,ACTIVE_10,NVDA,OK,4038,
TSM,ACTIVE_10,TSM,OK,4038,
AVGO,ACTIVE_10,AVGO,OK,4038,
GOOGL,ACTIVE_10,GOOGL,OK,4038,
AMD,ACTIVE_10,AMD,OK,4038,
MRVL,ACTIVE_10,MRVL,OK,4038,
RKLB,ACTIVE_10,RKLB,OK,1295,
SPCX,ACTIVE_10,SPCX,DATA_PENDING,0,not enough rows for backtest: 22
BTC-USD,ACTIVE_10,BTC-USD,OK,4201,
NOW,WATCHLIST_1,NOW,OK,3410,
QCOM,WATCHLIST_1,QCOM,OK,4038,
DELL,WATCHLIST_1,DELL,OK,2371,
MSFT,WATCHLIST_1,MSFT,OK,4038,
NFLX,WATCHLIST_1,NFLX,OK,4038,
ADBE,WATCHLIST_1,ADBE,OK,4038,
SOFI,WATCHLIST_1,SOFI,OK,1269,
REGN,WATCHLIST_1,REGN,OK,4038,
MA,WATCHLIST_1,MA,OK,4038,
V,WATCHLIST_1,V,OK,4038,
PWR,WATCHLIST_1,PWR,OK,4038,
CEG,WATCHLIST_1,CEG,OK,1006,
COST,WATCHLIST_1,COST,OK,4038,
GEV,WATCHLIST_1,GEV,OK,457,
LLY,WATCHLIST_1,LLY,OK,4038,
SPOT,WATCHLIST_1,SPOT,OK,1963,
TMUS,WATCHLIST_1,TMUS,OK,4038,
ACN,WATCHLIST_1,ACN,OK,4038,
AAPL,WATCHLIST_2,AAPL,OK,4038,
AMZN,WATCHLIST_2,AMZN,OK,4038,
KO,WATCHLIST_2,KO,OK,4038,
BAC,WATCHLIST_2,BAC,OK,4038,
AXP,WATCHLIST_2,AXP,OK,4038,
CVX,WATCHLIST_2,CVX,OK,4038,
XOM,WATCHLIST_2,XOM,OK,4038,
LIN,WATCHLIST_2,LIN,OK,4038,
NOC,WATCHLIST_2,NOC,OK,4038,
UNH,WATCHLIST_2,UNH,OK,4038,
MU,WATCHLIST_2,MU,OK,4038,
SNDK,WATCHLIST_2,SNDK,OK,236,
WDC,WATCHLIST_2,WDC,OK,4038,
STX,WATCHLIST_2,STX,OK,4038,
SKHY,WATCHLIST_2,SKHY,DATA_PENDING,0,not enough rows for backtest: 4
DRAM,WATCHLIST_2,DRAM,DATA_PENDING,0,not enough rows for backtest: 71
OXY,WATCHLIST_2,OXY,OK,4038,
PBR,WATCHLIST_2,PBR,OK,4038,
