ticker,group,stage,stage_reason,status,history_years,full_10y,cagr,max_drawdown,current_drawdown,sharpe,sortino,beat_spy_rate,beat_qqq_rate,avg_alpha_spy,avg_alpha_qqq,events,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,avg_max_adverse_252d,discount_verdict,revenue_growth,earnings_growth,profit_margin,free_cash_flow,forward_pe,trailing_pe,error
PWR,WATCHLIST_1,A_PRIORITY_DEEP_REVIEW,十年績效、年度勝率與折價樣本同時合格,OK,9.990417522245036,True,0.3843395638511921,-0.4553337555986673,-0.1735785861397373,1.0728402459389537,1.5162779465741254,0.8,0.6,0.2155362384983098,0.1397732805715167,11.0,0.3968433100571198,0.9090909090909092,0.8332754275545796,0.9090909090909092,-0.1257988851925079,STRONG_RESEARCH_CANDIDATE,0.263,0.51,0.036679998,1037176768.0,39.390816,90.873955,
AAPL,WATCHLIST_2,A_PRIORITY_DEEP_REVIEW,十年績效、年度勝率與折價樣本同時合格,OK,9.990417522245036,True,0.3061091169244294,-0.3851591729802794,0.0,0.9977632971845956,1.3738210665852038,0.7,0.7,0.1747350236612445,0.0989720657344513,15.0,0.2598377829753844,0.8,0.4538421964720305,0.9333333333333332,-0.0958704787933027,STRONG_RESEARCH_CANDIDATE,0.166,0.218,0.27152002,101090746368.0,34.04044,38.170162,
MSFT,WATCHLIST_1,A_PRIORITY_DEEP_REVIEW,十年績效、年度勝率與折價樣本同時合格,OK,9.990417522245036,True,0.2358287711403202,-0.3714848723012369,-0.2655273165512836,0.8434358046061818,1.153196286243728,0.6,0.6,0.0976395775628052,0.021876619636012,5.0,0.2686811585426698,0.6,0.4220720069522423,0.8,-0.0645182901500044,STRONG_RESEARCH_CANDIDATE,0.183,0.234,0.39341998,37011251200.0,20.421362,22.935072,
NOW,WATCHLIST_1,A_PRIORITY_DEEP_REVIEW,十年績效、年度勝率與折價樣本同時合格,OK,9.990417522245036,True,0.2234432697956356,-0.6454173439572124,-0.5525850270160052,0.6497359136983476,0.9029014808937416,0.6,0.6,0.1585476322111836,0.0827846742843904,20.0,0.3106550765370217,0.7,0.4525277995820634,0.7,-0.1632065805317614,STRONG_RESEARCH_CANDIDATE,0.221,0.023,0.12586,5108125184.0,20.852665,62.33929,
AXP,WATCHLIST_2,A_PRIORITY_DEEP_REVIEW,十年績效、年度勝率與折價樣本同時合格,OK,9.990417522245036,True,0.20471201473897,-0.4963850232104346,-0.0611385029421549,0.6818125392128764,0.9366321323764192,0.8,0.5,0.0486971358355558,-0.0270658220912374,7.0,0.194591694981649,0.8571428571428571,0.4792242290658829,1.0,-0.1354543385900953,STRONG_RESEARCH_CANDIDATE,0.116,0.176,0.16305,,17.772102,22.166975,
MU,WATCHLIST_2,B_CYCLICAL_OR_HIGH_DRAWDOWN,長期報酬高，但週期性、回撤或折價勝率需要額外限制,OK,9.990417522245036,True,0.5289202324305355,-0.5762896906272803,-0.2547388796025737,1.0529970785666003,1.5863473727319295,0.6,0.5,0.5232409297845448,0.4474779718577515,33.0,0.184431452508611,0.4545454545454545,0.2205661773433753,0.3333333333333333,-0.2819964838799129,WATCH,3.457,13.685,0.55906,7639499776.0,6.0098834,22.223644,
STX,WATCHLIST_2,B_CYCLICAL_OR_HIGH_DRAWDOWN,長期報酬高，但週期性、回撤或折價勝率需要額外限制,OK,9.990417522245036,True,0.4525009512511766,-0.569918360117287,-0.2423580754333133,1.051379213114934,1.4518607198227038,0.6,0.5,0.4647888032672708,0.3890258453404776,23.0,0.5060734232079344,0.782608695652174,1.0259822783515742,0.8260869565217391,-0.1909998792919469,STRONG_RESEARCH_CANDIDATE,0.441,1.083,0.21599,1610000000.0,29.083597,83.32998,
DELL,WATCHLIST_1,B_CYCLICAL_OR_HIGH_DRAWDOWN,長期報酬高，但週期性、回撤或折價勝率需要額外限制,OK,9.908281998631075,True,0.4419723386661196,-0.5958773867569922,-0.1143445784109415,1.0020483866947918,1.3981691153669955,0.7,0.7,0.3618261599070332,0.2860632019802401,16.0,0.2663052999765851,0.625,0.4683902895839166,0.625,-0.2000590253354545,STRONG_RESEARCH_CANDIDATE,0.875,2.825,0.062750004,5434124800.0,19.197838,36.48806,
WDC,WATCHLIST_2,B_CYCLICAL_OR_HIGH_DRAWDOWN,長期報酬高，但週期性、回撤或折價勝率需要額外限制,OK,9.990417522245036,True,0.3100898412642097,-0.7049293695592058,-0.311418677479701,0.7558626537687693,1.05195945015612,0.4,0.4,0.4050181831432398,0.3292552252164465,26.0,0.2579545153874486,0.5,1.0065570442039953,0.6923076923076923,-0.255947584021401,WATCH,0.455,4.829,0.55286,2075000064.0,27.704634,33.672348,
LLY,WATCHLIST_1,B_QUALITY_WAIT_FOR_PRICE,長期品質較穩，但深跌樣本不足，不能證明折價策略,OK,9.990417522245036,True,0.32790334115065,-0.3447500388020053,-0.0638820048948261,1.0227477696188485,1.4761106169459557,0.7,0.6,0.1909449638022513,0.1151820058754581,1.0,0.4284003945403045,1.0,0.4172161289136946,1.0,-0.1238575602421538,WATCH_SAMPLE_LOW,0.555,1.699,0.34986,9156599808.0,25.770454,40.98618,
COST,WATCHLIST_1,B_QUALITY_WAIT_FOR_PRICE,長期品質較穩，但深跌樣本不足，不能證明折價策略,OK,9.990417522245036,True,0.2057654292824857,-0.3140243677452288,-0.1624570299249197,0.8726457569625363,1.1396544937956166,0.7,0.5,0.0766225838547814,0.0008596259279882,4.0,0.2396145145417035,1.0,0.2863681428982866,0.75,-0.0194281003509389,WATCH_SAMPLE_LOW,0.215,0.455,0.0301,6954375168.0,40.471542,46.289898,
LIN,WATCHLIST_2,B_QUALITY_WAIT_FOR_PRICE,長期品質較穩，但深跌樣本不足，不能證明折價策略,OK,9.990417522245036,True,0.1777513543893958,-0.3258503785886562,-0.0594358066803257,0.7449244820146196,1.0509176106614728,0.8,0.6,0.030191738051743,-0.0455712198750501,1.0,0.5782215638451471,1.0,0.7273793921790876,1.0,-0.0507533666626185,WATCH_SAMPLE_LOW,0.082,0.134,0.20436001,4694499840.0,26.085745,34.599598,
NFLX,WATCHLIST_1,C_SECONDARY_REVIEW,部分條件合格，保留第二輪基本面與估值審查,OK,9.990417522245036,True,0.2227525180995,-0.759473182516135,-0.4497920038030465,0.6491701878408952,0.860164323181681,0.5,0.5,0.1175050576380747,0.0417420997112815,34.0,0.1007521758858734,0.5588235294117647,0.2097675513799406,0.5294117647058824,-0.2825019684926059,RESEARCH_CANDIDATE,0.162,0.864,0.28521,25993676800.0,19.222841,23.691319,
AMZN,WATCHLIST_2,C_SECONDARY_REVIEW,部分條件合格，保留第二輪基本面與估值審查,OK,9.990417522245036,True,0.2137770415420192,-0.5614526325328263,-0.0728389549868203,0.6974026242201943,0.9917772811701816,0.5,0.5,0.1200713746516946,0.0443084167249014,15.0,0.2245653844174089,0.6666666666666666,0.2850392620095651,0.8,-0.1185575253234544,STRONG_RESEARCH_CANDIDATE,0.166,0.748,0.12224,9806624768.0,25.763634,29.577728,
MA,WATCHLIST_1,C_SECONDARY_REVIEW,部分條件合格，保留第二輪基本面與估值審查,OK,9.990417522245036,True,0.2003112971843421,-0.4099722459456005,-0.1008661599224902,0.7407626965319245,0.9761748526626044,0.5,0.4,0.0443685979200803,-0.0313943600067128,4.0,0.3290200492234617,1.0,0.552210090051795,1.0,-0.066721526939864,WATCH_SAMPLE_LOW,0.158,0.212,0.45876,16148124672.0,23.47986,31.153086,
BAC,WATCHLIST_2,C_SECONDARY_REVIEW,部分條件合格，保留第二輪基本面與估值審查,OK,9.990417522245036,True,0.1850722467897279,-0.4894680584269542,0.0,0.6454074957305775,0.8919899839432387,0.6,0.6,0.0036480945151908,-0.0721148634116023,13.0,0.181348636995574,0.7692307692307693,0.3487310262959008,0.6153846153846154,-0.1857501317679298,STRONG_RESEARCH_CANDIDATE,0.214,0.36,0.29524,,11.736861,13.997727,
V,WATCHLIST_1,C_SECONDARY_REVIEW,部分條件合格，保留第二輪基本面與估值審查,OK,9.990417522245036,True,0.1716125963115649,-0.3636489014091252,-0.0411582798566602,0.6903163542146197,0.9090786284480848,0.5,0.4,0.0251587818034906,-0.0506041761233026,3.0,0.268526332767048,0.6666666666666666,0.36402347706016,1.0,-0.063020890448926,WATCH_SAMPLE_LOW,0.171,0.355,0.51679003,20839749632.0,23.89049,31.043709,
QCOM,WATCHLIST_1,C_SECONDARY_REVIEW,部分條件合格，保留第二輪基本面與估值審查,OK,9.990417522245036,True,0.1551503511821965,-0.4428842104775722,-0.288354094583934,0.51151015590659,0.7184601103486772,0.3,0.2,0.0210008253651285,-0.0547621325616646,15.0,0.2835066250228136,0.6666666666666666,0.4004997427565522,0.6666666666666666,-0.102644835037835,STRONG_RESEARCH_CANDIDATE,-0.035,1.73,0.22308001,9589624832.0,16.116777,19.137634,
NOC,WATCHLIST_2,C_SECONDARY_REVIEW,部分條件合格，保留第二輪基本面與估值審查,OK,9.990417522245036,True,0.108252739228962,-0.3638408198777283,-0.3131278784288314,0.4525190586418766,0.5930444275868115,0.5,0.5,-0.0317220947255163,-0.1074850526523095,6.0,0.2369793056277464,0.6666666666666666,0.3529737353152695,0.6666666666666666,-0.0566884901833918,STRONG_RESEARCH_CANDIDATE,0.044,0.849,0.108009994,2071624960.0,17.410704,16.584148,
ADBE,WATCHLIST_1,C_SECONDARY_REVIEW,部分條件合格，保留第二輪基本面與估值審查,OK,9.990417522245036,True,0.0867719586376765,-0.7190319086624579,-0.6737800904288909,0.3576267834429937,0.4483879539608224,0.5,0.5,0.006850039971892,-0.0689129179549012,15.0,0.1551455232107176,0.8,0.0920701976136055,0.6,-0.1812902325474057,STRONG_RESEARCH_CANDIDATE,0.127,0.079,0.28689,9218374656.0,8.157257,12.622821,
REGN,WATCHLIST_1,C_SECONDARY_REVIEW,部分條件合格，保留第二輪基本面與估值審查,OK,9.990417522245036,True,0.0579689044834104,-0.5969200460622774,-0.4425359876905077,0.2740070809743866,0.403306803524734,0.4,0.2,-0.0832688936409865,-0.1590318515677797,27.0,0.2380241303164071,0.6296296296296297,0.6030905625730258,0.7037037037037037,-0.1392978375519114,STRONG_RESEARCH_CANDIDATE,0.19,-0.072,0.29648,3273349888.0,12.134141,16.02629,
UNH,WATCHLIST_2,C_SPECIAL_SITUATION_REVIEW,目前跌幅較深，但長期統計不足以直接升級,OK,9.990417522245036,True,0.1338225253483038,-0.61390867761131,-0.3022058213697849,0.5046094501961591,0.5930709444909921,0.6,0.5,-0.0158052310074074,-0.0915681889342006,10.0,0.1023948762187236,0.7,0.2896268255295934,0.7,-0.207717546866026,STRONG_RESEARCH_CANDIDATE,0.02,0.007,0.02678,17687500800.0,19.892883,32.04594,
ACN,WATCHLIST_1,C_SPECIAL_SITUATION_REVIEW,目前跌幅較深，但長期統計不足以直接升級,OK,9.990417522245036,True,0.0358072721187685,-0.6817366937220359,-0.6453487940408045,0.1945686749152474,0.2443535243660824,0.5,0.3,-0.0620949372337997,-0.1378578951605929,17.0,0.130321665482903,0.7058823529411765,0.1782227612928858,0.5882352941176471,-0.1413204055949851,STRONG_RESEARCH_CANDIDATE,0.056,0.09,0.10656,12089380864.0,9.339819,10.755102,
