ticker,fiscal_year,revenue,operating_income,net_income,operating_cash_flow,capital_expenditure,free_cash_flow,total_debt,cash,stockholders_equity,operating_margin_calc,net_margin_calc,fcf_margin_calc
PWR,2021,,,,,,,,,,,,
PWR,2022,17073903000.0,838471000.0,491189000.0,1130312000.0,-427630000.0,702682000.0,3975491000.0,428505000.0,5383464000.0,0.04910833802909622,0.02876840755157154,0.04115532341960711
PWR,2023,20882206000.0,1092935000.0,744689000.0,1575952000.0,-434803000.0,1141149000.0,4463697000.0,1290248000.0,6272241000.0,0.05233810067767745,0.03566141431609285,0.054646956360836586
PWR,2024,23672795000.0,1303048000.0,904824000.0,2081196000.0,-604078000.0,1477118000.0,4478957000.0,741960000.0,7317731000.0,0.05504411287302577,0.03822210262877704,0.06239727923973489
PWR,2025,28479697000.0,1587077000.0,1028378000.0,2229970000.0,-609154000.0,1620816000.0,6418954000.0,439508000.0,8938249000.0,0.055726611136347415,0.036109162256887775,0.05691127963896526
AAPL,2021,,,,,,,,,,,,
AAPL,2022,394328000000.0,119437000000.0,99803000000.0,122151000000.0,-10708000000.0,111443000000.0,132480000000.0,48304000000.0,50672000000.0,0.30288744395528594,0.2530964070519973,0.2826149804223895
AAPL,2023,383285000000.0,114301000000.0,96995000000.0,110543000000.0,-10959000000.0,99584000000.0,111088000000.0,61555000000.0,62146000000.0,0.2982141226502472,0.2530623426432028,0.25981710737440805
AAPL,2024,391035000000.0,123216000000.0,93736000000.0,118254000000.0,-9447000000.0,108807000000.0,106629000000.0,65171000000.0,56950000000.0,0.31510222870075566,0.23971255769943867,0.27825386474356517
AAPL,2025,416161000000.0,133050000000.0,112010000000.0,111482000000.0,-12715000000.0,98767000000.0,98657000000.0,54697000000.0,73733000000.0,0.31970799762591884,0.2691506412181824,0.23732882225869315
MSFT,2022,198270000000.0,83383000000.0,72738000000.0,89035000000.0,-23886000000.0,65149000000.0,61270000000.0,104749000000.0,166542000000.0,0.4205527815604983,0.3668633681343622,0.3285872799717557
MSFT,2023,211915000000.0,88523000000.0,72361000000.0,87582000000.0,-28107000000.0,59475000000.0,59965000000.0,111256000000.0,206223000000.0,0.417728806361041,0.3414623787839464,0.2806549795908737
MSFT,2024,245122000000.0,109433000000.0,88136000000.0,118548000000.0,-44477000000.0,74071000000.0,67127000000.0,75531000000.0,268477000000.0,0.44644299573273716,0.35955972944084985,0.3021801388696241
MSFT,2025,281724000000.0,128528000000.0,101832000000.0,136162000000.0,-64551000000.0,71611000000.0,60588000000.0,94555000000.0,343479000000.0,0.4562195624085985,0.3614601524896707,0.2541884965427156
NOW,2021,,,,,,,,,,,,
