ticker,data_symbol,name,category,scheme,reference_mode,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d,discount_verdict,policy_note
AAON,AAON,AAON,STOCK,STOCK_B_20_30_40_55,52w_high,24,-25.14%,-9.12%,1.74%,50.00%,16.98%,79.17%,22.97%,83.33%,36.05%,83.33%,STRONG_RESEARCH_CANDIDATE,OK
ACN,ACN,Accenture,STOCK,STOCK_A_15_25_35_50,52w_high,17,-24.06%,-14.13%,3.06%,58.82%,8.59%,64.71%,13.03%,70.59%,17.82%,58.82%,STRONG_RESEARCH_CANDIDATE,OK
ADBE,ADBE,Adobe,STOCK,STOCK_B_20_30_40_55,52w_high,15,-28.55%,-18.13%,3.11%,53.33%,8.11%,60.00%,15.51%,80.00%,9.21%,60.00%,STRONG_RESEARCH_CANDIDATE,OK
AGG,AGG,iShares Core US Aggregate Bond ETF,BOND_ETF,BOND_A_03_05_08,52w_high,458,-3.72%,-3.11%,0.35%,64.85%,0.59%,74.24%,1.93%,87.55%,3.10%,81.44%,RESERVE_TOOL_NOT_DISCOUNT_HUNTER_TARGET,RESERVE_TOOL_NOT_DISCOUNT_HUNTER_TARGET
ARM,ARM,ARM,SEMICONDUCTOR_STOCK,STOCK_C_25_35_45_60,52w_high,11,-32.97%,-17.91%,1.39%,36.36%,26.31%,63.64%,71.31%,81.82%,11.19%,45.45%,STRONG_RESEARCH_CANDIDATE,OK
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_C_25_35_45_60,52w_high,14,-30.98%,-5.72%,15.83%,85.71%,38.80%,92.86%,59.86%,85.71%,97.59%,85.71%,STRONG_RESEARCH_CANDIDATE,OK
BABA,BABA,Alibaba,CHINA_STOCK,STOCK_B_20_30_40_55,52w_high,18,-30.89%,-24.18%,7.93%,61.11%,6.02%,55.56%,14.41%,50.00%,13.11%,50.00%,WATCH,OK
BIDU,BIDU,Baidu,CHINA_STOCK,STOCK_B_20_30_40_55,52w_high,24,-31.20%,-25.54%,2.89%,54.17%,1.26%,50.00%,-2.11%,37.50%,-9.82%,20.83%,NO,OK
BILI,BILI,Bilibili,CHINA_STOCK,STOCK_B_20_30_40_55,52w_high,20,-33.04%,-29.88%,1.80%,55.00%,7.44%,45.00%,14.69%,40.00%,40.45%,55.00%,WATCH,OK
BNO,BNO,US Brent Oil Fund,COMMODITY_ETF,ETF_B_15_25_35,52w_high,26,-21.42%,-21.62%,-2.47%,46.15%,-0.75%,53.85%,4.52%,50.00%,5.84%,50.00%,WATCH,OK
BRLN,BRLN,BlackRock Floating Rate Loan ETF,BOND_ETF,BOND_A_03_05_08,52w_high,2,-3.49%,-0.37%,3.19%,100.00%,5.94%,100.00%,6.72%,100.00%,8.16%,100.00%,RESERVE_TOOL_NOT_DISCOUNT_HUNTER_TARGET,RESERVE_TOOL_NOT_DISCOUNT_HUNTER_TARGET
CMG,CMG,Chipotle,STOCK,STOCK_C_25_35_45_60,52w_high,19,-35.30%,-18.16%,8.50%,57.89%,21.33%,57.89%,28.05%,47.37%,53.97%,63.16%,WATCH,OK
COIN,COIN,Coinbase,CRYPTO_EQUITY,STOCK_C_25_35_45_60,52w_high,19,-38.18%,-37.88%,3.18%,47.37%,16.66%,63.16%,24.54%,52.63%,22.95%,42.11%,WATCH,OK
COP,COP,ConocoPhillips,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,13,-37.02%,-23.76%,3.94%,61.54%,21.83%,84.62%,6.47%,69.23%,28.31%,76.92%,STRONG_RESEARCH_CANDIDATE,OK
COST,COST,Costco,STOCK,STOCK_B_20_30_40_55,52w_high,4,-24.95%,-1.94%,9.06%,100.00%,24.55%,100.00%,23.96%,100.00%,28.64%,75.00%,WATCH_SAMPLE_LOW,OK
CVX,CVX,Chevron,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,5,-37.77%,-20.30%,13.00%,60.00%,22.93%,80.00%,13.52%,80.00%,48.90%,100.00%,STRONG_RESEARCH_CANDIDATE,OK
DASH,DASH,DoorDash,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,12,-32.08%,-40.31%,6.37%,58.33%,1.86%,41.67%,-0.11%,41.67%,-17.17%,16.67%,NO,OK
DELL,DELL,Dell,AI_STOCK,STOCK_B_20_30_40_55,52w_high,16,-32.53%,-20.01%,6.90%,68.75%,19.40%,68.75%,26.63%,62.50%,46.84%,62.50%,STRONG_RESEARCH_CANDIDATE,OK
ECH,ECH,iShares MSCI Chile ETF,COUNTRY_ETF,ETF_B_15_25_35,52w_high,20,-23.34%,-13.29%,6.88%,80.00%,5.68%,75.00%,6.24%,60.00%,4.53%,50.00%,STRONG_RESEARCH_CANDIDATE,OK
ECO,ECO,Okeanis Eco Tankers,CYCLICAL_STOCK,STOCK_C_25_35_45_60,52w_high,3,-35.48%,-15.24%,-0.23%,33.33%,8.73%,66.67%,13.32%,66.67%,65.83%,100.00%,WATCH_SAMPLE_LOW,OK
ENB,ENB,Enbridge,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,6,-33.15%,-13.33%,2.49%,66.67%,15.77%,83.33%,16.73%,83.33%,32.18%,100.00%,STRONG_RESEARCH_CANDIDATE,OK
EQIX,EQIX,Equinix,REIT_STOCK,STOCK_C_25_35_45_60,52w_high,8,-29.50%,-6.58%,15.82%,100.00%,19.60%,87.50%,24.13%,87.50%,28.22%,100.00%,STRONG_RESEARCH_CANDIDATE,OK
EQT,EQT,EQT,ENERGY_STOCK,STOCK_B_20_30_40_55,52w_high,26,-28.78%,-15.61%,6.82%,65.38%,9.12%,61.54%,20.21%,73.08%,39.81%,80.77%,STRONG_RESEARCH_CANDIDATE,OK
FXI,FXI,iShares China Large-Cap ETF,COUNTRY_ETF,ETF_B_15_25_35,52w_high,21,-21.26%,-14.29%,3.71%,80.95%,4.52%,61.90%,7.24%,61.90%,9.34%,57.14%,STRONG_RESEARCH_CANDIDATE,OK
GRAB,GRAB,Grab,GROWTH_STOCK,STOCK_B_20_30_40_55,52w_high,12,-33.24%,-47.40%,-5.62%,41.67%,-23.14%,16.67%,-17.44%,41.67%,-41.99%,16.67%,NO,OK
HAL,HAL,Halliburton,ENERGY_STOCK,STOCK_C_25_35_45_60,52w_high,20,-36.41%,-23.34%,3.47%,40.00%,8.82%,55.00%,15.16%,55.00%,20.85%,60.00%,RESEARCH_CANDIDATE,OK
HII,HII,Huntington Ingalls,DEFENSE_STOCK,STOCK_C_25_35_45_60,52w_high,12,-34.53%,-12.17%,0.58%,50.00%,13.01%,75.00%,21.70%,66.67%,54.58%,75.00%,STRONG_RESEARCH_CANDIDATE,OK
HPE,HPE,HPE,STOCK,STOCK_B_20_30_40_55,52w_high,16,-26.76%,-16.67%,0.91%,56.25%,12.10%,68.75%,21.61%,68.75%,26.64%,68.75%,STRONG_RESEARCH_CANDIDATE,OK
HUBB,HUBB,Hubbell,STOCK,STOCK_B_20_30_40_55,52w_high,13,-27.46%,-8.63%,9.73%,76.92%,18.47%,84.62%,31.51%,92.31%,54.92%,100.00%,STRONG_RESEARCH_CANDIDATE,OK
INTU,INTU,Intuit,STOCK,STOCK_C_25_35_45_60,52w_high,11,-36.43%,-21.05%,3.95%,63.64%,7.65%,45.45%,21.54%,45.45%,36.88%,45.45%,WATCH,OK
