ticker,data_symbol,name,category,scheme,reference_mode,events,avg_drawdown_at_trigger,avg_max_adverse_252d,avg_ret_21d,win_rate_ret_21d,avg_ret_63d,win_rate_ret_63d,avg_ret_126d,win_rate_ret_126d,avg_ret_252d,win_rate_ret_252d
AAON,AAON,AAON,STOCK,STOCK_A_15_25_35_50,52w_high,40,-21.79%,-10.41%,4.06%,57.50%,14.29%,75.00%,17.22%,70.00%,29.19%,77.50%
AAON,AAON,AAON,STOCK,STOCK_B_20_30_40_55,52w_high,24,-25.14%,-9.12%,1.74%,50.00%,16.98%,79.17%,22.97%,83.33%,36.05%,83.33%
AAON,AAON,AAON,STOCK,STOCK_C_25_35_45_60,52w_high,16,-29.75%,-7.31%,9.70%,75.00%,24.04%,81.25%,21.75%,68.75%,38.01%,75.00%
ACN,ACN,Accenture,STOCK,STOCK_A_15_25_35_50,52w_high,17,-24.06%,-14.13%,3.06%,58.82%,8.59%,64.71%,13.03%,70.59%,17.82%,58.82%
ACN,ACN,Accenture,STOCK,STOCK_B_20_30_40_55,52w_high,11,-28.89%,-19.09%,2.17%,54.55%,11.88%,72.73%,11.88%,45.45%,20.40%,36.36%
ACN,ACN,Accenture,STOCK,STOCK_C_25_35_45_60,52w_high,8,-31.46%,-18.71%,6.34%,75.00%,7.80%,62.50%,13.70%,62.50%,16.13%,50.00%
ADBE,ADBE,Adobe,STOCK,STOCK_A_15_25_35_50,52w_high,23,-25.11%,-15.88%,4.77%,60.87%,8.30%,60.87%,13.67%,69.57%,17.57%,65.22%
ADBE,ADBE,Adobe,STOCK,STOCK_B_20_30_40_55,52w_high,15,-28.55%,-18.13%,3.11%,53.33%,8.11%,60.00%,15.51%,80.00%,9.21%,60.00%
ADBE,ADBE,Adobe,STOCK,STOCK_C_25_35_45_60,52w_high,12,-34.69%,-16.90%,7.13%,75.00%,10.39%,58.33%,15.29%,58.33%,15.08%,50.00%
AGG,AGG,iShares Core US Aggregate Bond ETF,BOND_ETF,BOND_A_03_05_08,52w_high,458,-3.72%,-3.11%,0.35%,64.85%,0.59%,74.24%,1.93%,87.55%,3.10%,81.44%
ARM,ARM,ARM,SEMICONDUCTOR_STOCK,STOCK_A_15_25_35_50,52w_high,18,-26.96%,-20.32%,3.64%,27.78%,19.27%,44.44%,55.19%,66.67%,7.07%,27.78%
ARM,ARM,ARM,SEMICONDUCTOR_STOCK,STOCK_B_20_30_40_55,52w_high,15,-31.00%,-18.76%,2.45%,40.00%,26.30%,53.33%,56.85%,66.67%,5.62%,40.00%
ARM,ARM,ARM,SEMICONDUCTOR_STOCK,STOCK_C_25_35_45_60,52w_high,11,-32.97%,-17.91%,1.39%,36.36%,26.31%,63.64%,71.31%,81.82%,11.19%,45.45%
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_A_15_25_35_50,52w_high,33,-21.94%,-11.63%,6.53%,75.76%,18.56%,75.76%,34.01%,81.82%,58.86%,87.88%
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_B_20_30_40_55,52w_high,22,-25.14%,-10.58%,11.20%,81.82%,26.76%,90.91%,44.03%,86.36%,65.12%,90.91%
AVGO,AVGO,Broadcom,AI_STOCK,STOCK_C_25_35_45_60,52w_high,14,-30.98%,-5.72%,15.83%,85.71%,38.80%,92.86%,59.86%,85.71%,97.59%,85.71%
BABA,BABA,Alibaba,CHINA_STOCK,STOCK_B_20_30_40_55,52w_high,18,-30.89%,-24.18%,7.93%,61.11%,6.02%,55.56%,14.41%,50.00%,13.11%,50.00%
BABA,BABA,Alibaba,CHINA_STOCK,STOCK_C_25_35_45_60,52w_high,14,-36.28%,-25.84%,2.00%,50.00%,7.35%,50.00%,7.85%,42.86%,2.63%,42.86%
BIDU,BIDU,Baidu,CHINA_STOCK,STOCK_B_20_30_40_55,52w_high,24,-31.20%,-25.54%,2.89%,54.17%,1.26%,50.00%,-2.11%,37.50%,-9.82%,20.83%
BIDU,BIDU,Baidu,CHINA_STOCK,STOCK_C_25_35_45_60,52w_high,18,-36.88%,-26.56%,2.29%,44.44%,3.22%,38.89%,-3.59%,27.78%,-15.00%,22.22%
BILI,BILI,Bilibili,CHINA_STOCK,STOCK_B_20_30_40_55,52w_high,20,-33.04%,-29.88%,1.80%,55.00%,7.44%,45.00%,14.69%,40.00%,40.45%,55.00%
BILI,BILI,Bilibili,CHINA_STOCK,STOCK_C_25_35_45_60,52w_high,16,-37.00%,-30.59%,5.60%,62.50%,5.77%,56.25%,10.60%,43.75%,47.39%,56.25%
BNO,BNO,US Brent Oil Fund,COMMODITY_ETF,ETF_A_10_20_30,52w_high,43,-15.99%,-19.38%,-1.47%,48.84%,-0.45%,46.51%,2.81%,51.16%,10.22%,51.16%
BNO,BNO,US Brent Oil Fund,COMMODITY_ETF,ETF_B_15_25_35,52w_high,26,-21.42%,-21.62%,-2.47%,46.15%,-0.75%,53.85%,4.52%,50.00%,5.84%,50.00%
BRLN,BRLN,BlackRock Floating Rate Loan ETF,BOND_ETF,BOND_A_03_05_08,52w_high,2,-3.49%,-0.37%,3.19%,100.00%,5.94%,100.00%,6.72%,100.00%,8.16%,100.00%
CMG,CMG,Chipotle,STOCK,STOCK_A_15_25_35_50,52w_high,32,-24.95%,-19.76%,3.97%,50.00%,15.90%,53.12%,24.03%,53.12%,40.59%,62.50%
CMG,CMG,Chipotle,STOCK,STOCK_B_20_30_40_55,52w_high,20,-29.54%,-23.11%,2.72%,55.00%,10.80%,50.00%,16.71%,45.00%,36.76%,60.00%
