ticker,data_symbol,status,rows,category,error
STLD,STLD,OK,4032,STOCK,
PEP,PEP,OK,4032,STOCK,
PFE,PFE,OK,4032,STOCK,
EQT,EQT,OK,4032,ENERGY_STOCK,
HUBB,HUBB,OK,4032,STOCK,
AVGO,AVGO,OK,4032,AI_STOCK,
UNP,UNP,OK,4032,STOCK,
PDD,PDD,OK,1877,CHINA_STOCK,
MRK,MRK,OK,4032,STOCK,
COST,COST,OK,4032,STOCK,
UNG,UNG,OK,4032,COMMODITY_ETF,
VZ,VZ,OK,4032,STOCK,
AGG,AGG,OK,4032,BOND_ETF,
NVDA,NVDA,OK,4032,AI_STOCK,
HPE,HPE,OK,2574,STOCK,
ADBE,ADBE,OK,4032,STOCK,
ECH,ECH,OK,4032,COUNTRY_ETF,
VNQ,VNQ,OK,4032,SECTOR_ETF,
UBER,UBER,OK,1679,GROWTH_STOCK,
LMT,LMT,OK,4032,DEFENSE_STOCK,
CMG,CMG,OK,4032,STOCK,
MA,MA,OK,4032,STOCK,
STNG,STNG,OK,3972,CYCLICAL_STOCK,
META,META,OK,3433,MEGACAP_STOCK,
SPOT,SPOT,OK,1957,GROWTH_STOCK,
HII,HII,OK,3726,DEFENSE_STOCK,
ECO,ECO,OK,607,CYCLICAL_STOCK,
UMC,UMC,OK,4032,SEMICONDUCTOR_STOCK,
INTU,INTU,OK,4032,STOCK,
EQIX,EQIX,OK,4032,REIT_STOCK,
JAAA,JAAA,OK,1315,BOND_ETF,
USFR,USFR,OK,3004,BOND_ETF,
ACN,ACN,OK,4032,STOCK,
SGOV,SGOV,OK,1413,BOND_ETF,
BIL,BIL,OK,4032,BOND_ETF,
BABA,BABA,OK,2846,CHINA_STOCK,
SOXS,SOXS,OK,3986,INVERSE_LEVERAGED_ETF,
OXY,OXY,OK,4032,ENERGY_STOCK,
BNO,BNO,OK,3929,COMMODITY_ETF,
USO,USO,OK,4032,COMMODITY_ETF,
SQQQ,SQQQ,OK,4005,INVERSE_LEVERAGED_ETF,
WLK,WLK,OK,4032,CYCLICAL_STOCK,
COP,COP,OK,4032,ENERGY_STOCK,
CVX,CVX,OK,4032,ENERGY_STOCK,
XOM,XOM,OK,4032,ENERGY_STOCK,
NET,NET,OK,1592,GROWTH_STOCK,
VDE,VDE,OK,4032,SECTOR_ETF,
BRLN,BRLN,OK,820,BOND_ETF,
BIDU,BIDU,OK,4032,CHINA_STOCK,
REGN,REGN,OK,4032,STOCK,
WMB,WMB,OK,4032,ENERGY_STOCK,
PBR,PBR,OK,4032,ENERGY_STOCK,
HAL,HAL,OK,4032,ENERGY_STOCK,
ENB,ENB,OK,4032,ENERGY_STOCK,
KWEB,KWEB,OK,3132,COUNTRY_ETF,
FXI,FXI,OK,4032,COUNTRY_ETF,
BILI,BILI,OK,1960,CHINA_STOCK,
JD,JD,OK,2929,CHINA_STOCK,
TMUS,TMUS,OK,4032,STOCK,
SLB,SLB,OK,4032,ENERGY_STOCK,
NJ,NJ,DATA_PENDING,0,UNKNOWN,empty yfinance response
T,T,OK,4032,STOCK,
PG,PG,OK,4032,STOCK,
PSON,PSON,DATA_PENDING,0,UNKNOWN_ETF,empty yfinance response
NUE,NUE,OK,4032,CYCLICAL_STOCK,
SBUX,SBUX,OK,4032,STOCK,
DASH,DASH,OK,1279,GROWTH_STOCK,
AAON,AAON,OK,4032,STOCK,
UNH,UNH,OK,4032,STOCK,
MCD,MCD,OK,4032,STOCK,
DELL,DELL,OK,2365,AI_STOCK,
KO,KO,OK,4032,STOCK,
LLY,LLY,OK,4032,STOCK,
WMT,WMT,OK,4032,STOCK,
OIH,OIH,OK,4032,SECTOR_ETF,
PSQ,PSQ,OK,4032,INVERSE_ETF,
GRAB,GRAB,OK,1285,GROWTH_STOCK,
TCOM,TCOM,OK,4032,CHINA_STOCK,
NFLX,NFLX,OK,4032,MEGACAP_STOCK,
PYPL,PYPL,OK,2648,GROWTH_STOCK,
QCOM,QCOM,OK,4032,SEMICONDUCTOR_STOCK,
SPYB,SPYB,DATA_PENDING,0,ETF,empty yfinance response
MU,MU,OK,4032,AI_STOCK,
TSM,TSM,OK,4032,AI_STOCK,
NOW,NOW,OK,3404,GROWTH_STOCK,
SMCI,SMCI,OK,4032,AI_STOCK,
ORCL,ORCL,OK,4032,MEGACAP_STOCK,
ARM,ARM,OK,585,SEMICONDUCTOR_STOCK,
SPCX,SPCX,DATA_PENDING,0,TOKENIZED_PRIVATE_OR_NEW,not enough rows for backtest: 16
SNDK,SNDK,OK,230,SEMICONDUCTOR_STOCK,
COIN,COIN,OK,1194,CRYPTO_EQUITY,
