pattern,rule,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
弱量續攻,base_60d,136,52.21%,1.72%,0.21%,2.30,1.92,-15.70%,91.99%
弱量續攻,risk_30d,136,44.12%,1.88%,-6.53%,10.58,1.33,-21.38%,26.69%
弱量續攻,trend_60d,136,45.59%,8.66%,-1.64%,15.23,3.31,-16.91%,98.22%
沖量,base_60d,13,53.85%,5.59%,1.95%,8.08,2.97,-14.33%,62.95%
沖量,risk_30d,13,61.54%,7.64%,17.34%,9.31,2.81,-14.33%,22.86%
沖量,trend_60d,13,61.54%,7.82%,2.80%,17.31,3.48,-14.33%,48.43%
波段,base_60d,67,41.79%,-1.23%,-2.28%,1.88,0.63,-16.65%,14.37%
波段,risk_30d,67,28.36%,-1.98%,-8.73%,8.63,0.71,-16.31%,22.56%
波段,trend_60d,67,26.87%,-1.55%,-3.85%,4.79,0.64,-16.65%,61.64%
縮量黑馬,base_60d,6,66.67%,0.81%,1.01%,1.33,1.37,-10.22%,9.13%
縮量黑馬,risk_30d,6,66.67%,7.70%,15.60%,9.50,3.41,-10.22%,17.51%
縮量黑馬,trend_60d,6,50.00%,38.65%,28.88%,27.00,10.46,-10.22%,99.15%
