ticker,industry,pattern,date,close,ma25,vol5,vol60,above_ma200,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d
MU,AI半導體,弱量續攻,2010-06-28,9.770874977111816,9.002466659545899,35338600.0,37185878.333333336,True,-16.67%,-12.87%,-15.87%,-27.45%,-32.93%
MU,AI半導體,波段,2010-06-29,8.454440116882324,8.997786026000977,47624900.0,37783741.666666664,False,2.54%,0.92%,-4.96%,-17.53%,-23.07%
MU,AI半導體,波段,2010-06-30,8.278915405273438,8.985694351196289,49716840.0,37721063.333333336,False,2.36%,2.00%,-8.36%,-13.19%,-15.19%
MU,AI半導體,弱量續攻,2010-07-14,8.532450675964355,8.870627708435059,33604320.0,37751575.0,False,-6.63%,-5.83%,-18.29%,-18.86%,-18.74%
MU,AI半導體,弱量續攻,2010-07-15,8.44468879699707,8.875698394775391,32824380.0,37804368.333333336,False,-1.39%,-10.16%,-14.90%,-21.71%,-12.36%
MU,AI半導體,波段,2010-09-30,7.030738830566406,6.712454242706299,35204200.0,32221558.333333332,False,-1.39%,5.27%,10.12%,8.88%,8.32%
MU,AI半導體,弱量續攻,2010-10-01,7.108749866485596,6.732347030639648,31652040.0,32145843.333333332,False,4.12%,4.39%,13.31%,5.90%,6.45%
MU,AI半導體,沖量,2010-10-04,6.816208362579346,6.738587894439697,32822540.0,32233565.0,False,9.73%,7.87%,16.45%,6.15%,10.87%
MU,AI半導體,波段,2010-10-05,6.757699966430664,6.753800029754639,39554060.0,32783970.0,False,11.83%,5.34%,17.03%,4.18%,14.00%
MU,AI半導體,波段,2010-10-06,6.777202606201172,6.772912693023682,37861080.0,32689370.0,False,10.07%,10.65%,16.40%,2.16%,15.40%
MU,AI半導體,波段,2010-10-07,6.933225154876709,6.787734794616699,40179420.0,32769483.333333332,False,6.75%,5.49%,20.39%,2.53%,16.46%
MU,AI半導體,弱量續攻,2010-10-20,7.498805046081543,7.044781131744385,26923920.0,34178811.666666664,False,3.64%,5.20%,-7.67%,2.86%,26.27%
MU,AI半導體,弱量續攻,2010-10-22,7.498805046081543,7.09665843963623,24119260.0,33363786.666666668,False,7.41%,12.61%,-3.90%,3.51%,21.85%
MU,AI半導體,弱量續攻,2010-10-25,7.615821361541748,7.130593204498291,24140620.0,32498560.0,False,4.23%,5.51%,-6.27%,1.41%,22.92%
MU,AI半導體,弱量續攻,2010-10-26,7.528058052062988,7.1633577728271485,21629880.0,32096796.666666668,False,5.05%,2.33%,-3.89%,2.85%,27.46%
MU,AI半導體,弱量續攻,2010-10-27,7.771843433380127,7.212114601135254,18091760.0,32062788.333333332,False,1.51%,-1.25%,-2.76%,2.76%,26.10%
MU,AI半導體,弱量續攻,2010-10-28,7.742588520050049,7.261651515960693,18068780.0,31965606.666666668,False,7.81%,-1.13%,-3.90%,3.90%,25.69%
MU,AI半導體,弱量續攻,2010-10-29,8.054631233215332,7.302997264862061,32293960.0,33086233.333333332,False,4.84%,-6.54%,-8.35%,-1.45%,20.46%
MU,AI半導體,沖量,2010-11-01,7.93761682510376,7.346293354034424,35453700.0,33195128.333333332,False,1.23%,-8.85%,-10.69%,-0.86%,30.10%
MU,AI半導體,弱量續攻,2010-11-05,8.44468879699707,7.521038055419922,29337800.0,32897670.0,False,-10.85%,-14.67%,-8.08%,-6.24%,25.75%
MU,AI半導體,弱量續攻,2010-11-08,8.035130500793457,7.569794940948486,32230600.0,33281300.0,False,-9.95%,-11.17%,-3.88%,-1.21%,32.28%
MU,AI半導體,沖量,2010-11-09,7.703583717346191,7.6076302909851075,38097540.0,33745148.333333336,False,-8.61%,-6.08%,0.51%,4.81%,39.87%
MU,AI半導體,波段,2010-11-10,7.6743292808532715,7.643515357971191,41250160.0,34105208.333333336,False,-9.78%,-1.52%,4.07%,0.89%,43.46%
MU,AI半導體,波段,2010-11-11,7.654826641082764,7.6723794174194335,38958460.0,34388385.0,False,-7.13%,-2.80%,5.10%,-0.51%,45.73%
