pattern,rule,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
弱量續攻,base_60d,67,50.75%,0.94%,0.12%,2.42,1.29,-17.87%,29.33%
弱量續攻,risk_30d,67,46.27%,3.71%,-8.50%,5.19,1.63,-17.87%,37.33%
弱量續攻,trend_60d,67,37.31%,3.02%,-4.84%,11.07,1.56,-17.87%,73.10%
沖量,base_60d,17,58.82%,3.76%,5.09%,6.41,2.37,-19.78%,25.70%
沖量,risk_30d,17,64.71%,10.17%,16.43%,7.59,3.37,-16.64%,39.92%
沖量,trend_60d,17,41.18%,3.61%,-3.25%,15.88,1.69,-20.24%,33.63%
波段,base_60d,23,47.83%,0.14%,-0.41%,2.04,1.05,-13.02%,12.57%
波段,risk_30d,23,52.17%,6.42%,17.14%,5.52,2.35,-13.02%,29.22%
波段,trend_60d,23,26.09%,-2.22%,-4.44%,6.74,0.58,-14.11%,24.26%
縮量黑馬,base_60d,5,0.00%,-6.71%,-4.90%,1.00,0.00,-15.46%,-0.36%
縮量黑馬,risk_30d,5,40.00%,10.89%,-8.77%,2.20,2.56,-15.46%,45.77%
縮量黑馬,trend_60d,5,0.00%,-6.71%,-4.90%,1.00,0.00,-15.46%,-0.36%
