ticker,industry,pattern,date,close,ma25,vol5,vol60,above_ma200,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d
NBIS,政策/AI觀察,弱量續攻,2025-05-06,25.040000915527344,22.573399963378908,6064660.0,12386986.666666666,False,40.85%,56.31%,57.31%,92.97%,107.67%
NBIS,政策/AI觀察,弱量續攻,2025-05-07,27.450000762939453,22.76379997253418,8417360.0,12474980.0,False,31.58%,41.79%,68.67%,74.75%,97.34%
NBIS,政策/AI觀察,弱量續攻,2025-05-08,28.219999313354492,22.91459991455078,8293060.0,12431568.333333334,True,26.82%,33.95%,71.08%,68.25%,95.50%
NBIS,政策/AI觀察,弱量續攻,2025-05-09,28.270000457763672,23.174599914550782,8763600.0,12420830.0,True,32.01%,36.51%,85.99%,80.47%,94.87%
NBIS,政策/AI觀察,弱量續攻,2025-05-12,33.34000015258789,23.696599884033205,11102140.0,12556018.333333334,True,12.66%,19.44%,57.50%,45.53%,95.89%
NBIS,政策/AI觀察,沖量,2025-05-13,35.27000045776367,24.265399932861328,12676820.0,12202453.333333334,True,10.97%,12.28%,43.38%,49.14%,95.01%
NBIS,政策/AI觀察,弱量續攻,2025-05-14,36.119998931884766,24.907799911499023,11610180.0,11942308.333333334,True,7.75%,5.32%,39.20%,43.52%,94.46%
NBIS,政策/AI觀察,沖量,2025-05-15,35.790000915527344,25.400999984741212,12480540.0,11823546.666666666,True,5.62%,2.68%,31.68%,54.60%,110.48%
NBIS,政策/AI觀察,弱量續攻,2025-05-28,39.599998474121094,30.958999786376953,11127220.0,11164851.666666666,True,-0.53%,27.70%,32.83%,11.87%,74.19%
NBIS,政策/AI觀察,沖量,2025-06-03,37.27000045776367,33.04179992675781,11300940.0,10974475.0,True,40.89%,29.68%,34.08%,44.06%,93.29%
NBIS,政策/AI觀察,波段,2025-06-20,47.970001220703125,42.98959991455078,12803420.0,12759915.0,True,8.07%,-0.27%,9.17%,12.92%,86.43%
NBIS,政策/AI觀察,弱量續攻,2025-06-23,47.47999954223633,43.45719985961914,12415320.0,12634760.0,True,16.53%,-0.80%,7.43%,16.20%,98.15%
NBIS,政策/AI觀察,沖量,2025-06-24,51.02000045776367,44.005199890136716,13130440.0,12670521.666666666,True,-1.39%,-9.74%,1.69%,7.98%,84.48%
NBIS,政策/AI觀察,波段,2025-06-25,48.52000045776367,44.44359985351562,13648040.0,12489876.666666666,True,2.99%,-4.31%,7.50%,34.60%,104.68%
NBIS,政策/AI觀察,波段,2025-07-01,50.310001373291016,46.668800048828125,12548580.0,12307086.666666666,True,-8.47%,5.96%,1.95%,40.39%,114.55%
NBIS,政策/AI觀察,弱量續攻,2025-07-02,49.970001220703125,47.07480010986328,11360240.0,12208721.666666666,True,-7.08%,7.44%,8.93%,37.00%,115.53%
NBIS,政策/AI觀察,縮量黑馬,2025-07-03,50.25,47.50080017089844,10082280.0,12083548.333333334,True,-11.84%,5.05%,3.48%,42.53%,119.34%
NBIS,政策/AI觀察,弱量續攻,2025-07-14,51.95000076293945,49.496800079345704,12135160.0,12356358.333333334,True,0.81%,1.54%,35.21%,34.78%,126.56%
NBIS,政策/AI觀察,沖量,2025-07-15,53.529998779296875,49.706800079345705,14136560.0,12589383.333333334,True,-4.71%,-5.85%,40.72%,31.66%,127.91%
NBIS,政策/AI觀察,波段,2025-07-16,53.310001373291016,49.736000061035156,14324100.0,12707940.0,True,-2.68%,-3.79%,32.49%,31.50%,148.81%
NBIS,政策/AI觀察,波段,2025-07-17,53.689998626708984,49.783200073242185,14804180.0,12818081.666666666,True,-2.85%,1.38%,27.51%,34.18%,141.35%
NBIS,政策/AI觀察,波段,2025-07-18,52.790000915527344,49.87200012207031,14883300.0,12899500.0,True,-2.69%,-1.50%,35.67%,29.42%,156.60%
NBIS,政策/AI觀察,波段,2025-07-21,52.369998931884766,49.95560012817383,13961420.0,13096945.0,True,0.73%,3.44%,38.51%,25.49%,144.70%
NBIS,政策/AI觀察,弱量續攻,2025-07-25,51.369998931884766,50.44279998779297,10091280.0,13300808.333333334,True,1.23%,33.89%,34.28%,24.70%,112.19%
NBIS,政策/AI觀察,弱量續攻,2025-07-28,52.75,50.63399993896484,7852040.0,13342476.666666666,True,2.69%,33.16%,32.74%,81.46%,97.69%
NBIS,政策/AI觀察,弱量續攻,2025-07-31,54.43000030517578,50.99800003051758,11278060.0,13731700.0,True,19.99%,25.78%,32.35%,66.10%,115.43%
NBIS,政策/AI觀察,弱量續攻,2025-08-01,52.0,50.97400009155273,12374360.0,13826616.666666666,True,32.27%,37.73%,31.38%,74.92%,141.21%
NBIS,政策/AI觀察,弱量續攻,2025-08-04,54.16999816894531,51.06720001220703,12073680.0,13647170.0,True,29.67%,33.91%,21.32%,65.09%,124.90%
NBIS,政策/AI觀察,弱量續攻,2025-08-05,55.16999816894531,51.06079986572266,11663040.0,13676025.0,True,36.54%,21.79%,19.00%,70.53%,126.75%
NBIS,政策/AI觀察,弱量續攻,2025-08-06,55.09000015258789,51.25199981689453,12007380.0,13696921.666666666,True,28.21%,22.47%,17.83%,70.85%,125.41%
NBIS,政策/AI觀察,沖量,2025-08-07,65.30999755859375,51.865599670410155,16239280.0,14159795.0,True,4.82%,1.33%,0.24%,52.06%,100.31%
NBIS,政策/AI觀察,弱量續攻,2025-08-18,72.54000091552734,58.41279968261719,13433380.0,14049920.0,True,-3.47%,-9.40%,23.28%,54.77%,40.92%
NBIS,政策/AI觀察,弱量續攻,2025-08-22,68.9800033569336,60.67279998779297,11096500.0,14168950.0,True,-0.96%,-7.13%,54.54%,81.12%,24.64%
