pattern,rule,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
弱量續攻,base_60d,124,46.77%,0.45%,-0.20%,1.80,1.36,-8.49%,32.15%
弱量續攻,risk_30d,124,52.42%,4.46%,4.66%,15.90,2.06,-12.61%,37.86%
弱量續攻,trend_60d,124,43.55%,10.54%,-0.99%,20.13,6.22,-7.68%,71.35%
沖量,base_60d,7,42.86%,1.81%,-2.24%,6.71,1.44,-13.13%,23.50%
沖量,risk_30d,7,42.86%,1.64%,-8.31%,7.71,1.29,-12.37%,19.10%
沖量,trend_60d,7,42.86%,3.84%,-3.38%,15.86,1.91,-12.37%,28.36%
波段,base_60d,34,41.18%,-0.83%,-1.20%,2.21,0.54,-9.13%,8.58%
波段,risk_30d,34,5.88%,-8.67%,-9.41%,13.47,0.10,-15.82%,17.85%
波段,trend_60d,34,29.41%,-0.77%,-1.92%,5.82,0.67,-9.13%,29.80%
縮量黑馬,base_60d,4,0.00%,-2.92%,-2.46%,1.00,0.00,-5.07%,-1.69%
縮量黑馬,risk_30d,4,25.00%,-6.00%,-9.24%,15.25,0.22,-12.36%,6.85%
縮量黑馬,trend_60d,4,0.00%,-3.67%,-3.95%,2.50,0.00,-5.07%,-1.69%
