ticker,industry,pattern,date,close,ma25,vol5,vol60,above_ma200,ret_5d,ret_10d,ret_20d,ret_30d,ret_60d
ORCL,政策/AI觀察,弱量續攻,2024-07-08,142.00347900390625,132.57325744628906,6004360.0,8398385.0,True,-1.07%,-3.08%,-11.59%,-4.63%,15.58%
ORCL,政策/AI觀察,弱量續攻,2024-07-12,142.14910888671875,136.1733999633789,8382800.0,8526348.333333334,True,-4.29%,-3.98%,-8.78%,-3.85%,17.41%
ORCL,政策/AI觀察,弱量續攻,2024-07-15,140.47988891601562,136.95568450927735,8395840.0,8581701.666666666,True,-2.03%,-3.33%,-7.33%,-2.91%,21.88%
ORCL,政策/AI觀察,弱量續攻,2024-07-16,140.02822875976562,137.62512268066405,6965300.0,8590353.333333334,True,0.35%,-4.87%,-5.86%,-2.90%,25.02%
ORCL,政策/AI觀察,弱量續攻,2024-07-22,137.6324005126953,138.76012634277345,6767260.0,8590206.666666666,True,-1.33%,-8.78%,-1.61%,-0.48%,24.48%
ORCL,政策/AI觀察,弱量續攻,2024-07-23,140.51918029785156,138.97099548339844,6670440.0,8588553.333333334,True,-5.20%,-10.41%,-2.75%,-1.65%,22.40%
ORCL,政策/AI觀察,弱量續攻,2024-07-24,136.25772094726562,138.88686157226562,6442800.0,8582948.333333334,True,0.49%,-9.27%,1.03%,2.77%,26.88%
ORCL,政策/AI觀察,弱量續攻,2024-07-26,136.49339294433594,138.49762268066405,6579480.0,8609035.0,True,-4.12%,-5.00%,0.13%,0.63%,25.28%
ORCL,政策/AI觀察,弱量續攻,2024-08-22,135.58023071289062,133.41456237792968,4242540.0,8510505.0,True,0.97%,2.70%,21.67%,23.74%,33.37%
ORCL,政策/AI觀察,弱量續攻,2024-08-23,136.67015075683594,133.43930725097655,4172700.0,8507330.0,True,1.51%,0.50%,19.23%,22.11%,33.74%
ORCL,政策/AI觀察,弱量續攻,2024-08-26,136.38540649414062,133.38942749023437,3990300.0,8372163.333333333,True,0.43%,12.23%,19.37%,25.54%,36.30%
ORCL,政策/AI觀察,弱量續攻,2024-08-27,135.9729766845703,133.20757934570312,4017080.0,8224106.666666667,True,1.64%,13.50%,20.08%,28.75%,38.06%
ORCL,政策/AI觀察,弱量續攻,2024-08-29,136.8959503173828,133.2354656982422,3751480.0,8107218.333333333,True,1.71%,16.22%,21.03%,26.36%,38.23%
ORCL,政策/AI觀察,弱量續攻,2024-08-30,138.7321319580078,133.32501525878905,4438700.0,8140668.333333333,True,-0.99%,20.55%,20.60%,24.93%,33.35%
ORCL,政策/AI觀察,弱量續攻,2024-09-03,136.9745330810547,133.37175354003907,5259020.0,8132068.333333333,True,11.75%,20.05%,19.83%,25.08%,36.77%
ORCL,政策/AI觀察,弱量續攻,2024-09-04,138.20188903808594,133.5712744140625,5733240.0,8043706.666666667,True,11.67%,16.90%,19.15%,24.45%,30.10%
ORCL,政策/AI觀察,弱量續攻,2024-09-05,140.02822875976562,133.69538635253906,6875360.0,8019848.333333333,True,13.16%,17.52%,17.00%,23.47%,29.90%
ORCL,政策/AI觀察,沖量,2024-09-06,139.24270629882812,133.86427307128906,8188640.0,7899530.0,True,14.26%,18.47%,20.49%,23.46%,28.21%
ORCL,政策/AI觀察,波段,2024-09-09,137.35745239257812,134.1238854980469,10639180.0,7555565.0,True,21.76%,18.63%,21.50%,24.49%,31.03%
ORCL,政策/AI觀察,弱量續攻,2024-09-26,165.05674743652344,149.9681555175781,8099620.0,8441481.666666666,True,-0.74%,4.58%,3.97%,11.12%,1.15%
ORCL,政策/AI觀察,弱量續攻,2024-09-27,165.6851806640625,151.172353515625,7456960.0,8531708.333333334,True,1.26%,4.40%,3.06%,12.41%,0.46%
ORCL,政策/AI觀察,弱量續攻,2024-09-30,167.3151092529297,152.39815185546874,7915800.0,8612455.0,True,-0.25%,3.59%,1.41%,11.24%,0.82%
ORCL,政策/AI觀察,弱量續攻,2024-10-01,164.13375854492188,153.5080859375,8203800.0,8595330.0,True,4.31%,4.38%,3.98%,13.67%,2.93%
ORCL,政策/AI觀察,弱量續攻,2024-10-02,164.673828125,154.6561199951172,8189920.0,8474310.0,True,6.31%,4.44%,4.32%,13.32%,0.97%
ORCL,政策/AI觀察,弱量續攻,2024-10-04,167.7667999267578,157.02916748046874,7200200.0,8466430.0,True,3.11%,2.47%,-0.27%,7.78%,-2.25%
ORCL,政策/AI觀察,弱量續攻,2024-10-07,166.8928985595703,158.15559814453124,6516340.0,8456916.666666666,True,3.85%,2.46%,0.00%,9.52%,-2.10%
ORCL,政策/AI觀察,弱量續攻,2024-10-08,171.21324157714844,159.525146484375,6566400.0,8442876.666666666,True,0.06%,0.77%,-1.26%,8.58%,-4.40%
ORCL,政策/AI觀察,弱量續攻,2024-10-09,175.06227111816406,160.99956176757811,6775980.0,8458533.333333334,True,-1.75%,-2.69%,1.88%,7.23%,-6.86%
ORCL,政策/AI觀察,弱量續攻,2024-10-10,172.62168884277344,162.30330017089844,7252020.0,8424515.0,True,0.15%,-0.59%,6.25%,9.70%,-7.63%
ORCL,政策/AI觀察,弱量續攻,2024-10-11,172.97598266601562,163.65263122558594,7148520.0,8422360.0,True,-0.61%,-1.28%,7.67%,9.40%,-7.19%
ORCL,政策/AI觀察,弱量續攻,2024-10-14,173.32040405273438,165.0911492919922,6728060.0,8398640.0,True,-1.34%,-2.10%,7.39%,6.74%,-12.06%
ORCL,政策/AI觀察,弱量續攻,2024-10-15,171.3226776123047,165.8213446044922,6328700.0,8406330.0,True,0.70%,-0.38%,8.90%,9.35%,-11.37%
ORCL,政策/AI觀察,弱量續攻,2024-10-17,172.8874053955078,167.10480102539063,5652740.0,8358676.666666667,True,-0.74%,-4.46%,6.47%,5.21%,-9.67%
ORCL,政策/AI觀察,弱量續攻,2024-10-18,171.9131622314453,167.61746154785158,5479120.0,8314455.0,True,-0.67%,-2.67%,5.18%,3.85%,-8.45%
ORCL,政策/AI觀察,縮量黑馬,2024-10-21,170.9979248046875,167.76752197265625,5381060.0,8298771.666666667,True,-0.77%,-2.40%,6.89%,5.25%,-7.10%
ORCL,政策/AI觀察,弱量續攻,2024-10-22,172.52330017089844,168.09092712402344,5313360.0,8323030.0,True,-1.07%,-2.01%,7.75%,7.35%,-1.32%
ORCL,政策/AI觀察,弱量續攻,2024-10-24,171.60806274414062,168.72489196777343,4605640.0,8233441.666666667,True,-3.75%,6.88%,10.35%,9.93%,7.20%
ORCL,政策/AI觀察,弱量續攻,2024-10-30,171.7852020263672,169.88197326660156,4287620.0,7984488.333333333,True,3.83%,8.63%,4.66%,0.44%,-6.96%
ORCL,政策/AI觀察,弱量續攻,2024-11-05,169.0493927001953,170.13166198730468,6248360.0,7973826.666666667,True,10.36%,9.97%,9.55%,-3.71%,-2.02%
ORCL,政策/AI觀察,弱量續攻,2024-11-06,178.35902404785156,170.67906982421874,7300860.0,8086510.0,True,4.63%,5.25%,2.76%,-6.87%,-5.05%
ORCL,政策/AI觀察,弱量續攻,2024-11-07,183.40748596191406,171.46180114746093,6957240.0,8148423.333333333,True,0.36%,3.25%,2.85%,-8.97%,-7.30%
ORCL,政策/AI觀察,弱量續攻,2024-11-08,186.24169921875,172.20079711914062,7525200.0,8212128.333333333,True,-2.91%,1.61%,0.63%,-10.63%,-7.59%
ORCL,政策/AI觀察,弱量續攻,2024-11-11,186.12359619140625,172.97002502441407,7759040.0,8230125.0,True,-1.80%,-0.60%,-6.02%,-9.37%,-5.17%
ORCL,政策/AI觀察,弱量續攻,2024-11-12,186.5664520263672,173.5841534423828,7993660.0,8279930.0,True,-0.36%,0.42%,-5.80%,-9.44%,-6.31%
ORCL,政策/AI觀察,弱量續攻,2024-11-13,186.61563110351562,174.04628784179687,6915740.0,8312548.333333333,True,0.59%,-3.65%,-7.55%,-10.90%,-8.96%
ORCL,政策/AI觀察,弱量續攻,2024-11-14,184.07667541503906,174.5044873046875,6924720.0,8379673.333333333,True,2.88%,-1.18%,-7.30%,-10.77%,-6.82%
ORCL,政策/AI觀察,弱量續攻,2024-11-19,185.89724731445312,175.77949157714843,7378480.0,8562278.333333334,True,0.78%,-0.38%,-12.44%,-11.95%,-3.67%
ORCL,政策/AI觀察,弱量續攻,2024-11-20,187.71786499023438,176.40853088378907,7211440.0,8578745.0,True,-4.22%,-2.36%,-11.51%,-13.14%,-7.51%
ORCL,政策/AI觀察,弱量續攻,2024-11-21,189.37115478515625,177.067880859375,7929440.0,8718273.333333334,True,-3.94%,-0.38%,-11.83%,-15.80%,-12.58%
ORCL,政策/AI觀察,弱量續攻,2024-11-22,189.23338317871094,177.76068969726563,7508060.0,8756456.666666666,True,-5.66%,-0.96%,-12.04%,-15.16%,-11.40%
ORCL,政策/AI觀察,沖量,2024-11-25,185.00173950195312,178.32084228515626,9277880.0,8875753.333333334,True,-2.71%,-5.45%,-8.82%,-17.61%,-10.13%
ORCL,政策/AI觀察,波段,2024-11-27,179.79580688476562,179.29156066894532,9641640.0,8904445.0,True,1.94%,-4.04%,-7.52%,-14.23%,-9.60%
ORCL,政策/AI觀察,縮量黑馬,2024-11-29,181.90179443359375,179.70330993652342,8288380.0,8836025.0,True,3.71%,-6.19%,-9.70%,-14.14%,-9.94%
ORCL,政策/AI觀察,弱量續攻,2024-12-03,179.9827880859375,180.42603637695314,7440160.0,8609168.333333334,True,-2.82%,-7.21%,-9.22%,-11.74%,-13.69%
ORCL,政策/AI觀察,弱量續攻,2024-12-04,185.19854736328125,181.00705078125,7935980.0,8134703.333333333,True,-5.11%,-12.10%,-11.62%,-8.07%,-13.94%
ORCL,政策/AI觀察,弱量續攻,2024-12-05,183.27955627441406,181.46682495117187,7541840.0,8030836.666666667,True,-5.86%,-9.37%,-11.03%,-0.84%,-18.75%
ORCL,政策/AI觀察,沖量,2024-12-06,188.64291381835938,182.40566040039062,8716920.0,7936538.333333333,True,-9.55%,-11.49%,-15.47%,-2.48%,-18.86%
