pattern,rule,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
弱量續攻,base_60d,166,55.42%,0.09%,0.35%,1.57,1.05,-27.13%,48.22%
弱量續攻,risk_30d,166,60.24%,6.52%,14.96%,12.37,2.62,-16.05%,39.70%
弱量續攻,trend_60d,166,36.14%,0.56%,-2.47%,9.88,1.16,-16.57%,42.99%
沖量,base_60d,13,38.46%,1.89%,-1.54%,5.62,1.63,-12.26%,20.54%
沖量,risk_30d,13,61.54%,5.31%,14.91%,12.85,2.23,-13.22%,22.63%
沖量,trend_60d,13,38.46%,0.09%,-3.56%,13.92,1.02,-13.22%,30.51%
波段,base_60d,44,45.45%,0.08%,-0.40%,2.59,1.03,-16.16%,17.09%
波段,risk_30d,44,59.09%,5.46%,14.86%,9.82,2.33,-16.16%,22.06%
波段,trend_60d,44,45.45%,0.95%,-0.54%,6.80,1.38,-16.16%,23.29%
縮量黑馬,base_60d,6,100.00%,5.92%,4.00%,3.33,,0.84%,19.95%
縮量黑馬,risk_30d,6,83.33%,12.01%,15.84%,8.67,9.44,-8.53%,17.49%
縮量黑馬,trend_60d,6,83.33%,15.17%,13.45%,22.83,11.67,-8.53%,35.35%
