pattern,rule,trades,win_rate,avg_net_return,median_net_return,avg_hold_days,profit_factor,worst,best
弱量續攻,base_60d,67,62.69%,12.14%,3.16%,3.96,5.98,-17.74%,276.47%
弱量續攻,risk_30d,67,71.64%,11.13%,17.30%,4.76,3.90,-19.95%,44.25%
弱量續攻,trend_60d,67,62.69%,61.45%,17.61%,22.84,14.19,-24.26%,427.07%
沖量,base_60d,4,75.00%,63.26%,34.92%,25.00,17.79,-15.07%,198.29%
沖量,risk_30d,4,75.00%,11.89%,17.21%,6.75,4.15,-15.07%,28.21%
沖量,trend_60d,4,75.00%,63.55%,35.50%,25.50,17.86,-15.07%,198.29%
波段,base_60d,32,40.62%,-0.85%,-3.39%,3.69,0.82,-20.94%,50.54%
波段,risk_30d,32,40.62%,1.52%,-8.81%,5.81,1.22,-20.94%,35.07%
波段,trend_60d,32,37.50%,72.57%,-4.02%,13.38,14.54,-20.94%,512.32%
縮量黑馬,base_60d,8,62.50%,2.31%,4.68%,1.00,1.66,-11.66%,18.36%
縮量黑馬,risk_30d,8,62.50%,10.01%,16.33%,2.00,3.45,-12.43%,42.60%
縮量黑馬,trend_60d,8,62.50%,16.50%,4.70%,5.38,5.72,-11.66%,121.02%
