ticker,industry,pattern,signal_date,rule,cost,slippage,entry_date,entry_price,exit_date,exit_price,hold_days,exit_reason,gross_return,net_return
SNDK,AI半導體,波段,2025-08-15,base_60d,0.20%,0.20%,2025-08-18,44.3385,2025-08-22,46.369998931884766,4,volume_weak,4.58%,4.38%
SNDK,AI半導體,波段,2025-08-15,risk_30d,0.20%,0.20%,2025-08-18,44.3385,2025-08-29,52.470001220703125,9,target_reached,18.34%,18.14%
SNDK,AI半導體,波段,2025-08-15,trend_60d,0.20%,0.20%,2025-08-18,44.3385,2025-11-11,271.5799865722656,60,max_60d,512.52%,512.32%
SNDK,AI半導體,波段,2025-08-18,base_60d,0.20%,0.20%,2025-08-19,46.322459541320804,2025-08-22,46.369998931884766,3,volume_weak,0.10%,-0.10%
SNDK,AI半導體,波段,2025-08-18,risk_30d,0.20%,0.20%,2025-08-19,46.322459541320804,2025-09-04,62.5,11,target_reached,34.92%,34.72%
SNDK,AI半導體,波段,2025-08-18,trend_60d,0.20%,0.20%,2025-08-19,46.322459541320804,2025-11-12,283.1000061035156,60,max_60d,511.15%,510.95%
SNDK,AI半導體,波段,2025-08-19,base_60d,0.20%,0.20%,2025-08-20,44.94972061157227,2025-08-22,46.369998931884766,2,volume_weak,3.16%,2.96%
SNDK,AI半導體,波段,2025-08-19,risk_30d,0.20%,0.20%,2025-08-20,44.94972061157227,2025-08-29,52.470001220703125,7,target_reached,16.73%,16.53%
SNDK,AI半導體,波段,2025-08-19,trend_60d,0.20%,0.20%,2025-08-20,44.94972061157227,2025-11-13,243.57000732421875,60,max_60d,441.87%,441.67%
SNDK,AI半導體,波段,2025-08-20,base_60d,0.20%,0.20%,2025-08-21,43.95773892974854,2025-08-22,46.369998931884766,1,volume_weak,5.49%,5.29%
SNDK,AI半導體,波段,2025-08-20,risk_30d,0.20%,0.20%,2025-08-21,43.95773892974854,2025-08-28,50.869998931884766,5,target_reached,15.72%,15.52%
SNDK,AI半導體,波段,2025-08-20,trend_60d,0.20%,0.20%,2025-08-21,43.95773892974854,2025-11-14,254.16000366210938,60,max_60d,478.19%,477.99%
SNDK,AI半導體,波段,2025-08-21,base_60d,0.20%,0.20%,2025-08-22,46.202220611572265,2025-08-25,46.779998779296875,1,volume_weak,1.25%,1.05%
SNDK,AI半導體,波段,2025-08-21,risk_30d,0.20%,0.20%,2025-08-22,46.202220611572265,2025-09-04,62.5,8,target_reached,35.27%,35.07%
SNDK,AI半導體,波段,2025-08-21,trend_60d,0.20%,0.20%,2025-08-22,46.202220611572265,2025-11-17,265.8800048828125,60,max_60d,475.47%,475.27%
SNDK,AI半導體,弱量續攻,2025-08-22,base_60d,0.20%,0.20%,2025-08-25,46.45272061157227,2025-08-26,47.349998474121094,1,volume_weak,1.93%,1.73%
SNDK,AI半導體,弱量續攻,2025-08-22,risk_30d,0.20%,0.20%,2025-08-25,46.45272061157227,2025-09-04,62.5,7,target_reached,34.55%,34.35%
SNDK,AI半導體,弱量續攻,2025-08-22,trend_60d,0.20%,0.20%,2025-08-25,46.45272061157227,2025-11-18,244.92999267578125,60,max_60d,427.27%,427.07%
SNDK,AI半導體,弱量續攻,2025-08-25,base_60d,0.20%,0.20%,2025-08-26,46.8435,2025-08-27,48.439998626708984,1,volume_weak,3.41%,3.21%
SNDK,AI半導體,弱量續攻,2025-08-25,risk_30d,0.20%,0.20%,2025-08-26,46.8435,2025-09-04,62.5,6,target_reached,33.42%,33.22%
SNDK,AI半導體,弱量續攻,2025-08-25,trend_60d,0.20%,0.20%,2025-08-26,46.8435,2025-11-19,245.9600067138672,60,max_60d,425.07%,424.87%
